0	Index      	 *	Score 	Summary	Detail	
1	62532 25213	 * 	217.35	ACR|2VULN|2DMG|2BEXP|2AART	15VULN|2ZMB|3RCR|48AART|6aDMG|79BEXP
2	62532 33413	 * 	214.75	ACR|3VULN|2DMG|2BEXP|1AART	157VULN|2ZMB|3RCR|4AART|69BEXP|8aDMG
3	62532 32412	 * 	212.79	ACR|2VULN|3BEXP|2DMG|1AART	15VULN|2ZMB|3RCR|4AART|679BEXP|8aDMG
4	62533 62211	 * 	211.33	ACR|2VULN|2DMG|1ASPD|1CDMG|1AART	19VULN|2ZMB|3RCR|4AART|5CDMG|6ASPD|78DMG|aDMSP
5	62533 62212	   	211.33	ACR|2VULN|2DMG|1ASPD|1CDMG|1AART	19VULN|2ZMB|3RCR|4AART|5CDMG|6ASPD|78DMG|aRPLT
6	62535 13112	 * 	209.37	ACR|3VULN|2DMG|1ASPD|1AART	178VULN|2ZMB|3RCR|4AART|5aDMG|6MDPS|9ASPD
7	12532 66112	   	209.06	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	1LWND|2ZMB|3RCR|4AART|58VULN|6BEXP|7aDMG|9ASPD
8	34121 61623	 * 	209.03	ACR|2VULN|1BASARM|2ASPD|1CDMG	1CGEN|28VULN|3RMIN|4NUKE|5RCR|6CDMG|79ASPD|aBASARM
9	12535 32111	 * 	206.67	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1LWND|2ZMB|3RCR|4AART|5DMG|6TLV|7BEXP|8LHND|9BASICY|aBASARM
10	12535 32611	   	206.67	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1LWND|2ZMB|3RCR|4AART|5DMG|6TLV|7BEXP|8DUR|9BASICY|aBASARM
11	12535 42111	   	206.67	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1LWND|2ZMB|3RCR|4AART|5DMG|6ERES|7BEXP|8LHND|9BASICY|aBASARM
12	22535 32311	   	206.67	ACR|1BASARM|1DMG|1BASICY|1BEXP|1AART	1LHND|2ZMB|3RCR|4AART|5DMG|6TLV|7BEXP|8DUR|9BASICY|aBASARM
13	62532 24312	 * 	204.00	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	15VULN|2ZMB|3RCR|4AART|6DMG|7ASPD|8RMIN|9aBEXP
14	62532 51232	   	203.90	ACR|2VULN|2BEXP|1ASPD|1DMG|1AART	15VULN|2ZMB|3RCR|4AART|6SNIHEL|7DMG|8ASPD|9aBEXP
15	62532 25233	   	202.51	ACR|2VULN|2DMG|2AART|1BEXP	15VULN|29ZMB|3RCR|48AART|6aDMG|7BEXP
16	62532 24313	   	202.39	ACR|3VULN|1ASPD|1DMG|1AART|1BEXP	15aVULN|2ZMB|3RCR|4AART|6DMG|7ASPD|8RMIN|9BEXP
17	62532 24212	   	202.29	ACR|3VULN|1ASPD|1DMG|1BEXP|1AART	15aVULN|2ZMB|3RCR|4AART|6DMG|7ASPD|8AME|9BEXP
18	62532 51231	   	202.29	ACR|3VULN|1ASPD|1DMG|1BEXP|1AART	15aVULN|2ZMB|3RCR|4AART|6SNIHEL|7DMG|8ASPD|9BEXP
19	36335 22111	   	201.77	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1CGEN|2DUR|3AART|4RCR|5DMG|6ZMB|7BEXP|8LHND|9BASICY|aBASARM
20	36335 22611	   	201.77	ACR|1BASARM|1DMG|1BASICY|1BEXP|1AART	1CGEN|2DUR|3AART|4RCR|5DMG|6ZMB|7BEXP|8LWND|9BASICY|aBASARM
21	46335 22111	   	201.67	ACR|1BASARM|1DMG|1BASICY|1AART|1BEXP	1ERES|2DUR|3AART|4RCR|5DMG|6ZMB|7BEXP|8LHND|9BASICY|aBASARM
22	62532 32433	   	201.52	ACR|2VULN|2DMG|2BEXP|1AART	15VULN|29ZMB|3RCR|4AART|67BEXP|8aDMG
23	62531 23632	   	201.46	ACR|1BASARM|1VULN|1ASPD|1AART|1BEXP	1VULN|2ZMB|3RCR|4AART|5RPLT|6LSRREG|7ERES|8BASARM|9BEXP|aASPD
24	12522 15231	   	200.36	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	16LWND|2ZMB|3RCR|4LIT|5BEXP|7BASARM|8VULN|9CDMG|aASPD
25	22513 41243	   	200.26	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1LHND|2ZMB|3RCR|4ERES|5CDMG|6VULN|7ASPD|8FEWX|9BEXP|aBASARM
26	22513 61143	   	200.26	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG	1LHND|2ZMB|3RCR|4ERES|5CDMG|6DUR|7ASPD|8VULN|9BEXP|aBASARM
27	62532 33433	   	199.91	ACR|3VULN|2DMG|1AART|1BEXP	157VULN|29ZMB|3RCR|4AART|6BEXP|8aDMG
28	36335 15211	 * 	199.27	ACR|1BASARM|2AART|1DMG|1BASICY	1CGEN|2DUR|38AART|4RCR|5DMG|6MDPS|7ZMB|9BASICY|aBASARM
29	62532 25211	   	197.49	ACR|2VULN|2BEXP|2AART|1DMG	15VULN|2ZMB|3RCR|48AART|6DMG|79BEXP|aCGEN
30	62532 25212	   	197.39	ACR|2VULN|2BEXP|2AART|1DMG	15VULN|2ZMB|3RCR|48AART|6DMG|79BEXP|aDUST
31	62532 24213	   	197.37	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1AAC	15VULN|2ZMB|3RCR|4AART|6DMG|7ASPD|8AME|9BEXP|aAAC
32	36336 51233	   	196.56	ACR|1BASARM|1ASPD|1VULN|1BEXP|1AART	1CGEN|2DUR|3AART|4RCR|5ERES|6BASARM|7FEWX|8BEXP|9ASPD|aVULN
33	12532 46112	   	195.41	ACR|2VULN|2DMG|1ASPD|1AART	1LWND|2ZMB|3RCR|4AART|58VULN|6FEWX|7aDMG|9ASPD
34	62532 21361	   	195.41	ACR|2VULN|2DMG|1ASPD|1AART	15VULN|2ZMB|3RCR|4AART|6aDMG|7CGEN|8RMIN|9ASPD
35	62532 26312	   	195.41	ACR|2VULN|2DMG|1ASPD|1AART	15VULN|2ZMB|3RCR|4AART|6aDMG|7DUR|8FEWX|9ASPD
36	62532 21261	   	195.31	ACR|2VULN|2DMG|1ASPD|1AART	15VULN|2ZMB|3RCR|4AART|6aDMG|7CGEN|8AME|9ASPD
37	62532 24323	   	195.31	ACR|2VULN|2DMG|1ASPD|1AART	15VULN|2ZMB|3RCR|4AART|6aDMG|7ASPD|8RMIN|9AEMAG
38	62532 24223	   	195.21	ACR|2VULN|2DMG|1ASPD|1AART	15VULN|2ZMB|3RCR|4AART|6aDMG|7ASPD|8AME|9AEMAG
39	12532 66132	   	194.99	ACR|2VULN|2DMG|1BEXP|1AART|1AAC	1LWND|2ZMB|3RCR|4AART|58VULN|6BEXP|7aDMG|9AAC
40	62533 62222	   	194.72	ACR|2DMG|1VULN|1ASPD|1CDMG|1AART	1VULN|2ZMB|3RCR|4AART|5CDMG|6ASPD|78DMG|9RMIN|aDMSP
41	62533 62223	   	194.72	ACR|2DMG|1VULN|1ASPD|1CDMG|1AART	1VULN|2ZMB|3RCR|4AART|5CDMG|6ASPD|78DMG|9RMIN|aFEWX
42	62533 62112	   	194.62	ACR|2DMG|1VULN|1ASPD|1AART|1CDMG	1VULN|2ZMB|3RCR|4AART|5CDMG|6ASPD|7aDMG|8ERES|9RPLT
43	62533 62221	   	194.62	ACR|2DMG|1VULN|1ASPD|1AART|1CDMG	1VULN|2ZMB|3RCR|4AART|5CDMG|6ASPD|78DMG|9RMIN|aERES
44	12535 16211	   	194.53	ACR|1BASARM|1DMG|1BASICY|1AART	1LWND|2ZMB|3RCR|4AART|5DMG|6MDPS|7RCVC|8TLV|9BASICY|aBASARM
45	22535 16211	   	194.53	ACR|1BASARM|1DMG|1BASICY|1AART	1LHND|2ZMB|3RCR|4AART|5DMG|6MDPS|7RCVC|8TLV|9BASICY|aBASARM
46	62533 62231	   	194.52	ACR|2DMG|1VULN|1ASPD|1AART|1CDMG	1VULN|2ZMB|3RCR|4AART|5CDMG|6ASPD|78DMG|9aERES
47	62533 62232	   	194.52	ACR|2DMG|1VULN|1ASPD|1AART|1CDMG	1VULN|2ZMB|3RCR|4AART|5CDMG|6ASPD|78DMG|9ERES|aMDPS
48	62533 62233	   	194.52	ACR|2DMG|1VULN|1ASPD|1CDMG|1AART	1VULN|2ZMB|3RCR|4AART|5CDMG|6ASPD|78DMG|9ERES|aAME
49	62535 13132	   	194.47	ACR|3VULN|2DMG|1AART|1AAC	178VULN|2ZMB|3RCR|4AART|5aDMG|6MDPS|9AAC
50	62532 33411	   	193.94	ACR|3VULN|2BEXP|1DMG|1AART	157VULN|2ZMB|3RCR|4AART|69BEXP|8DMG|aCGEN
51	62532 33511	   	193.94	ACR|3VULN|2BEXP|1DMG|1AART	157VULN|2ZMB|3RCR|4AART|69BEXP|8FEWX|aDMG
52	62532 33113	   	193.84	ACR|3VULN|2BEXP|1DMG|1AART	157VULN|2ZMB|3RCR|4AART|69BEXP|8NUKE|aDMG
53	62532 33213	   	193.84	ACR|3VULN|2BEXP|1DMG|1AART	157VULN|2ZMB|3RCR|4AART|69BEXP|8AME|aDMG
54	62532 33313	   	193.84	ACR|3VULN|2BEXP|1DMG|1AART	157VULN|2ZMB|3RCR|4AART|69BEXP|8AAC|aDMG
55	62532 33412	   	193.84	ACR|3VULN|2BEXP|1DMG|1AART	157VULN|2ZMB|3RCR|4AART|69BEXP|8DMG|aDUST
56	62535 32312	   	193.35	ACR|2DMG|1VULN|1ASPD|1AART|1BEXP	1VULN|2ZMB|3RCR|4AART|5aDMG|6TLV|7BEXP|8RMIN|9ASPD
57	62532 32411	   	193.18	ACR|2VULN|3BEXP|1DMG|1AART	15VULN|2ZMB|3RCR|4AART|679BEXP|8DMG|aRCVC
58	62553 31122	 * 	193.13	ACR|1VULN|2BEXP|1ASPD|1DMG|1BASICY	1VULN|2ZMB|3RCR|49BEXP|5MDPS|6DUR|7DMG|8ASPD|aBASICY
59	12535 35111	   	193.02	ACR|1BASARM|1DMG|1BASICY|1AART	1LWND|2ZMB|3RCR|4AART|5DMG|6TLV|7FEWX|8LHND|9BASICY|aBASARM
60	12535 36111	   	193.02	ACR|1BASARM|1DMG|1BASICY|1AART	1LWND|2ZMB|3RCR|4AART|5DMG|6TLV|7DUR|8LHND|9BASICY|aBASARM
61	22535 35311	   	193.02	ACR|1BASARM|1DMG|1BASICY|1AART	1LHND|2ZMB|3RCR|4AART|5DMG|6TLV|7FEWX|8DUR|9BASICY|aBASARM
62	12535 15211	   	192.92	ACR|1BASARM|1DMG|1BASICY|1AART	1LWND|27ZMB|3RCR|4AART|5DMG|6MDPS|8TLV|9BASICY|aBASARM
