0	Index      	 *	Score 	Summary	Detail	
1	63141 32211	 * 	238.44	ACR|1BASARM|2BEXP|2BASICY|1DMG|1CDMG|1AART|1SELL	1aBASICY|2DMG|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM
2	63141 32215	 * 	230.01	ACR|1BASARM|2BEXP|1DMG|1BASICY|1CDMG|1AART|1SELL	1BASICY|2DMG|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aFEWX
3	34141 32211	 * 	229.91	ACR|1BASARM|2BEXP|1DMG|1BASICY|1AART|1CDMG|1SELL	1DMG|2AIRARM|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aBASICY
4	63141 32212	 * 	229.91	ACR|1BASARM|2BEXP|1DMG|1BASICY|1CDMG|1AART|1SELL	1BASICY|2DMG|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aERES
5	63141 32214	 * 	229.91	ACR|1BASARM|2BEXP|1DMG|1BASICY|1AART|1CDMG|1SELL	1BASICY|2DMG|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aTLV
6	63141 32216	 * 	229.91	ACR|1BASARM|2BEXP|1DMG|1BASICY|1CDMG|1AART|1SELL	1BASICY|2DMG|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aLSRICY
7	63141 26323	 * 	216.51	ACR|1BASARM|2BEXP|1DMG|1BASICY|1AART	1BASICY|2DMG|3AART|4RCR|57BEXP|6CGEN|8LSRREG|9DUR|aBASARM
8	61364 13322	 * 	214.46	ACR|3BEXP|2VULN|1ASPD|1DMG|1BASICY|1CDMG	1BASICY|247BEXP|3CDMG|5RCR|69VULN|8ASPD|aDMG
9	63142 52111	 * 	212.69	ACR|1BASARM|2BASICY|1DMG|2AAC|1AART	1aBASICY|2DMG|3AART|4RCR|57DUR|68AAC|9BASARM
10	63143 51111	   	212.69	ACR|1BASARM|2BASICY|1DMG|2AAC|1AART	1aBASICY|2DMG|3AART|4RCR|57FEWX|68AAC|9BASARM
11	63142 32411	   	209.95	ACR|1BASARM|2BASICY|1DMG|1CDMG|1AART|1SELL	1aBASICY|2DMG|3AART|4RCR|5DUR|6SELL|7CDMG|8RCVC|9BASARM
12	63143 32611	   	209.95	ACR|1BASARM|2BASICY|1DMG|1CDMG|1AART|1SELL	1aBASICY|2DMG|3AART|4RCR|58FEWX|6SELL|7CDMG|9BASARM
13	34141 32212	   	209.85	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG|1SELL	1DMG|2AIRARM|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aRCVC
14	34141 32215	   	209.85	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG|1SELL	1DMG|2AIRARM|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aFEWX
15	34141 32213	   	209.75	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG|1SELL	1DMG|2AIRARM|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aERES
16	34141 32214	   	209.75	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG|1SELL	1DMG|2AIRARM|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aTLV
17	34141 32216	   	209.75	ACR|1BASARM|2BEXP|1DMG|1AART|1CDMG|1SELL	1DMG|2AIRARM|3AART|4RCR|58BEXP|6SELL|7CDMG|9BASARM|aLSRICY
