0	Index      	 *	Score 	Summary	Detail	
1	15143 68411	 * 	249.80	ACR|2BASARM|3DMG|1ASPD|1AART|1BEXP	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9AART|aBEXP
2	15142 11843	 * 	246.66	ACR|3ASPD|3DMG|3VULN|1AART|1AAC	1MBVNT|27aDMG|3MLV|4RCR|57aVULN|67aASPD|7aBPWR|8AART|9AAC
3	15242 11843	   	246.56	ACR|3ASPD|3DMG|3VULN|1AART|1AAC	1MBVNT|27aDMG|3TLV|4RCR|57aVULN|67aASPD|7aBPWR|8AART|9AAC
4	15243 67241	 * 	239.78	ACR|2BASARM|3DMG|2ASPD	1MBVNT|25aDMG|35TLV|4RCR|5aBPWR|6aBASARM|7SNIFST|8CGEN|9aASPD
5	15243 67341	   	239.78	ACR|2BASARM|3DMG|2ASPD	1MBVNT|25aDMG|35TLV|4RCR|5aBPWR|6aBASARM|7SNIFST|8MLV|9aASPD
6	15243 68241	   	239.78	ACR|2BASARM|3DMG|2ASPD	1MBVNT|25aDMG|35TLV|4RCR|5aBPWR|6aBASARM|7VENFST|8CGEN|9aASPD
7	15243 68341	   	239.78	ACR|2BASARM|3DMG|2ASPD	1MBVNT|25aDMG|35TLV|4RCR|5aBPWR|6aBASARM|7VENFST|8MLV|9aASPD
8	23132 23435	 * 	237.60	ACR|1BASARM|2ASPD|3VULN|1DMG|1BEXP	179VULN|27DUST|3DUR|4RCR|5BEXP|67ASPD|7BPWR|8DMG|aBASARM
9	15143 68412	   	236.15	ACR|2BASARM|3DMG|1ASPD|1AART	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9AART|aLWND
10	15143 68414	   	236.15	ACR|2BASARM|3DMG|1ASPD|1AART	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9AART|aRCVC
11	15143 68421	   	236.15	ACR|2BASARM|3DMG|1ASPD|1BEXP	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9LIT|aBEXP
12	15143 68413	   	236.05	ACR|2BASARM|3DMG|1ASPD|1AART	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9AART|aAEFBLL
13	15143 68434	 * 	235.72	ACR|3BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67aBASARM|8ASPD|9FEWX
14	23633 41511	 * 	231.19	ACR|1BASARM|2DMG|3VULN|1BEXP|1CDMG	178VULN|28DUST|3BEXP|4RCR|5CDMG|68DMG|8BPWR|9LWND|aBASARM
15	15143 62334	 * 	230.82	ACR|2BASARM|3DMG|2BEXP	1MBVNT|25aDMG|35MLV|4RCR|5aBPWR|6aBASARM|7RMIN|8NUKE|9aBEXP
16	15243 62364	   	230.62	ACR|2BASARM|3DMG|2BEXP	1MBVNT|25aDMG|35TLV|4RCR|5aBPWR|6aBASARM|7RMIN|8NUKE|9aBEXP
17	15143 68422	   	229.43	ACR|2BASARM|3DMG|1ASPD	1MBVNT|257DMG|357MLV|4RCR|57BPWR|67BASARM|8ASPD|9LIT|aVULN
