0	Index      	 *	Score 	Summary	Detail	
1	26451 22134	 * 	220.25	ACR|1BASARM|2ASPD|2BEXP|1DMG	1ERES|28BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|9aASPD
2	26453 32311	 * 	216.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1ERES|2BEXP|3BASARM|4RCR|5CDMG|6RPLT|7DMG|8VULN|9RMIN|aASPD
3	11116 23641	 * 	216.16	ACR|3ASPD|1BASARM|1DMG|1BEXP	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9BEXP|aDMG
4	11126 23641	   	216.16	ACR|3ASPD|1BASARM|1DMG|1BEXP	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9BEXP|aDMG
5	62551 32332	 * 	214.18	ACR|1BASARM|3BEXP|1VULN|1ASPD	1MDPS|259BEXP|3RCR|4RCVC|6VULN|7AEMAG|8ASPD|aBASARM
6	26453 32112	 * 	214.02	ACR|1BASARM|3BEXP|1DMG|2CDMG	1ERES|289BEXP|3BASARM|4RCR|5aCDMG|6RPLT|7DMG
7	26453 32313	   	211.51	ACR|1BASARM|1VULN|1DMG|1BEXP|1AART|1CDMG	1ERES|2BEXP|3BASARM|4RCR|5CDMG|6RPLT|7DMG|8VULN|9RMIN|aAART
8	33464 13232	 * 	211.02	ACR|3VULN|2BASICY|2BEXP|1AART|1CDMG	1AART|29aVULN|39TLV|4RCR|56BEXP|7CDMG|89BASICY|9BPWR
9	33164 12232	 * 	210.13	ACR|2VULN|3BEXP|2BASICY|1AART|1CDMG	1AART|29VULN|39MLV|4RCR|56aBEXP|7CDMG|89BASICY|9BPWR
10	11116 23643	   	209.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	134ASPD|2AAC|4BPWR|5RCR|6RMIN|7ERES|8BASARM|9BEXP|aCDMG
11	11126 23643	   	209.75	ACR|3ASPD|1BASARM|1BEXP|1CDMG	134ASPD|2AAC|5RCR|6RMIN|7ERES|8BASARM|9BEXP|aCDMG
12	26453 32111	   	207.71	ACR|1BASARM|3BEXP|1DMG|1CDMG	1ERES|289BEXP|3BASARM|4RCR|5CDMG|6RPLT|7DMG|aDMSP
13	26453 32113	   	207.71	ACR|1BASARM|3BEXP|1DMG|1CDMG	1ERES|289BEXP|3BASARM|4RCR|5CDMG|6RPLT|7DMG|aDUR
14	26453 32131	   	207.71	ACR|1BASARM|3BEXP|1DMG|1CDMG	1ERES|28aBEXP|3BASARM|4RCR|5CDMG|6RPLT|7DMG|9FEWX
15	26451 13334	 * 	207.61	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1ERES|2BEXP|3BASARM|4RCR|5MBVNT|6aVULN|7CDMG|8LWND|9ASPD
16	26451 22112	   	207.51	ACR|1BASARM|3BEXP|1DMG|1CDMG	1ERES|289BEXP|3BASARM|4RCR|5MBVNT|6AAC|7DMG|aCDMG
17	33164 14331	 * 	207.00	ACR|3BEXP|2DMG|1VULN|2AART	1aAART|2VULN|3MLV|4RCR|567BEXP|89DMG
18	12462 42312	 * 	206.77	ACR|1BASARM|2ASPD|1DMG|1VULN|1SELL	19ASPD|2LHND|3MLV|4RCR|5LWND|6BASARM|7DMG|8SELL|aVULN
19	12562 42312	 * 	206.67	ACR|1BASARM|2ASPD|1DMG|1VULN|1SELL	19ASPD|2LHND|3ERES|4RCR|5LWND|6BASARM|7DMG|8SELL|aVULN
20	12462 42111	   	205.71	ACR|1BASARM|2ASPD|1DMG|1BEXP	1aASPD|2LHND|3MLV|4RCR|5LWND|6BASARM|7DMG|8BEXP|9RMIN
21	12562 42111	   	205.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	1aASPD|2LHND|3ERES|4RCR|5LWND|6BASARM|7DMG|8BEXP|9RMIN
22	15462 23323	   	205.61	ACR|1BASARM|2ASPD|1DMG|1BEXP	18ASPD|25LWND|3MLV|4RCR|6DUST|7BEXP|9DMG|aBASARM
23	11363 31453	   	205.51	ACR|1BASARM|2ASPD|1DMG|1CDMG	18ASPD|2AAC|3LHND|4RCR|5DMG|6AME|7CDMG|9RPLT|aBASARM
24	11363 42613	 * 	205.51	ACR|1BASARM|2DMG|1ASPD|1BEXP	1ASPD|2AAC|3LHND|4RCR|56DMG|7AME|8BEXP|9ZMB|aBASARM
25	15562 23323	   	205.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	18ASPD|25LWND|3ERES|4RCR|6DUST|7BEXP|9DMG|aBASARM
26	25451 11412	   	204.07	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART	1ERES|2LWND|3BASARM|4RCR|5MBVNT|6VULN|7DUST|8AART|9DMG|aASPD
27	33164 14311	 * 	203.76	ACR|2VULN|3BEXP|2AART|1DMG	1aAART|29VULN|3MLV|4RCR|567BEXP|8DMG
28	26451 13411	   	203.36	ACR|1BASARM|1VULN|1ASPD|1BEXP|1CDMG|1AAC	1ERES|2BEXP|3BASARM|4RCR|5MBVNT|6VULN|7CDMG|8FLTFST|9AAC|aASPD
29	33165 11623	 * 	203.29	ACR|2DMG|1VULN|2BEXP|1ASPD|1AART	1AART|2VULN|3MLV|4RCR|5DUR|68BEXP|79DMG|aASPD
30	26452 13331	 * 	202.88	ACR|1BASARM|1VULN|1ASPD|2CDMG|1BEXP	1ERES|2BEXP|3BASARM|4RCR|5LWND|6VULN|7aCDMG|8LHND|9ASPD
