0	Index      	 *	Score 	Summary	Detail	
1	63326 13113	 * 	216.20	ACR|3VULN|2DMG|1ASPD|1CDMG|1AART	136VULN|2CGEN|49DMG|5RCR|7AART|8ASPD|aCDMG
2	63326 13152	   	213.12	ACR|3VULN|2DMG|1ASPD|1BEXP|1AART	136VULN|2CGEN|4aDMG|5RCR|7AART|8ASPD|9BEXP
3	63326 13123	 * 	208.33	ACR|4VULN|1ASPD|1DMG|1CDMG|1AART	1369VULN|2CGEN|4DMG|5RCR|7AART|8ASPD|aCDMG
4	62126 13113	   	204.97	ACR|2VULN|2DMG|1ASPD|1CDMG|1AART	16VULN|2RCVC|3TLV|49DMG|5RCR|7AART|8ASPD|aCDMG
5	63213 61243	 * 	203.76	3VULN|3ASPD|1BASARM|3BEXP|1AART	18aVULN|2CGEN|38aASPD|4FEWX|5AART|6BASARM|78aBEXP|8aBPWR|9BELT
6	62126 13152	   	202.70	ACR|2VULN|2DMG|1ASPD|1BEXP|1AART	16VULN|2RCVC|3TLV|4aDMG|5RCR|7AART|8ASPD|9BEXP
7	63526 13113	   	201.33	ACR|2VULN|2DMG|1ASPD|1CDMG|1AART	16VULN|23CGEN|49DMG|5RCR|7AART|8ASPD|aCDMG
8	63326 13112	   	199.80	ACR|3VULN|2DMG|1ASPD|1AART	136VULN|2CGEN|49DMG|5RCR|7AART|8ASPD|aRCVC
9	63326 13111	   	199.47	ACR|3VULN|2DMG|1ASPD|1AART	136VULN|2CGEN|49DMG|5RCR|7AART|8ASPD|aFEWX
10	63326 13115	   	199.47	ACR|3VULN|2DMG|1ASPD|1AART	136VULN|2CGEN|49DMG|5RCR|7AART|8ASPD|aRPLT
11	63326 13114	   	199.37	ACR|3VULN|2DMG|1ASPD|1AART	136VULN|2CGEN|49DMG|5RCR|7AART|8ASPD|aTLV
12	63326 13142	   	199.37	ACR|3VULN|2DMG|1ASPD|1AART	136VULN|2CGEN|4aDMG|5RCR|7AART|8ASPD|9DUST
13	62126 13123	   	199.17	ACR|3VULN|1ASPD|1DMG|1CDMG|1AART	169VULN|2RCVC|3TLV|4DMG|5RCR|7AART|8ASPD|aCDMG
14	13364 31331	 * 	197.84	ACR|2VULN|2ASPD|2BEXP|2CDMG	19BEXP|2CGEN|37VULN|46CDMG|5RCR|8aASPD
15	43236 31263	 * 	196.67	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1RMIN|2CGEN|3AAC|4BASARM|5RCR|6LHND|7BEXP|8ASPD|9AART|aDMG
16	13364 31321	 * 	196.23	ACR|3VULN|2ASPD|2CDMG|1BEXP	1BEXP|2CGEN|379VULN|46CDMG|5RCR|8aASPD
17	13364 31363	   	196.21	ACR|2VULN|2BEXP|1ASPD|2CDMG|1AART	1aBEXP|2CGEN|37VULN|46CDMG|5RCR|8ASPD|9AART
18	63526 13123	   	195.54	ACR|3VULN|1ASPD|1DMG|1CDMG|1AART	169VULN|23CGEN|4DMG|5RCR|7AART|8ASPD|aCDMG
19	63326 13163	   	195.54	ACR|3VULN|1ASPD|1DMG|1CDMG|1AART	136VULN|2CGEN|4DMG|5RCR|7AART|8ASPD|9FEWX|aCDMG
20	43236 31243	 * 	195.33	ACR|2BASARM|2ASPD|1BEXP	1RMIN|29CGEN|3AAC|49BASARM|5RCR|6LHND|7BEXP|89ASPD|9BPWR|aLWND
21	43236 31241	   	195.23	ACR|2BASARM|2ASPD|1BEXP	1RMIN|29CGEN|3AAC|49BASARM|5RCR|6LHND|7BEXP|89ASPD|9BPWR|aAME
22	63326 26213	   	192.96	ACR|3VULN|2DMG|1AART|1CDMG	138VULN|2CGEN|49DMG|5RCR|6AME|7AART|aCDMG
23	63326 52213	   	192.96	ACR|3VULN|2DMG|1CDMG|1AART	138VULN|2CGEN|49DMG|5RCR|6AART|7AAC|aCDMG
24	63326 53213	   	192.96	ACR|3VULN|2DMG|1AART|1CDMG	138VULN|2CGEN|49DMG|5RCR|6AART|7AME|aCDMG
25	63326 13513	   	192.96	ACR|3VULN|2DMG|1AART|1CDMG	136VULN|2CGEN|49DMG|5RCR|7AART|8ERES|aCDMG
26	63326 13151	   	192.39	ACR|3VULN|1ASPD|1DMG|1BEXP|1AART	136VULN|2CGEN|4DMG|5RCR|7AART|8ASPD|9BEXP|aFEWX
27	63326 13153	   	192.39	ACR|3VULN|1ASPD|1DMG|1BEXP|1AART	136VULN|2CGEN|4DMG|5RCR|7AART|8ASPD|9BEXP|aLWND
28	13164 31361	 * 	191.76	ACR|2DMG|2BEXP|1VULN|2CDMG|1AAC	19BEXP|2CGEN|39DUR|46CDMG|5RCR|7VULN|89DMG|9BPWR|aAAC
29	43236 31261	 * 	191.44	ACR|1BASARM|2BEXP|1ASPD|1AART	1RMIN|2CGEN|3AAC|4BASARM|5RCR|6LHND|7aBEXP|8ASPD|9AART
30	63326 13122	   	191.16	ACR|4VULN|1ASPD|1DMG|1AART	1369VULN|2CGEN|4DMG|5RCR|7AART|8ASPD|aRCVC
31	63326 13121	   	190.84	ACR|4VULN|1ASPD|1DMG|1AART	1369VULN|2CGEN|4DMG|5RCR|7AART|8ASPD|aFEWX
32	63326 13125	   	190.84	ACR|4VULN|1ASPD|1DMG|1AART	1369VULN|2CGEN|4DMG|5RCR|7AART|8ASPD|aRPLT
