0	Index      	 *	Score 	Summary	Detail	
1	61511 21332	 * 	323.42	橙2雷电3易伤1喷火对甲1矿等2暴击	129易伤39暴击4矿等5随机矿6喷火对甲7核89雷电9序列升级a基地爆炸
2	61511 21333	   	323.42	橙2雷电3易伤1喷火对甲1矿等2暴击	129易伤39暴击4矿等5随机矿6喷火对甲7核89雷电9序列升级a最后敌人
3	61511 21336	   	323.42	橙2雷电3易伤1喷火对甲1矿等2暴击	129易伤39暴击4矿等5a随机矿6喷火对甲7核89雷电9序列升级
4	61511 21331	   	323.32	橙2雷电3易伤1喷火对甲1矿等2暴击	129易伤39暴击4矿等5随机矿6喷火对甲7核89雷电9序列升级a激光对冰
5	61611 21332	 * 	322.13	橙2雷电3易伤2喷火对甲1矿等1卖塔	129易伤3卖塔4矿等5随机矿69喷火对甲7核89雷电9序列升级a基地爆炸
6	61611 21333	 * 	322.13	橙2雷电3易伤2喷火对甲1矿等1卖塔	129易伤3卖塔4矿等5随机矿69喷火对甲7核89雷电9序列升级a最后敌人
7	61611 21336	 * 	322.13	橙2雷电3易伤2喷火对甲1矿等1卖塔	129易伤3卖塔4矿等5a随机矿69喷火对甲7核89雷电9序列升级
8	61611 21331	 * 	322.03	橙2雷电3易伤2喷火对甲1矿等1卖塔	129易伤3卖塔4矿等5随机矿69喷火对甲7核89雷电9序列升级a激光对冰
9	66511 21332	   	301.28	橙2雷电2易伤1喷火对甲1矿等2暴击	19易伤2双倍矿39暴击4矿等5随机矿6喷火对甲7核89雷电9序列升级a基地爆炸
10	66511 21333	   	301.28	橙2雷电2易伤1喷火对甲1矿等2暴击	19易伤2双倍矿39暴击4矿等5随机矿6喷火对甲7核89雷电9序列升级a最后敌人
11	66511 21331	   	301.18	橙2雷电2易伤1喷火对甲1矿等2暴击	19易伤2双倍矿39暴击4矿等5随机矿6喷火对甲7核89雷电9序列升级a激光对冰
12	66611 21332	 * 	300.00	橙2雷电2喷火对甲2易伤1矿等1卖塔	19易伤2双倍矿3卖塔4矿等5随机矿69喷火对甲7核89雷电9序列升级a基地爆炸
13	66611 21333	 * 	300.00	橙2雷电2喷火对甲2易伤1矿等1卖塔	19易伤2双倍矿3卖塔4矿等5随机矿69喷火对甲7核89雷电9序列升级a最后敌人
14	66611 21331	 * 	299.90	橙2雷电2喷火对甲2易伤1矿等1卖塔	19易伤2双倍矿3卖塔4矿等5随机矿69喷火对甲7核89雷电9序列升级a激光对冰
