0	Index      	 *	Score 	Summary	Detail	
1	52235 84311	 * 	320.09	DCR|2VULN|2TLV|2LIT|1MLV|1DMG|1ASPD	1MBVNT|2aLIT|3MLV|4DMSP|5aTLV|6DMG|7RCR|8ASPD|9aVULN|aBPWR
2	52344 31218	 * 	312.40	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1MBVNT|2LIT|3RPLT|4CGEN|5VULN|6TLV|7DUR|8ASPD|9aRCR
3	52324 31218	   	312.30	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1MBVNT|2LIT|3RPLT|4ERES|5VULN|6TLV|7DUR|8ASPD|9aRCR
4	52344 32218	   	302.74	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1MBVNT|2LIT|3RPLT|4CGEN|5VULN|6TLV|7ASPD|8FEWX|9aRCR
5	52344 32418	   	302.74	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1MBVNT|2LIT|3RPLT|4CGEN|5VULN|6TLV|7ASPD|8BEXP|9aRCR
6	52344 27218	   	302.74	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1MBVNT|2LIT|3RPLT|4CGEN|5VULN|6LHND|7TLV|8ASPD|9aRCR
7	52324 27218	   	302.64	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1MBVNT|2LIT|3RPLT|4ERES|5VULN|6LHND|7TLV|8ASPD|9aRCR
8	52324 32518	   	302.64	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1MBVNT|2LIT|3RPLT|4ERES|5VULN|6TLV|7ASPD|8FEWX|9aRCR
9	52324 32718	   	302.64	DCR|DCR|1TLV|1LIT|1VULN|1RPLT|1ASPD	1MBVNT|2LIT|3RPLT|4ERES|5VULN|6TLV|7ASPD|8BEXP|9aRCR
10	52216 22435	 * 	297.22	3TLV|3LIT|3MLV|2VULN|2DUR	1MBVNT|289LIT|389MLV|4BBNT|5aVULN|6aDUR|789TLV|89aBPWR
11	52214 82435	   	297.22	3TLV|3LIT|3MLV|2VULN|2DUR	1MBVNT|289LIT|389MLV|4BBNT|5aDUR|6aVULN|789TLV|89aBPWR
12	52213 82414	 * 	291.17	DCR|2TLV|2LIT|2MLV|1VULN	1MBVNT|28LIT|38MLV|4BBNT|5LHND|6VULN|78TLV|8BPWR|9RPLT|aRCR
13	52216 62414	   	291.17	DCR|2TLV|2LIT|2MLV|1VULN	1MBVNT|28LIT|38MLV|4BBNT|5VULN|6LHND|78TLV|8BPWR|9RPLT|aRCR
