0	Index      	 *	Score 	Summary	Detail	
1	32136 34143	 * 	306.65	DCR|DCR|2VULN|1TLV|1LIT	1DUR|2LIT|3BEXP|4TLV|56VULN|7LWND|8DUST|9aRCR
2	51343 14312	 * 	302.39	DCR|4VULN|3LIT|1TLV	178LIT|2678VULN|3DUR|4TLV|578ERES|78BPWR|9BEXP|aRCR
3	51343 14322	   	302.29	DCR|4VULN|3LIT|1TLV	178LIT|2678VULN|3DUR|4TLV|578ERES|78BPWR|9DUST|aRCR
4	51143 14322	   	292.63	DCR|4VULN|3LIT|1TLV	178LIT|2678VULN|3BEXP|4TLV|578ERES|78BPWR|9DUST|aRCR
5	23431 63433	   	288.89	DCR|DCR|1TLV|1LIT|1VULN|1RPLT	1RMIN|2RPLT|3DUST|4VULN|5LIT|6TLV|7ERES|8TSLHEL|9aRCR
6	32131 33143	   	288.22	DCR|DCR|1TLV|1LIT|1VULN|2DUR	17DUR|2LIT|3BEXP|4TLV|5LWND|6VULN|8DUST|9aRCR
7	53331 33143	   	288.22	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1LIT|2BEXP|37DUR|4TLV|5LWND|6VULN|8DUST|9aRCR
8	56131 33143	   	288.22	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1LIT|27DUR|3BEXP|4TLV|5LWND|6VULN|8DUST|9aRCR
9	32431 33343	   	288.12	DCR|DCR|1TLV|1LIT|1VULN|2DUR	17DUR|2LIT|3DUST|4TLV|5LWND|6VULN|8LEGI|9aRCR
10	54331 33343	   	288.12	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1LIT|2DUST|37DUR|4TLV|5LWND|6VULN|8LEGI|9aRCR
11	23124 35113	 * 	287.04	DCR|3MLV|2VULN|2TLV|1RPLT	1RMIN|2RPLT|347MLV|48BPWR|58VULN|68TLV|9DUR|aRCR
12	11335 53611	 * 	286.01	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1SELL	1LWND|2DMSP|3VULN|4SELL|5TLV|6LHND|78RCR|9MLV|aLIT
13	51343 24312	   	283.23	DCR|3VULN|3LIT|1TLV	178LIT|278VULN|3DUR|4TLV|578ERES|6RCVC|78BPWR|9BEXP|aRCR
14	51343 24322	   	283.13	DCR|3VULN|3LIT|1TLV	178LIT|278VULN|3DUR|4TLV|578ERES|6RCVC|78BPWR|9DUST|aRCR
15	32326 26243	 * 	282.00	DCR|DCR|2LIT|1TLV|2DUR	13DUR|26LIT|4CGEN|5TBNT|7ERES|8TLV|9aRCR
16	51343 14112	 * 	280.72	DCR|3VULN|2LIT|1TLV|1MLV	17LIT|267VULN|3DUR|4TLV|57ERES|7BPWR|8MLV|9RCR|aBEXP
17	51343 14111	   	280.62	DCR|3VULN|2LIT|1TLV|1MLV	17LIT|267VULN|3DUR|4TLV|57ERES|7BPWR|8MLV|9RCR|aMBVNT
18	51343 14113	   	280.62	DCR|3VULN|2LIT|1TLV|1MLV	17LIT|267VULN|3DUR|4TLV|57aERES|7BPWR|8MLV|9RCR
19	51343 14131	   	280.62	DCR|3VULN|2LIT|1TLV|1MLV	17LIT|267VULN|3DUR|4TLV|57ERES|7BPWR|8MLV|9AME|aRCR
20	51113 23443	   	280.54	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2VULN|37BEXP|4DMSP|5TLV|6RCVC|8BBNT|9aRCR
21	32131 35643	   	280.44	DCR|DCR|1TLV|1VULN|1LIT	1DUR|2LIT|3BEXP|4TLV|5LWND|6VULN|7CGEN|8ERES|9aRCR
22	51113 21443	   	280.44	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2VULN|3BEXP|4DMSP|5TLV|6RCVC|7AEFBLL|8BBNT|9aRCR
23	33311 42643	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1DUR|2AME|3FEWX|4TLV|5LWND|6VULN|7LIT|8ERES|9aRCR
24	51343 33143	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2VULN|3DUR|4TLV|5ERES|6RMIN|7BEXP|8DUST|9aRCR
25	11335 53631	   	280.30	DCR|DCR|1TLV|1LIT|1VULN|1SELL	1LWND|2DMSP|3VULN|4SELL|5TLV|6LHND|78RCR|9LIT|aDUR
26	31323 42355	   	280.21	DCR|DCR|2VULN|1TLV	1DUR|2DMSP|39VULN|4LWND|5TBNT|68RCR|7BELT|aTLV
27	11335 53633	   	278.95	DCR|DCR|1TLV|1LIT|1VULN|1SELL	1LWND|2DMSP|3VULN|4SELL|5TLV|6LHND|78RCR|9LIT|aAART
28	32136 31521	   	278.88	DCR|3VULN|2LIT|1TLV|2DUR	19DUR|29LIT|3BEXP|4TLV|569VULN|7TBNT|8RCR|9BPWR|aAAC
29	32136 31522	   	278.88	DCR|3VULN|2LIT|1TLV|2DUR	19DUR|29LIT|3BEXP|4TLV|569VULN|7TBNT|8RCR|9BPWR|aFEWX
30	32136 31525	   	278.88	DCR|3VULN|2LIT|1TLV|2DUR	19DUR|29LIT|3aBEXP|4TLV|569VULN|7TBNT|8RCR|9BPWR
31	32136 31526	   	278.88	DCR|3VULN|2LIT|1TLV|2DUR	19DUR|29LIT|3BEXP|4TLV|569VULN|7TBNT|8RCR|9BPWR|aCGEN
32	32136 31523	   	278.78	DCR|3VULN|2LIT|1TLV|2DUR	19DUR|29LIT|3BEXP|4TLV|569VULN|7TBNT|8RCR|9BPWR|aAEFBLL
33	32436 31521	   	278.78	DCR|3VULN|2LIT|1TLV|2DUR	19DUR|29LIT|3DUST|4TLV|569VULN|7TBNT|8RCR|9BPWR|aAAC
34	32436 31522	   	278.78	DCR|3VULN|2LIT|1TLV|2DUR	19DUR|29LIT|3DUST|4TLV|569VULN|7TBNT|8RCR|9BPWR|aFEWX
35	32436 31523	   	278.68	DCR|3VULN|2LIT|1TLV|2DUR	19DUR|29LIT|3DUST|4TLV|569VULN|7TBNT|8RCR|9BPWR|aAEFBLL
36	23124 35133	   	277.38	DCR|3MLV|2VULN|2TLV|1RPLT	1RMIN|2RPLT|347MLV|48BPWR|58VULN|68TLV|9FEWX|aRCR
