0	Index      	 *	Score 	Summary	Detail	
1	36263 21273	 * 	302.05	DCR|4VULN|3DMG|1TLV|2ASPD	17ASPD|2MBVNT|3RMIN|4678VULN|567DMG|67BPWR|9TLV|aRCR
2	36373 31236	 * 	301.77	DCR|DCR|1TLV|1LIT|1VULN|2DUR|1ASPD	1ASPD|2MBVNT|3DUST|45DUR|6VULN|7LIT|8TLV|9aRCR
3	36181 11236	 * 	299.61	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1ASPD	1ASPD|2MBVNT|3MLV|4ERES|5VULN|6LEGI|7LIT|8TLV|9aRCR
4	36181 41236	   	299.61	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1ASPD	1ASPD|2MBVNT|3MLV|4ERES|5VULN|6DUST|7LIT|8TLV|9aRCR
5	24111 35421	 * 	297.97	DCR|DCR|2VULN|1TLV|1CDMG	1BBNT|2TLV|3BELT|4CGEN|5DUR|68VULN|79RCR|aCDMG
6	36711 11236	 * 	296.79	DCR|DCR|1TLV|1LIT|1VULN|2ASPD	13ASPD|2MBVNT|4LWND|5VULN|6LEGI|7LIT|8TLV|9aRCR
7	36711 41236	   	296.79	DCR|DCR|1TLV|1LIT|1VULN|2ASPD	13ASPD|2MBVNT|4LWND|5VULN|6DUST|7LIT|8TLV|9aRCR
8	24135 34133	 * 	294.42	DCR|2VULN|2TLV|2MLV|1LIT	1BBNT|28TLV|3BELT|48MLV|58VULN|6TBNT|7RCR|8BPWR|9LHND|aLIT
9	36241 81236	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4ERES|5VULN|6DUR|7LIT|8TLV|9aRCR
10	36338 13236	   	293.90	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|34DUST|5LIT|6VULN|7DUR|8TLV|9aRCR
11	36123 42133	 * 	293.79	DCR|2VULN|2TLV|2ASPD|1MLV|1DMG|1CDMG	19ASPD|2MBVNT|3MLV|49VULN|5DMG|6CDMG|7AAC|89TLV|9BPWR|aRCR
12	41612 25221	   	292.64	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1AEFBLL|2CDMG|3LIT|4RPLT|5SNIFST|68RCR|7RMIN|9TLV|aVULN
13	41612 26223	   	292.64	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1AEFBLL|2CDMG|3LIT|4RPLT|5SNIFST|68RCR|7CGEN|9TLV|aVULN
14	41612 22223	   	292.54	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1AEFBLL|2CDMG|3LIT|4RPLT|5SNIFST|68RCR|7ERES|9TLV|aVULN
15	36263 21161	   	288.45	DCR|3VULN|3DMG|1TLV|2ASPD	17ASPD|2MBVNT|3RMIN|467VULN|567DMG|67BPWR|8TBNT|9RCR|aTLV
16	24112 35421	   	288.31	DCR|DCR|2VULN|1TLV|1CDMG	1BBNT|2TLV|3BELT|4CGEN|5LWND|68VULN|79RCR|aCDMG
17	23123 36346	 * 	284.96	DCR|2TLV|2LIT|1VULN|1MLV	1BBNT|2TBNT|3DUR|4MLV|58TLV|6VULN|7aLIT|9RCR
18	23123 61346	   	284.96	DCR|2TLV|2LIT|1VULN|1MLV	1BBNT|2TBNT|3DUR|4MLV|58TLV|6aLIT|7VULN|9RCR
19	23123 36345	   	284.70	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1BBNT|2TBNT|3DUR|4MLV|58TLV|6VULN|7LIT|9RCR|aDMG
20	23123 61345	   	284.70	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1BBNT|2TBNT|3DUR|4MLV|58TLV|6LIT|7VULN|9RCR|aDMG
21	32434 33631	 * 	284.65	DCR|4VULN|2LIT|3ASPD|1RPLT	18aASPD|2AART|3RPLT|459aVULN|6aLIT|7RCR|aBPWR
22	36223 31236	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4TLV|5CGEN|6aRCR|7LIT|8VULN|9LHND
23	36223 31276	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4TLV|5CGEN|6aRCR|7LIT|8VULN|9LWND
24	36451 11236	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|34FEWX|5VULN|6LHND|7LIT|8TLV|9aRCR
25	36225 31236	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4TLV|5ERES|6aRCR|7LIT|8VULN|9LHND
26	36221 63136	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4TLV|5VULN|6ERES|7LIT|8LWND|9aRCR
27	36221 63236	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4TLV|5VULN|6ERES|7LIT|8FEWX|9aRCR
28	36241 11236	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4ERES|5VULN|6LHND|7LIT|8TLV|9aRCR
29	36241 21236	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4ERES|5VULN|6LWND|7LIT|8TLV|9aRCR
30	36241 31236	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4ERES|5VULN|6FEWX|7LIT|8TLV|9aRCR
31	36248 31236	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3RMIN|4ERES|5LWND|6VULN|7LIT|8TLV|9aRCR
32	36361 11236	   	284.33	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|3DUST|4RCVC|5VULN|6LHND|7LIT|8TLV|9aRCR
33	24111 35423	   	284.32	DCR|DCR|2VULN|1TLV	1BBNT|2TLV|3BELT|4CGEN|5DUR|68VULN|79RCR|aDMSP
34	36331 11236	   	284.23	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|34DUST|5VULN|6LHND|7LIT|8TLV|9aRCR
35	36331 71236	   	284.23	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2MBVNT|34DUST|5VULN|6FEWX|7LIT|8TLV|9aRCR
36	24111 35422	   	284.22	DCR|DCR|2VULN|1TLV	1BBNT|2TLV|3BELT|4CGEN|5DUR|68VULN|79RCR|aDUST
37	24112 35423	   	282.96	DCR|DCR|2VULN|1TLV	1BBNT|2TLV|3BELT|4CGEN|5LWND|68VULN|79RCR|aAART
38	24131 15125	   	281.26	DCR|DCR|1TLV|1VULN|1MLV|2DUR	1BBNT|2TLV|3BELT|4MLV|58DUR|6LHND|79RCR|aVULN
