0	Index      	 *	Score 	Summary	Detail	
1	25613 13234	 * 	331.87	ACR|DCR|3TLV|3LIT|2VULN|1ASPD	179TLV|29aLIT|3ERES|4ASPD|56RCR|89VULN|9BPWR
2	25613 13231	   	322.40	ACR|DCR|3TLV|2VULN|2LIT|1ASPD	179TLV|29LIT|3ERES|4ASPD|56RCR|89VULN|9BPWR|aRPLT
3	25613 13232	   	314.09	ACR|DCR|3TLV|2VULN|2LIT|1ASPD	179TLV|29LIT|3ERES|4ASPD|56RCR|89VULN|9BPWR|aAAC
4	25613 13233	   	314.09	ACR|DCR|3TLV|2VULN|2LIT|1ASPD	179TLV|29LIT|3ERES|4ASPD|56RCR|89VULN|9BPWR|aMGNSTR
5	25613 13235	   	314.09	ACR|DCR|3TLV|2VULN|2LIT|1ASPD	179TLV|29LIT|3ERES|4ASPD|56RCR|89VULN|9BPWR|aFEWX
6	25613 13236	   	314.09	ACR|DCR|3TLV|2VULN|2LIT|1ASPD	179TLV|29LIT|3ERES|4ASPD|56RCR|89VULN|9BPWR|aCGEN
7	21626 31523	 * 	309.52	DCR|3VULN|2TLV|3DMG|1MLV	17TLV|2CGEN|367DMG|4AAC|579VULN|7BPWR|8RCR|aMLV
8	25214 43132	 * 	308.98	DCR|DCR|3LIT|1TLV|1VULN	1TLV|247LIT|3LWND|5CGEN|6BEXP|8aRCR|9VULN
9	25314 43132	   	308.98	DCR|DCR|3LIT|1TLV|1VULN	1TLV|237LIT|4LWND|5CGEN|6BEXP|8aRCR|9VULN
10	25211 23132	   	308.88	DCR|DCR|3LIT|1TLV|1VULN	1TLV|247LIT|3LWND|5BEXP|6ERES|8aRCR|9VULN
11	25311 23132	   	308.88	DCR|DCR|3LIT|1TLV|1VULN	1TLV|237LIT|4LWND|5BEXP|6ERES|8aRCR|9VULN
12	53216 32322	 * 	304.83	DCR|2VULN|2LIT|2DMG|1TLV|1RPLT	18VULN|2RPLT|3MDPS|4TLV|58DMG|6TBNT|78LIT|8BPWR|9DUR|aRCR
13	22452 21221	 * 	304.46	DCR|4VULN|3TLV|2MLV	17aTLV|2DUST|3567VULN|47MLV|7BPWR|8TSLARM|9RCR
14	25613 16231	   	303.80	ACR|DCR|2VULN|2TLV|1LIT|1ASPD	19TLV|2LIT|39ERES|4ASPD|56RCR|7AEFBLL|89VULN|9BPWR|aBBNT
