0	Index      	 *	Score 	Summary	Detail	
1	32521 31515	 * 	324.19	DCR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1LEGI|2MLV|3VULN|4DMG|5RPLT|6TLV|7BBNT|8LIT|9aRCR
2	26211 53224	 * 	320.35	DCR|5VULN|2LIT|2MLV|1TLV	13789VULN|2RCVC|48MLV|58LIT|6RCR|8BPWR|aTLV
3	26211 55213	 * 	315.72	DCR|3VULN|3LIT|2MLV|1TLV|1CDMG	138VULN|2RCVC|48MLV|578LIT|6RCR|8BPWR|9TLV|aCDMG
4	52131 11131	 * 	312.31	DCR|DCR|2VULN|1TLV|1LIT	1TBNT|25VULN|3TLV|4LHND|6LIT|7aRCR|8BEXP|9DUR
5	52141 11331	   	312.31	DCR|DCR|2VULN|1TLV|1LIT	1TBNT|25VULN|3TLV|4BEXP|6LIT|7aRCR|8FEWX|9DUR
6	52141 11531	   	312.31	DCR|DCR|2VULN|1TLV|1LIT	1TBNT|25VULN|3TLV|4BEXP|6LIT|7aRCR|8LHND|9DUR
7	52131 11531	   	312.21	DCR|DCR|2VULN|1TLV|1LIT	1TBNT|25VULN|3TLV|4LHND|6LIT|7aRCR|8DUST|9DUR
8	62253 32215	   	312.16	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2BBNT|3LIT|4TLV|5DUR|6RPLT|7CGEN|8VULN|9aRCR
9	22333 33315	   	308.81	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|2LIT|3AME|4RPLT|5BBNT|6DMG|7TLV|8FEWX|9aRCR
10	22333 35615	   	308.81	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|2LIT|3AME|4RPLT|5BBNT|6DMG|7LHND|8TLV|9aRCR
11	12333 33215	   	308.71	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1DUST|2LIT|3AME|4RPLT|5BBNT|6DMG|7TLV|8VULN|9aRCR
12	22333 36615	   	308.71	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1VULN|2LIT|3AME|4RPLT|5BBNT|6DMG|7DUST|8TLV|9aRCR
13	52132 11131	 * 	306.75	DCR|DCR|2TLV|1LIT|1VULN	1TBNT|2VULN|35TLV|45LHND|5BPWR|6LIT|7aRCR|8BEXP|9DUR
14	52142 11331	   	306.75	DCR|DCR|2TLV|1LIT|1VULN	1TBNT|2VULN|35TLV|45BEXP|5BPWR|6LIT|7aRCR|8FEWX|9DUR
15	52142 11531	   	306.75	DCR|DCR|2TLV|1LIT|1VULN	1TBNT|2VULN|35TLV|45BEXP|5BPWR|6LIT|7aRCR|8LHND|9DUR
16	52132 11531	   	306.65	DCR|DCR|2TLV|1LIT|1VULN	1TBNT|2VULN|35TLV|45LHND|5BPWR|6LIT|7aRCR|8DUST|9DUR
17	52136 11131	   	306.65	DCR|DCR|2TLV|1LIT|1VULN	1TBNT|2VULN|35TLV|4LHND|6LIT|7aRCR|8BEXP|9DUR
18	52136 11531	   	306.55	DCR|DCR|2TLV|1LIT|1VULN	1TBNT|2VULN|35TLV|4LHND|6LIT|7aRCR|8DUST|9DUR
19	62252 32215	   	302.50	DCR|DCR|1TLV|1LIT|1VULN|1ASPD	1ASPD|2BBNT|3LIT|4TLV|5LHND|6RPLT|7CGEN|8VULN|9aRCR
20	26211 55212	   	301.97	DCR|3VULN|3LIT|2MLV|1TLV	138VULN|2RCVC|48MLV|578LIT|6RCR|8BPWR|9TLV|aERES
21	25311 31515	   	298.51	DCR|DCR|1TLV|1LIT|1VULN	1VULN|2ZMB|3CGEN|4DUR|5RPLT|6TLV|7BBNT|8LIT|9aRCR
22	21355 11341	 * 	297.86	DCR|3VULN|2TLV|1LIT|1MLV	19aVULN|2ERES|39CGEN|4BBNT|5MLV|6LIT|7RCR|89TLV|9BPWR
23	52132 11321	 * 	296.52	DCR|DCR|3TLV|1LIT|1VULN	1TBNT|2VULN|358TLV|459LHND|5BPWR|6LIT|7aRCR
24	52136 11321	   	296.42	DCR|DCR|3TLV|1LIT|1VULN	1TBNT|2VULN|358TLV|49LHND|6LIT|7aRCR
25	52114 11632	   	296.21	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1TBNT|2VULN|3TLV|49ERES|5DMG|6LIT|7aRCR|8MSLFST
