0	Index      	 *	Score 	Summary	Detail	
1	26232 33534	 * 	301.08	DCR|DCR|2TLV|1LIT|1MLV	1BLASTR|2LIT|3DUR|4MLV|59LWND|6aRCR|78TLV
2	21431 12524	 * 	295.82	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1BLASTR|2MLV|3DMSP|4DUR|5TLV|6LIT|7RCVC|8aRCR|9VULN
3	21131 12524	   	295.72	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1BLASTR|2MLV|3AEFBLL|4DUR|5TLV|6LIT|7RCVC|8aRCR|9VULN
4	21421 12524	   	286.16	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1BLASTR|2MLV|3DMSP|4BEXP|5TLV|6LIT|7RCVC|8aRCR|9VULN
5	21611 12524	   	286.16	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1BLASTR|2MLV|34FEWX|5TLV|6LIT|7RCVC|8aRCR|9VULN
6	21121 12524	   	286.06	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1BLASTR|2MLV|3AEFBLL|4BEXP|5TLV|6LIT|7RCVC|8aRCR|9VULN
7	21141 12524	   	285.96	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1BLASTR|2MLV|3AEFBLL|4DUST|5TLV|6LIT|7RCVC|8aRCR|9VULN
8	21521 12524	   	285.96	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1BLASTR|2MLV|3ERES|4AME|5TLV|6LIT|7RCVC|8aRCR|9VULN
9	51152 27434	   	283.54	DCR|DCR|1TLV|1LIT|1DMG	1DUR|2TBNT|3BBNT|4DMG|5TLV|6MBVNT|78RCR|9ERES|aLIT
10	63152 27434	   	283.54	DCR|DCR|1TLV|1LIT|1DMG	1TBNT|2DUR|3BBNT|4DMG|5TLV|6MBVNT|78RCR|9ERES|aLIT
11	26333 33453	 * 	282.36	DCR|2VULN|2TLV|2LIT|1DMG	1BLASTR|25LIT|36VULN|49TLV|7AART|8RCR|aDMG
12	22531 12524	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	12BLASTR|2BPWR|3CGEN|4DUR|5TLV|6LIT|7RCVC|8aRCR|9VULN
13	11533 53233	 * 	276.95	ACR|DCR|1TLV|2DMG|1LIT|1VULN	1FEWX|2TBNT|3BASHEA|4LIT|56RCR|7VULN|8TLV|9aDMG
14	11633 53233	   	276.95	ACR|DCR|1TLV|2DMG|1LIT|1VULN	1FEWX|2TBNT|3GSSTOX|4LIT|56RCR|7VULN|8TLV|9aDMG
15	12384 42645	   	276.62	DCR|DCR|1TLV|1LIT|1DMG	1FEWX|2ERES|3MBVNT|4DMG|5LIT|6RPLT|7aRCR|8TLV|9BBNT
16	26333 32152	 * 	276.13	DCR|3VULN|2TLV|2LIT	1BLASTR|25LIT|367VULN|49TLV|8CGEN|aRCR
17	26333 31462	   	276.03	DCR|3VULN|2TLV|2LIT	1BLASTR|25LIT|369VULN|48TLV|7ERES|aRCR
18	26333 32252	   	276.03	DCR|3VULN|2TLV|2LIT	1BLASTR|25LIT|367VULN|49TLV|8AME|aRCR
19	26336 32352	   	276.03	DCR|3VULN|2TLV|2LIT	1BLASTR|28LIT|367VULN|45TLV|9ERES|aRCR
20	33362 11611	 * 	275.36	DCR|2VULN|2MLV|1TLV|1LIT|1RPLT	18CGEN|2TBNT|3RPLT|4BBNT|58MLV|68VULN|7RCR|8BPWR|9LIT|aTLV
21	26314 32152	 * 	274.98	DCR|4VULN|2TLV|1LIT	1BLASTR|2LIT|3467VULN|59TLV|8CGEN|aRCR
22	26336 32162	   	274.98	DCR|4VULN|2TLV|1LIT	1BLASTR|2LIT|3679VULN|45TLV|8CGEN|aRCR
23	26314 32252	   	274.88	DCR|4VULN|2TLV|1LIT	1BLASTR|2LIT|3467VULN|59TLV|8AME|aRCR
24	26333 32162	 * 	274.75	DCR|4VULN|2LIT|1TLV	1BLASTR|25LIT|3679VULN|4TLV|8CGEN|aRCR
25	11533 53253	 * 	274.74	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1FEWX|2TBNT|3BASHEA|4LIT|56RCR|7VULN|8TLV|9MLV|aDMG
26	11633 53253	   	274.74	ACR|DCR|1TLV|1LIT|1VULN|1MLV|1DMG	1FEWX|2TBNT|3GSSTOX|4LIT|56RCR|7VULN|8TLV|9MLV|aDMG
27	26314 32352	   	274.65	DCR|4VULN|2LIT|1TLV	1BLASTR|28LIT|3467VULN|5TLV|9ERES|aRCR
28	26333 36431	   	274.06	DCR|2VULN|2TLV|2LIT|1DMG	1BLASTR|25LIT|36VULN|48TLV|7DMG|9RCR|aLWND
29	26333 36433	   	274.06	DCR|2VULN|2TLV|2LIT|1DMG	1BLASTR|25LIT|36VULN|48TLV|7DMG|9RCR|aRCVC
30	26333 36432	   	273.96	DCR|2VULN|2TLV|2LIT|1DMG	1BLASTR|25LIT|36VULN|48TLV|7DMG|9RCR|aDUST
31	51152 27431	   	271.99	DCR|DCR|2TLV|1DMG	1DUR|2TBNT|3BBNT|4DMG|5aTLV|6MBVNT|78RCR|9ERES
32	63152 27431	   	271.99	DCR|DCR|2TLV|1DMG	1TBNT|2DUR|3BBNT|4DMG|5aTLV|6MBVNT|78RCR|9ERES
33	26333 33452	   	271.96	DCR|2VULN|2TLV|2LIT	1BLASTR|25LIT|36VULN|49TLV|7AART|8RCR|aBBNT
34	26252 33234	   	271.50	DCR|DCR|1TLV|1LIT|1MLV|2DUR	1BLASTR|2LIT|37DUR|4TLV|59LWND|6aRCR|8MLV
