0	Index      	 *	Score 	Summary	Detail	
1	31312 54134	 * 	309.19	紫橙2易伤1等级1烈焰减费	1随机技能2烈焰减费39易伤4a核5导弹对绿6等级7雷电8策反
2	32312 54134	   	309.19	紫橙2易伤1等级1毒气减费	1随机技能2毒气减费39易伤4a核5导弹对绿6等级7雷电8策反
3	23124 61413	   	306.11	紫橙2易伤1等级1火球减费1全技能	1火球减费2导弹对绿39核4掉矿5等级6狙击对黄7全技能8a易伤
4	31512 31142	 * 	301.82	橙3易伤2等级1烈焰减费1暴击2随机技能	18随机技能2烈焰减费38等级4暴击5金币生成6平台78a易伤8序列升级9核
5	32512 31142	   	301.82	橙3易伤2等级1毒气减费1暴击2随机技能	18随机技能2毒气减费38等级4暴击5金币生成6平台78a易伤8序列升级9核
6	31512 31146	   	297.19	橙2等级2易伤1伤害1烈焰减费2随机技能1暴击	18随机技能2烈焰减费38等级4暴击5金币生成6平台78易伤8序列升级9核a伤害
7	32512 31146	   	297.19	橙2等级2易伤1伤害1毒气减费2随机技能1暴击	18随机技能2毒气减费38等级4暴击5金币生成6平台78易伤8序列升级9核a伤害
8	31312 43562	 * 	297.09	紫2等级2易伤1烈焰减费1伤害1暴击2随机技能	18随机技能2烈焰减费38易伤4核5导弹对绿6矿等78等级8序列升级9暴击a伤害
9	32312 43562	   	297.09	紫2等级2易伤1伤害1毒气减费2随机技能1暴击	18随机技能2毒气减费38易伤4核5导弹对绿6矿等78等级8序列升级9暴击a伤害
10	21322 65325	 * 	290.11	紫橙1等级2伤害1火球减费1烈焰减费1攻速1全技能	1火球减费2额外掉落3等级49核5全技能6烈焰减费7攻速8a伤害
11	21323 25625	   	290.11	紫橙1等级2伤害1火球减费1攻速1全技能	1火球减费2额外掉落3等级49核5立即金币6a伤害7攻速8全技能
12	21341 36162	 * 	288.07	橙3等级3易伤2火球减费	19火球减费2额外掉落39a等级4随机矿5核弹689易伤7核9序列升级
13	31312 43563	   	286.69	紫2等级2易伤1烈焰减费1暴击2随机技能	18随机技能2烈焰减费38易伤4核5导弹对绿6矿等78等级8序列升级9暴击a时间
14	32312 43563	   	286.69	紫2等级2易伤1毒气减费1暴击2随机技能	18随机技能2毒气减费38易伤4核5导弹对绿6矿等78等级8序列升级9暴击a时间
15	21322 65322	   	286.17	紫橙1等级1火球减费1伤害1烈焰减费1攻速1暴击1全技能	1火球减费2额外掉落3等级49核5全技能6烈焰减费7攻速8伤害a暴击
16	21323 25622	   	286.17	紫橙1等级1火球减费1伤害1攻速1暴击1全技能	1火球减费2额外掉落3等级49核5立即金币6伤害7攻速8全技能a暴击
17	23124 61513	   	285.92	紫橙1等级1易伤1火球减费1全技能	1火球减费2导弹对绿39核4掉矿5等级6狙击对黄7全技能8时间a易伤
18	21342 36162	   	284.75	橙3易伤2等级2火球减费2策反	19火球减费2额外掉落3a等级4随机矿59策反689易伤7核9序列升级
19	31512 31141	   	283.44	橙2等级2易伤1烈焰减费2暴击2随机技能	18随机技能2烈焰减费38等级4a暴击5金币生成6平台78易伤8序列升级9核
20	32512 31141	   	283.44	橙2等级2易伤1毒气减费2暴击2随机技能	18随机技能2毒气减费38等级4a暴击5金币生成6平台78易伤8序列升级9核
21	33313 12142	   	283.44	橙2等级2易伤1毒气减费2暴击2随机技能	18随机技能2平台3a易伤48等级5毒气减费6金币生成78暴击8序列升级9核
22	31312 43535	   	283.34	紫2等级2易伤1伤害1烈焰减费2随机技能	18随机技能2烈焰减费38易伤4核5导弹对绿6矿等78等级8序列升级9掉矿a伤害
23	32312 43535	   	283.34	紫2等级2易伤1伤害1毒气减费2随机技能	18随机技能2毒气减费38易伤4核5导弹对绿6矿等78等级8序列升级9掉矿a伤害
24	21321 25625	   	282.75	紫橙1等级1火球减费1伤害1攻速1全技能2策反	1火球减费2额外掉落3等级49核56策反7攻速8全技能a伤害
25	26126 62132	   	281.58	橙3易伤1等级1火球减费1伤害1暴击1卖塔	1火球减费2等级3卖塔4暴击58a易伤6伤害7散射对喷气9核
26	21321 14136	 * 	281.36	紫3易伤2等级2火球减费	1a火球减费2额外掉落3a等级4核5策反6最后敌人7核弹89a易伤a序列升级
27	21321 36136	   	281.36	紫3易伤2等级2火球减费	1a火球减费2额外掉落3a等级4核5策反6核弹7低血量敌人89a易伤a序列升级
