0	Index      	 *	Score 	Summary	Detail	
1	11253 61115	 * 	222.80	紫3伤害1基础对甲3基地爆炸	17磁铁减费278伤害39金币生成489基地爆炸5核6789低血量敌人789序列升级a基础对甲
2	62121 23634	 * 	221.02	紫3基地爆炸2伤害2攻速2易伤	1平台2a伤害3掉矿4核5a易伤689基地爆炸7a攻速a序列升级
3	42363 33251	 * 	214.70	紫1基础对甲2基地爆炸2暴击1伤害	1最后敌人25基地爆炸3核45暴击5序列升级6双倍秒伤7伤害8掉矿9易伤a基础对甲
4	62121 36232	 * 	211.22	紫3伤害3易伤2暴击1攻速	1平台289伤害3掉矿4核579易伤69暴击9序列升级a攻速
5	15673 24133	 * 	205.37	紫3伤害2攻速2易伤1基地爆炸	18磁铁减费24易伤3加一5核68a伤害78攻速8序列升级9基地爆炸
6	52363 63212	 * 	205.29	紫3基地爆炸3暴击2易伤1伤害1技能	19低血量敌人259基地爆炸3核457暴击59序列升级6技能89易伤a伤害
7	52363 63312	 * 	205.10	紫2伤害2基地爆炸3暴击1全技能1技能	1低血量敌人25基地爆炸3核457暴击5序列升级6技能8全技能9a伤害
8	52315 36123	   	204.95	紫3伤害3基地爆炸1暴击	178低血量敌人278基地爆炸3核4金币生成5易伤678伤害78序列升级9暴击a最后敌人
9	52315 36132	   	204.95	紫3伤害3基地爆炸1暴击	1789低血量敌人278基地爆炸3核4金币生成5易伤678伤害78序列升级a暴击
10	52315 36122	   	204.85	紫3伤害3基地爆炸1暴击	178低血量敌人278基地爆炸3核4金币生成5易伤678伤害78序列升级9暴击a挖尘
11	42363 12111	   	203.93	紫2伤害2基地爆炸3暴击1全技能	1a最后敌人25基地爆炸3核45a暴击5a序列升级6全技能7易伤8时间9a伤害
12	52363 12111	   	203.93	紫2伤害2基地爆炸3暴击1全技能	1a低血量敌人25基地爆炸3核45a暴击5a序列升级6全技能7易伤8时间9a伤害
13	52315 36223	 * 	202.78	紫2伤害3易伤2基地爆炸1全技能	17低血量敌人27基地爆炸3核4金币生成58a易伤67伤害7序列升级9全技能
14	62123 32443	 * 	202.76	紫1基础对甲2基地爆炸2易伤1伤害	1平台2伤害3掉矿4核5矿等69基地爆炸7a易伤8基础对甲
15	42363 14222	 * 	201.92	紫3基地爆炸2攻速2暴击1全技能	1最后敌人257基地爆炸3核45暴击5序列升级6全技能8掉矿9a攻速
16	52363 14222	   	201.92	紫3基地爆炸2攻速2暴击1全技能	1低血量敌人257基地爆炸3核45暴击5序列升级6全技能8掉矿9a攻速
17	62322 22443	 * 	199.85	紫1基础对甲3易伤1伤害1基地爆炸	1平台2伤害3火球减费4核578易伤6基地爆炸9基础对甲a随机矿
18	62123 32463	   	199.85	紫1基础对甲3易伤1伤害1基地爆炸	1平台2伤害3掉矿4核5矿等6基地爆炸79a易伤8基础对甲
19	62322 22441	   	199.75	紫1基础对甲3易伤1伤害1基地爆炸	1平台2伤害3火球减费4核578易伤6基地爆炸9基础对甲a挖尘
20	62322 22442	   	199.75	紫1基础对甲3易伤1伤害1基地爆炸	1平台2伤害3火球减费4核578易伤6基地爆炸9基础对甲a双倍秒伤
21	42363 12521	   	199.37	紫2基地爆炸3暴击2易伤1伤害1全技能	18最后敌人25基地爆炸3核458暴击58序列升级6全技能78易伤9矿等a伤害
22	52363 12521	   	199.37	紫2基地爆炸3暴击2易伤1伤害1全技能	18低血量敌人25基地爆炸3核458暴击58序列升级6全技能78易伤9矿等a伤害
23	42363 12533	   	199.27	紫2基地爆炸3暴击2易伤1伤害1全技能	18最后敌人25基地爆炸3核458暴击58序列升级6全技能78易伤9防空对甲a伤害
24	52363 12533	   	199.27	紫2基地爆炸3暴击2易伤1伤害1全技能	18低血量敌人25基地爆炸3核458暴击58序列升级6全技能78易伤9防空对甲a伤害
25	13551 36232	 * 	198.89	紫1基础对甲2易伤2暴击1伤害1卖塔	1磁铁减费2卖塔3核4双倍秒伤57易伤6a暴击8伤害9基础对甲
26	52315 36321	   	197.89	紫2伤害2基地爆炸1攻速1全技能	17低血量敌人27基地爆炸3核4金币生成5易伤67伤害7序列升级8攻速9全技能a策反
27	52315 36322	   	197.89	紫2伤害2基地爆炸1攻速1全技能	17低血量敌人27基地爆炸3核4金币生成5易伤67伤害7序列升级8攻速9全技能a平台
28	42365 12111	   	197.79	紫2伤害2基地爆炸2暴击1全技能	1a最后敌人25基地爆炸3核4a暴击6全技能7易伤8时间9a伤害a序列升级
29	52315 36323	   	197.65	紫2伤害2基地爆炸1攻速1全技能1卖塔	17低血量敌人27基地爆炸3核4金币生成5易伤67伤害7序列升级8攻速9全技能a卖塔
30	52363 31232	   	197.59	紫2攻速2基地爆炸2暴击1全技能	1低血量敌人25基地爆炸3核45暴击5序列升级6易伤7掉矿89攻速a全技能
31	62322 33145	   	197.29	紫2伤害2易伤2暴击1攻速1全技能	16平台28伤害3火球减费4核58易伤78暴击8序列升级9全技能a攻速
32	15673 24114	 * 	196.30	紫2伤害2攻速3易伤1技能	18磁铁减费24a易伤3加一5核68伤害78攻速8序列升级9技能
33	42363 61333	 * 	195.73	紫2基地爆炸1基础对冰2暴击1伤害2技能	1最后敌人25基地爆炸3核45暴击5序列升级6a技能7随机矿8伤害9基础对冰
34	52363 61333	   	195.73	紫2基地爆炸1基础对冰2暴击1伤害2技能	1低血量敌人25基地爆炸3核45暴击5序列升级6a技能7随机矿8伤害9基础对冰
35	62121 63211	 * 	194.96	紫1基础对甲1伤害1攻速1基地爆炸	1平台2伤害3掉矿4核5易伤6随机矿7攻速8基地爆炸9敌人爆炸a基础对甲
