0	Index      	 *	Score 	Summary	Detail	
1	52324 11421	 * 	331.52	紫橙3易伤2伤害1等级2攻速1卖塔	17a易伤2平台37伤害48核5卖塔67攻速7序列升级9等级
2	51162 13132	 * 	327.73	橙4易伤3矿等2等级	137a易伤237矿等37序列升级4技能点5时间67等级8基地爆炸9核
3	51162 13232	   	327.73	橙4易伤3矿等2等级	137a易伤237矿等37序列升级4技能点5时间67等级8挖尘9核
4	52324 11423	 * 	321.71	紫橙2易伤2伤害1等级2攻速1暴击1卖塔	17易伤2平台37伤害48核5卖塔67攻速7序列升级9等级a暴击
5	52324 11422	 * 	307.96	紫橙2易伤2伤害1等级2攻速1卖塔	17易伤2平台37伤害48核5卖塔67攻速7序列升级9等级a挖尘
6	51162 13131	   	307.58	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8基地爆炸9核a策反
7	51162 13134	   	307.58	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8基地爆炸9核a敌人爆炸
8	51162 13135	   	307.58	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8基地爆炸9核a平台
9	51162 13231	   	307.58	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8挖尘9核a策反
10	51162 13234	   	307.58	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8挖尘9核a敌人爆炸
11	51162 13235	   	307.58	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8挖尘9核a平台
12	51162 13133	   	307.48	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8基地爆炸9核a激光对愈
13	51162 13136	   	307.48	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8基地爆炸9核a风暴减费
14	51162 13233	   	307.48	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8挖尘9核a激光对愈
15	51162 13236	   	307.48	橙3易伤3矿等2等级	137易伤237矿等37序列升级4技能点5时间67等级8挖尘9核a风暴减费
16	53335 35333	 * 	305.56	橙橙2伤害1易伤2攻速1暴击	1易伤25伤害3随机技能4a攻速68核7敌人爆炸9暴击
17	53335 35321	 * 	305.40	橙橙2易伤2伤害1攻速	1a易伤25伤害3随机技能4攻速68核79敌人爆炸
