0	Index      	 *	Score 	Summary	Detail	
1	12553 24211	 * 	242.21	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能1时间	1双倍物品2易伤3全技能4技能5散射对甲6伤害7时间8核9雷电a双倍秒伤
2	12553 24232	   	242.21	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能1时间	1双倍物品2易伤3全技能4技能5散射对甲6伤害7时间8核9技能点a双倍秒伤
3	12553 21211	   	231.21	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能	1双倍物品2易伤3全技能4技能5散射对甲6伤害7低血量敌人8核9雷电a双倍秒伤
4	12553 21231	   	231.21	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能	1双倍物品2易伤3全技能4技能5散射对甲6伤害7低血量敌人8核9双倍秒伤a基地爆炸
5	12553 21232	 * 	231.21	橙1散射对甲1双倍秒伤2伤害1易伤1全技能1技能	1双倍物品2易伤3全技能4技能5散射对甲6a伤害7低血量敌人8核9双倍秒伤
6	12553 21233	   	231.21	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能1挖怪	1双倍物品2易伤3全技能4技能5散射对甲6伤害7低血量敌人8核9双倍秒伤a挖怪
7	12553 21234	   	231.21	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能	1双倍物品2易伤3全技能4技能5散射对甲6伤害7a低血量敌人8核9双倍秒伤
8	12553 21235	   	231.21	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能	1双倍物品2易伤3全技能4技能5散射对甲6伤害7低血量敌人8核9双倍秒伤a挖尘
9	12553 21236	   	231.21	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能	1双倍物品2易伤3全技能4技能5散射对甲6伤害7低血量敌人8核9双倍秒伤a掉矿
10	12553 21252	   	231.21	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能	1双倍物品2易伤3全技能4技能5散射对甲6伤害7低血量敌人8核9等级a双倍秒伤
11	12553 26211	   	231.11	橙1散射对甲1双倍秒伤1易伤1全技能1伤害1技能	1双倍物品2易伤3全技能4技能5散射对甲6伤害7挖尘8核9雷电a双倍秒伤
12	14543 31312	 * 	220.09	橙3易伤2伤害2暴击1时间1策反	1双倍物品28暴击368易伤4策反5加农对甲78伤害8序列升级9核a时间
13	12553 24233	 * 	218.99	橙2散射对甲2易伤1全技能1伤害1技能1时间	1双倍物品2a易伤3全技能4技能5a散射对甲6伤害7时间8核9a技能点a序列升级
14	32424 32112	 * 	213.91	橙1散射对甲1双倍秒伤2伤害1易伤2时间2暴击	19暴击2易伤39时间4敌人爆炸5双倍秒伤6核7技能点89伤害9序列升级a散射对甲
15	32424 34112	   	213.91	橙1散射对甲1双倍秒伤2伤害1易伤2时间2暴击	19暴击2易伤39时间4敌人爆炸5双倍秒伤6核7金币生成89伤害9序列升级a散射对甲
