0	Index      	 *	Score 	Summary	Detail	
1	43323 15214	 * 	275.41	橙橙1易伤1喷火对甲1等级1伤害	1喷火对甲2敌人爆炸3易伤4伤害5策反6立即金币7a核8等级9低血量敌人
2	41613 12315	 * 	269.67	橙3易伤2喷火对甲2矿等1全技能1暴击	17喷火对甲2赏金塔3暴击47矿等5全技能679易伤7序列升级8挖青a核
3	43332 13662	 * 	263.32	橙2易伤2喷火对甲2等级1时间1技能	18喷火对甲2敌人爆炸38易伤4随机技能5攻速68等级7核8序列升级9时间a技能
4	43332 13622	 * 	262.69	橙2易伤2喷火对甲2等级1伤害2攻速	18喷火对甲2敌人爆炸38易伤4随机技能5a攻速68等级7核8序列升级9伤害
5	43322 21536	   	262.55	橙橙1易伤1喷火对甲1伤害1时间	1喷火对甲2敌人爆炸3易伤4伤害5加农对毒6a核7时间8加农对甲9技能点
6	45122 23362	   	262.55	橙橙1易伤1喷火对甲1伤害1全技能1核弹	1喷火对甲2易伤3低血量敌人4技能点5寒冰对黄69核7核弹8全技能a伤害
7	43332 13643	 * 	258.05	橙3易伤2喷火对甲2等级	18喷火对甲2敌人爆炸38a易伤4随机技能5攻速68等级7核8序列升级9双倍秒伤
8	23362 54111	   	256.44	橙橙1易伤1等级1时间1全技能	1基地爆炸2敌人爆炸3等级4全技能5雷电69核7低血量敌人8时间a易伤
9	21323 34511	   	256.34	橙橙1易伤1等级1时间1全技能	1基地爆炸2易伤3等级4时间5赏金塔6平台7全技能8雷电9a核
10	35323 34511	   	256.34	橙橙1易伤1等级1时间1全技能	1易伤2敌人爆炸3等级4时间5赏金塔6平台7全技能8雷电9a核
11	45122 23361	   	256.14	橙橙1易伤1喷火对甲1全技能1暴击1核弹	1喷火对甲2易伤3低血量敌人4技能点5寒冰对黄69核7核弹8全技能a暴击
12	43332 13621	   	256.08	橙2易伤2喷火对甲2等级1伤害	18喷火对甲2敌人爆炸38易伤4随机技能5攻速68等级7核8序列升级9伤害a低血量敌人
13	43332 13623	   	256.08	橙2易伤2喷火对甲2等级1伤害	18喷火对甲2敌人爆炸38易伤4随机技能5攻速68等级7核8序列升级9伤害a策反
14	43332 13625	   	256.08	橙2易伤2喷火对甲2等级1伤害	18喷火对甲2敌人爆炸38易伤4随机技能5攻速68等级7核8序列升级9伤害a头目
15	43332 13626	   	256.08	橙2易伤2喷火对甲2等级1伤害	18喷火对甲2敌人爆炸38易伤4随机技能5攻速68等级7核8序列升级9伤害a随机矿
16	43332 13624	   	255.98	橙2易伤2喷火对甲2等级1伤害	18喷火对甲2敌人爆炸38易伤4随机技能5攻速68等级7核8序列升级9伤害a寒冰对黄
17	45331 13263	 * 	251.58	橙2易伤2喷火对甲2时间1等级	1a喷火对甲23易伤4随机技能5等级69时间7核8攻速
18	31166 43323	 * 	249.83	橙4易伤2等级2矿等1技能	125a易伤3赏金邻近4技能6a矿等7平台8核9a等级a序列升级
19	43332 13661	   	249.67	橙2易伤2喷火对甲2等级1时间	18喷火对甲2敌人爆炸38易伤4随机技能5攻速68等级7核8序列升级9时间a基地爆炸
20	43332 13663	   	249.67	橙2易伤2喷火对甲2等级1时间	18喷火对甲2敌人爆炸38易伤4随机技能5攻速68等级7核8序列升级9时间a雷电
21	36532 21313	 * 	249.40	橙2易伤2伤害2矿等1等级1时间	19易伤2雷电减费3赏金邻近4等级59伤害6时间7随机技能89矿等9序列升级a核
22	43323 15114	   	249.20	橙橙1易伤1喷火对甲1伤害	1喷火对甲2敌人爆炸3易伤4伤害5策反6立即金币7a核8金币生成9低血量敌人
23	31163 16314	 * 	249.15	橙4易伤2伤害2时间1技能	127a易伤3赏金邻近4技能5a伤害6a时间8平台9核a序列升级
24	43322 22536	   	248.90	橙橙1易伤1喷火对甲1伤害	1喷火对甲2敌人爆炸3易伤4伤害5加农对毒6a核7挖尘8加农对甲9随机矿
25	32352 22516	   	248.80	橙橙1易伤1等级1伤害	1易伤2最后敌人3等级4爆破对壮5寒冰对黄6a核7挖尘8毒液对冰9伤害
26	45212 21153	 * 	248.14	橙3喷火对甲2易伤2等级	158喷火对甲28易伤3金币生成45等级58序列升级6头目78技能点9低血量敌人a核
27	41613 12325	   	247.54	橙2易伤2喷火对甲2矿等1全技能1暴击	17喷火对甲2赏金塔3暴击47矿等5全技能67易伤7序列升级8挖青9敌人爆炸a核
28	45232 26211	 * 	247.29	橙3易伤3喷火对甲1时间	18a喷火对甲28a易伤3金币生成4时间58a寒冰对黄6核7赏金邻近8a序列升级9双倍矿
29	31343 66331	 * 	247.07	橙4易伤1喷火对甲1伤害1矿等	1257易伤3双倍秒伤4寒冰对冰6喷火对甲8核9矿等a伤害
30	31411 16512	   	245.64	橙3易伤1喷火对甲1等级1时间1全技能	126易伤3等级4双倍秒伤5时间7核8加农对壮9全技能a喷火对甲
