0	Index      	 *	Score 	Summary	Detail	
1	33145 33623	 * 	287.64	橙橙3等级1易伤1喷火对甲1矿等	146等级2喷火对甲3掉矿5矿等7a核8随机技能9易伤
2	33115 23346	 * 	286.95	橙3易伤2喷火对甲1等级2攻速1伤害	1等级29喷火对甲3掉矿4伤害59a易伤6低血量敌人7核89攻速9序列升级
3	33115 23343	   	278.46	橙2易伤2喷火对甲1等级2攻速1伤害1暴击	1等级29喷火对甲3掉矿4伤害59易伤6低血量敌人7核89攻速9序列升级a暴击
4	43112 43341	 * 	271.75	橙橙2易伤1矿等1全技能1攻速	1风暴减费2全技能3攻速46易伤5赏金邻近7a核8寒冰对黄9矿等
5	33515 23343	   	264.91	橙2易伤2喷火对甲1等级2攻速1伤害	1等级29喷火对甲3金币生成4伤害59易伤6低血量敌人7核89攻速9序列升级a随机技能
6	33115 23345	   	264.81	橙2易伤2喷火对甲1等级2攻速1伤害	1等级29喷火对甲3掉矿4伤害59易伤6低血量敌人7核89攻速9序列升级a头目
7	33515 23341	   	264.81	橙2易伤2喷火对甲1等级2攻速1伤害	1等级29喷火对甲3金币生成4伤害59易伤6低血量敌人7核89攻速9序列升级a基础对冰
8	33515 23342	   	264.81	橙2易伤2喷火对甲1等级2攻速1伤害	1等级29喷火对甲3金币生成4伤害59易伤6低血量敌人7核89攻速9序列升级a掉矿
9	33115 23341	   	264.71	橙2易伤2喷火对甲1等级2攻速1伤害	1等级29喷火对甲3掉矿4伤害59易伤6低血量敌人7核89攻速9序列升级a基础对冰
10	33115 23342	   	264.71	橙2易伤2喷火对甲1等级2攻速1伤害	1等级29喷火对甲3a掉矿4伤害59易伤6低血量敌人7核89攻速9序列升级
11	33115 23344	   	264.71	橙2易伤2喷火对甲1等级2攻速1伤害	1等级29喷火对甲3掉矿4伤害59易伤6低血量敌人7核89攻速9序列升级a赏金塔
12	41226 33236	 * 	261.84	橙橙2易伤1等级1卖塔	1风暴减费2卖塔34易伤5时间6等级7基地爆炸8a核9赏金邻近
13	31335 33623	   	261.34	橙橙3等级1易伤1矿等	126等级2序列升级3掉矿4爆破对壮5矿等7a核8随机技能9易伤
14	65321 35321	 * 	261.20	橙橙1易伤1伤害1暴击1攻速1雷电	1基地爆炸2雷电3攻速4暴击5伤害6头目7易伤8a核9双倍秒伤
15	65321 41321	   	261.20	橙橙1易伤1伤害1暴击1攻速1雷电	1基地爆炸2雷电3攻速4暴击5伤害6易伤7头目8a核9双倍秒伤
16	33115 23146	   	260.84	橙3易伤2喷火对甲1等级1伤害	1等级29喷火对甲3掉矿4伤害59a易伤6低血量敌人7核89策反9序列升级
17	13115 23346	   	260.64	橙3易伤2喷火对甲2攻速1伤害	1技能点29喷火对甲3掉矿4伤害59a易伤6基地爆炸7核89攻速9序列升级
18	22263 53331	   	258.99	橙橙1易伤1伤害1矿等1全技能	1最后敌人2时间3易伤4全技能5矿等6伤害7a核8加农对壮9挖尘
19	35113 33144	   	258.19	橙橙1易伤1等级1矿等1全技能	1等级2矿等3全技能4挖尘5最后敌人6易伤7a核8掉矿9随机技能
