0	Index      	 *	Score 	Summary	Detail	
1	55331 12533	 * 	316.23	紫橙4易伤3暴击1等级1时间1全技能	1357易伤235暴击35序列升级48核6全技能9时间a等级
2	55331 12523	   	302.58	紫橙4易伤3暴击1等级1全技能	1357易伤235暴击35序列升级48核6全技能9低血量敌人a等级
3	54251 32122	 * 	298.64	橙橙3易伤1伤害1时间1全技能	123易伤4全技能5金币生成6伤害7时间8策反9a核
4	52633 23251	 * 	297.55	橙橙3易伤1等级1伤害	169易伤25最后敌人3等级4基地爆炸78核a伤害
5	53431 63221	   	297.45	橙橙3易伤1等级1伤害	145易伤2技能点3金币生成6等级78核9最后敌人a伤害
6	53431 63231	   	297.35	橙橙3易伤1等级1伤害	145易伤2技能点3金币生成6等级78核9挖尘a伤害
7	55331 11533	   	297.07	紫橙3易伤3暴击1等级1时间1全技能	135易伤235暴击35序列升级48核6全技能7立即金币9时间a等级
8	54242 33222	 * 	290.61	橙橙4易伤1伤害	1235易伤45金币生成5序列升级69最后敌人78核a伤害
9	54242 33231	   	290.51	橙橙4易伤1伤害	1235易伤45金币生成5序列升级6最后敌人78核9挖尘a伤害
10	54261 33221	   	290.41	橙橙4易伤1伤害	1235易伤4敌人爆炸6掉矿78核9最后敌人a伤害
11	54261 33231	   	290.31	橙橙4易伤1伤害	1235易伤4敌人爆炸6掉矿78核9挖尘a伤害
12	55331 12531	   	290.03	紫橙4易伤3暴击1时间1全技能	1357易伤235暴击35序列升级48核6全技能9时间a基地爆炸
13	55331 12532	   	289.93	紫橙4易伤3暴击1时间1全技能	1357易伤235暴击35序列升级48核6全技能9时间a暴雪减费
