0	Index      	 *	Score 	Summary	Detail	
1	11463 51234	 * 	209.87	橙4易伤3伤害1暴击1策反	17金币生成247伤害3457易伤47序列升级6核8策反9加一a暴击
2	11463 51212	 * 	209.15	橙5易伤3伤害1策反	17金币生成247伤害3457a易伤47序列升级6核8策反9最后敌人
3	11463 51222	   	209.15	橙5易伤3伤害1策反	17金币生成247伤害3457a易伤47序列升级6核8策反9低血量敌人
4	11463 51232	   	209.05	橙5易伤3伤害1策反	17金币生成247伤害3457a易伤47序列升级6核8策反9加一
5	11463 51211	 * 	200.18	橙4易伤3伤害2策反	17金币生成247伤害3457易伤47序列升级6核8a策反9最后敌人
6	11463 51221	   	200.18	橙4易伤3伤害2策反	17金币生成247伤害3457易伤47序列升级6核8a策反9低血量敌人
7	11463 51231	   	200.08	橙4易伤3伤害2策反	17金币生成247伤害3457易伤47序列升级6核8a策反9加一
8	11463 51213	   	196.32	橙4易伤3伤害1策反	17金币生成247伤害3457易伤47序列升级6核8策反9最后敌人a雷电
9	11463 51223	   	196.32	橙4易伤3伤害1策反	17金币生成247伤害3457易伤47序列升级6核8策反9低血量敌人a雷电
10	11461 51212	   	196.32	橙4易伤3伤害1策反	17金币生成247伤害347a易伤47序列升级5双倍矿6核8策反9最后敌人
11	11461 51222	   	196.32	橙4易伤3伤害1策反	17金币生成247伤害347a易伤47序列升级5双倍矿6核8策反9低血量敌人
12	11463 51233	   	196.22	橙4易伤3伤害1策反	17金币生成247伤害3457易伤47序列升级6核8策反9加一a雷电
13	11461 51232	   	196.22	橙4易伤3伤害1策反	17金币生成247伤害347a易伤47序列升级5双倍矿6核8策反9加一
14	11461 51234	   	195.77	橙3易伤3伤害1暴击1策反	17金币生成247伤害347易伤47序列升级5双倍矿6核8策反9加一a暴击
15	11463 51131	   	192.26	橙4易伤3伤害1时间	17a金币生成247伤害3457易伤47序列升级6核8基地爆炸9时间
16	11463 51132	   	192.26	橙4易伤3伤害1时间	17金币生成247伤害3457易伤47序列升级6核8基地爆炸9时间a雷电
17	11463 51133	   	192.26	橙4易伤3伤害1时间	17金币生成247伤害3457易伤47序列升级6核8基地爆炸9时间a矿等
18	11463 51331	   	192.16	橙4易伤3伤害1时间	17a金币生成247伤害3457易伤47序列升级6核8挖尘9时间
19	11463 51332	   	192.16	橙4易伤3伤害1时间	17金币生成247伤害3457易伤47序列升级6核8挖尘9时间a雷电
20	11463 51333	   	192.16	橙4易伤3伤害1时间	17金币生成247伤害3457易伤47序列升级6核8挖尘9时间a矿等
21	63532 51133	 * 	190.84	紫3易伤2伤害1全技能1暴击	1随机矿23a易伤3a序列升级4核5a雷电6暴击7挖尘8a伤害9全技能
22	52256 13311	 * 	190.00	橙4易伤3策反3时间1暴击	147时间247策反3挖青47序列升级579a易伤6核8暴击
23	52226 11234	 * 	187.15	橙2伤害3策反1全技能1易伤2时间	1a时间24a策反3挖青5易伤6核7低血量敌人8全技能9a伤害a序列升级
24	52226 13412	 * 	187.15	橙2易伤3策反1全技能1伤害2时间	17时间247策反3挖青57易伤6核7序列升级8全技能9额外掉落a伤害
25	11461 51211	   	186.07	橙3易伤3伤害2策反	17金币生成247伤害347易伤47序列升级5双倍矿6核8a策反9最后敌人
26	11461 51221	   	186.07	橙3易伤3伤害2策反	17金币生成247伤害347易伤47序列升级5双倍矿6核8a策反9低血量敌人
27	11461 51231	   	185.97	橙3易伤3伤害2策反	17金币生成247伤害347易伤47序列升级5双倍矿6核8a策反9加一
28	11463 51121	   	185.32	橙4易伤3伤害	17a金币生成247伤害3457易伤47序列升级6核8基地爆炸9最后敌人
29	11463 51122	   	185.32	橙4易伤3伤害	17金币生成247伤害3457易伤47序列升级6核8基地爆炸9最后敌人a雷电
30	11463 51123	   	185.32	橙4易伤3伤害	17金币生成247伤害3457易伤47序列升级6核8基地爆炸9最后敌人a矿等
31	11463 51321	   	185.22	橙4易伤3伤害	17a金币生成247伤害3457易伤47序列升级6核8挖尘9最后敌人
32	11463 51322	   	185.22	橙4易伤3伤害	17金币生成247伤害3457易伤47序列升级6核8挖尘9最后敌人a雷电
33	11463 51323	   	185.22	橙4易伤3伤害	17金币生成247伤害3457易伤47序列升级6核8挖尘9最后敌人a矿等
34	11463 51112	   	185.08	橙4易伤3伤害1卖塔	17金币生成247伤害3457易伤47序列升级6核8基地爆炸9卖塔a最后敌人
35	11463 51113	   	185.08	橙4易伤3伤害1卖塔	17金币生成247伤害3457易伤47序列升级6核8基地爆炸9卖塔a随机矿
36	11463 51111	   	184.98	橙4易伤3伤害1卖塔	17金币生成247伤害3457易伤47序列升级6核8基地爆炸9卖塔a等级
37	11463 51312	   	184.98	橙4易伤3伤害1卖塔	17金币生成247伤害3457易伤47序列升级6核8挖尘9卖塔a最后敌人
38	11463 51313	   	184.98	橙4易伤3伤害1卖塔	17金币生成247伤害3457易伤47序列升级6核8挖尘9卖塔a随机矿
39	11463 51311	   	184.88	橙4易伤3伤害1卖塔	17金币生成247伤害3457易伤47序列升级6核8挖尘9卖塔a等级
40	52256 13322	 * 	184.05	橙2易伤3策反1全技能3时间1暴击	147时间247策反3挖青47序列升级57易伤6核8暴击9全技能a金币生成
41	52256 13323	   	184.05	橙2易伤3策反1全技能3时间1暴击	147时间247策反3挖青47序列升级57易伤6核8暴击9全技能a额外掉落
42	52256 13321	   	183.95	橙2易伤3策反1全技能3时间1暴击	147时间247策反3挖青47序列升级57易伤6核8暴击9全技能a挖尘
43	52226 13413	 * 	182.74	橙3易伤3策反1全技能2时间	17时间247策反3挖青57a易伤6核7序列升级8全技能9额外掉落
44	52226 13422	   	182.74	橙3易伤3策反1全技能2时间	17时间247策反3挖青579易伤6核7序列升级8全技能a最后敌人
45	52226 13423	   	182.74	橙3易伤3策反1全技能2时间	17时间247策反3挖青579易伤6核7序列升级8全技能a平台
46	52226 13433	   	182.74	橙3易伤3策反1全技能2时间	17时间247策反3挖青57a易伤6核7序列升级8全技能9激光对冰
47	52226 13421	   	182.64	橙3易伤3策反1全技能2时间	17时间247策反3挖青579易伤6核7序列升级8全技能a掉矿
48	11461 51213	   	182.22	橙3易伤3伤害1策反	17金币生成247伤害347易伤47序列升级5双倍矿6核8策反9最后敌人a雷电
49	11461 51223	   	182.22	橙3易伤3伤害1策反	17金币生成247伤害347易伤47序列升级5双倍矿6核8策反9低血量敌人a雷电
50	52226 13215	   	182.14	橙3易伤3策反1全技能2时间	17时间247策反3挖青57a易伤6核7序列升级8金币生成9全技能
51	11461 51233	   	182.12	橙3易伤3伤害1策反	17金币生成247伤害347易伤47序列升级5双倍矿6核8策反9加一a雷电
52	11412 12226	   	181.42	紫2易伤2伤害1全技能1暴击1时间	1金币生成29伤害3a易伤4机枪对轻5核6全技能7时间8暴击
53	11412 14226	   	181.42	紫2易伤2伤害1全技能1暴击1时间	1金币生成29伤害3a易伤4机枪对轻5核6全技能7暴击8时间
