0	Index      	 *	Score 	Summary	Detail	
1	66124 21323	 * 	269.84	DCR|DCR|2DMG|1VULN|1MLV|1DUR	1DUR|2ZMB|3aDMG|4MLV|5RAT|69RCR|7BEXP|8VULN
2	25533 12371	 * 	269.79	DCR|DCR|3DMG|1VULN|1AAC	1RMIN|245DMG|3MBVNT|6RCVC|78RCR|9VULN|aAAC
3	16124 21325	 * 	264.81	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1BEXP|2ZMB|3DMG|4MLV|5RAT|69RCR|7FEWX|8VULN|aTLV
4	31111 51611	 * 	258.29	DCR|DCR|2VULN|1MLV|1AART	13RCVC|2MLV|45VULN|6BBNT|7LWND|8aRCR|9AART
5	31111 53611	   	258.29	DCR|DCR|2VULN|1MLV|1AART	13RCVC|2MLV|45VULN|6BBNT|7LHND|8aRCR|9AART
6	31311 51611	   	258.19	DCR|DCR|2VULN|1MLV|1AART	1RCVC|2MLV|3AEPOI|45VULN|6BBNT|7LWND|8aRCR|9AART
7	31311 53611	   	258.19	DCR|DCR|2VULN|1MLV|1AART	1RCVC|2MLV|3AEPOI|45VULN|6BBNT|7LHND|8aRCR|9AART
8	45331 13126	 * 	258.09	ACR|DCR|2VULN|1DMG|1MLV|1DUR|1CDMG	1aRCR|2CDMG|3DMG|4MBVNT|5DUR|68VULN|7MLV|9LHND
9	45331 13136	   	258.09	ACR|DCR|2VULN|1DMG|1MLV|1DUR|1CDMG	1aRCR|2CDMG|3DMG|4MBVNT|5DUR|68VULN|7MLV|9FEWX
10	45331 13146	   	258.09	ACR|DCR|2VULN|1DMG|1MLV|1DUR|1CDMG	1aRCR|2CDMG|3DMG|4MBVNT|5DUR|68VULN|7MLV|9BEXP
11	45331 13116	   	257.99	ACR|DCR|2VULN|1DMG|1MLV|1DUR|1CDMG	1aRCR|2CDMG|3DMG|4MBVNT|5DUR|68VULN|7MLV|9DUST
12	45331 13436	   	257.99	ACR|DCR|2VULN|1DMG|1MLV|1DUR|1CDMG	1aRCR|2CDMG|3DMG|4MBVNT|5DUR|69VULN|7MLV|8AETHUN
13	41135 12125	 * 	257.09	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1aRCR|2MLV|3DMG|4CGEN|5RPLT|68VULN|7TLV|9LHND
14	41135 12135	   	257.09	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1aRCR|2MLV|3DMG|4CGEN|5RPLT|68VULN|7TLV|9FEWX
15	41125 12125	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1aRCR|2MLV|3DMG|4ERES|5RPLT|68VULN|7TLV|9LHND
16	41125 12135	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1aRCR|2MLV|3DMG|4ERES|5RPLT|68VULN|7TLV|9FEWX
17	41135 12115	   	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1aRCR|2MLV|3DMG|4CGEN|5RPLT|68VULN|7TLV|9DUST
18	41125 12115	   	256.89	ACR|DCR|2VULN|1TLV|1DMG|1MLV	1aRCR|2MLV|3DMG|4ERES|5RPLT|68VULN|7TLV|9DUST
