0	Index      	 *	Score 	Summary	Detail	
1	23221 24245	 * 	241.66	DCR|3VULN|1TLV|1DMG|1MLV|1DUR	1FEWX|2BOSS|3TLV|4DUR|5DMG|679VULN|8MLV|aRCR
2	25611 16121	 * 	237.51	DCR|4VULN|2DUR|1TLV	1FEWX|2MDPS|3458VULN|6RCR|7aDUR|9TLV
3	25611 16131	   	237.51	DCR|4VULN|2DUR|1TLV	1FEWX|2MDPS|3458VULN|6RCR|79DUR|aTLV
4	32416 16132	 * 	235.78	DCR|DCR|2VULN|1NUKE	1AME|2NUKE|3ASPD|4BASARM|57VULN|6RAT|8aRCR|9CGEN
5	25611 16123	 * 	235.39	DCR|4VULN|2TLV|1DUR	1FEWX|2MDPS|3458VULN|6RCR|7DUR|9aTLV
6	25223 33114	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1FEWX|2MDPS|3BOSS|4DUR|5AEWIND|6aRCR|7VULN|8BEXP|9MLV
7	25223 33514	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1FEWX|2MDPS|3BOSS|4DUR|5AEWIND|6aRCR|7VULN|8LHND|9MLV
8	25323 33114	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1FEWX|2MDPS|3LIT|4DUR|5AEWIND|6aRCR|7VULN|8BEXP|9MLV
9	25323 33514	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1FEWX|2MDPS|3LIT|4DUR|5AEWIND|6aRCR|7VULN|8LHND|9MLV
10	65223 33114	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1LHND|2MDPS|3BOSS|4DUR|5AEWIND|6aRCR|7VULN|8BEXP|9MLV
11	65323 33114	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	1LHND|2MDPS|3LIT|4DUR|5AEWIND|6aRCR|7VULN|8BEXP|9MLV
12	25223 33614	   	231.89	DCR|DCR|1VULN|1MLV|1DUR	1FEWX|2MDPS|3BOSS|4DUR|5AEWIND|6aRCR|7VULN|8LEGI|9MLV
13	25323 33614	   	231.89	DCR|DCR|1VULN|1MLV|1DUR	1FEWX|2MDPS|3LIT|4DUR|5AEWIND|6aRCR|7VULN|8LEGI|9MLV
14	31123 35164	   	228.84	DCR|DCR|2VULN	1AME|2TBNT|3CGEN|4ERES|58VULN|6aRCR|7LIT|9LHND
15	31123 35214	   	228.84	DCR|DCR|2VULN	1AME|2TBNT|3CGEN|4ERES|59VULN|6aRCR|7LIT|8FEWX
16	31123 35614	   	228.84	DCR|DCR|2VULN	1AME|2TBNT|3CGEN|4ERES|59VULN|6aRCR|7LIT|8BEXP
17	32316 16132	   	228.84	DCR|DCR|2VULN|1NUKE	1AME|2NUKE|3ZMB|4BASARM|57VULN|6RAT|8aRCR|9CGEN
18	32316 16142	   	228.84	DCR|DCR|2VULN|1NUKE	1AME|2NUKE|3ZMB|4BASARM|57VULN|6RAT|8aRCR|9RMIN
19	35123 35214	   	228.84	DCR|DCR|2VULN	1AME|2BBNT|3CGEN|4ERES|59VULN|6aRCR|7LIT|8FEWX
20	23223 24245	   	228.53	DCR|3VULN|1TLV|1MLV|1DUR	1FEWX|2BOSS|3TLV|4DUR|5ASPD|679VULN|8MLV|aRCR
21	23321 24223	 * 	227.74	DCR|3VULN|2MLV|1DMG|1DUR	1FEWX|2BOSS|38MLV|4DUR|5DMG|679VULN|aRCR
22	63321 24223	   	227.74	DCR|3VULN|2MLV|1DMG|1DUR	1LHND|2BOSS|38MLV|4DUR|5DMG|679VULN|aRCR
23	23221 24123	   	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1FEWX|2BOSS|3TLV|4DUR|5DMG|679VULN|8AEBURN|aRCR
24	63221 24123	   	225.95	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2BOSS|3TLV|4DUR|5DMG|679VULN|8AEBURN|aRCR
25	25611 16122	   	225.05	DCR|4VULN|1TLV|1DUR	1FEWX|2MDPS|3458VULN|6RCR|7DUR|9TLV|aRPLT
26	25611 31121	   	225.05	DCR|4VULN|1TLV|1DUR	1FEWX|2MDPS|3458VULN|6BEXP|7RCR|9TLV|aDUR
27	25611 61121	   	225.05	DCR|4VULN|1TLV|1DUR	1FEWX|2MDPS|3458VULN|6LHND|7RCR|9TLV|aDUR
28	25611 15121	   	224.95	DCR|4VULN|1TLV|1DUR	1FEWX|2MDPS|3458VULN|6RCR|7DUST|9TLV|aDUR
29	25611 16113	   	224.95	DCR|4VULN|1TLV|1DUR	1FEWX|2MDPS|3458VULN|6RCR|7DUR|9ERES|aTLV
