0	Index      	 *	Score 	Summary	Detail	
1	45123 24322	 * 	270.95	DCR|DCR|2VULN|1TLV|1MLV	1MLV|2LHND|3FEWX|4RMIN|5aVULN|6FRZARM|79RCR|8TLV
2	46333 24223	 * 	256.84	DCR|DCR|1VULN|2MLV|1TLV	1aMLV|2TLV|3LWND|4FEWX|5VULN|6VENICY|79RCR|8AME
3	32262 23166	   	256.44	DCR|DCR|2VULN|1AART|1CDMG	1LHND|26VULN|3AART|4FEWX|5LWND|7CDMG|8ZMB|9aRCR
4	41152 21312	 * 	251.98	DCR|2VULN|2DMG|3MLV|1TLV|1AAC	189MLV|2ASPD|38VULN|4TLV|5FEWX|68DMG|7AAC|8BPWR|aRCR
5	46136 21312	   	251.98	DCR|2VULN|2DMG|3MLV|1TLV|1AAC	189MLV|2TLV|38VULN|4FEWX|5ASPD|68DMG|7AAC|8BPWR|aRCR
6	62331 43633	   	251.34	DCR|DCR|2VULN|1MLV|1SELL	1LWND|2aVULN|3SELL|4MLV|5LEGI|6ASPD|79RCR|8RPLT
7	32112 54322	 * 	250.58	ACR|DCR|2VULN|1TLV|1MLV|1DUR	1LHND|2aVULN|3FLTHEA|49RCR|5DUR|6MLV|7RMIN|8TLV
8	32512 54322	   	250.58	ACR|DCR|2VULN|1TLV|1MLV|1DUR	1LHND|2aVULN|3VENICY|49RCR|5DUR|6MLV|7RMIN|8TLV
9	12431 24122	   	249.53	DCR|DCR|1VULN|1TLV|1AART	1CANSTR|2ASPD|3TBNT|4RPLT|5AART|6VULN|7aRCR|8TLV|9LIT
10	12432 14122	   	249.53	DCR|DCR|1VULN|1TLV|1AART	1CANSTR|2ASPD|3TBNT|4RPLT|5VULN|6AART|7aRCR|8TLV|9LIT
11	12143 26336	   	249.43	DCR|DCR|2VULN|1CDMG	1CANSTR|2ASPD|3AEWIND|4RCVC|5aVULN|6AEFBLL|78RCR|9CDMG
12	21631 23523	 * 	245.20	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1ZMB|2ASPD|3SELL|4MLV|5BOSS|6BBNT|7DMG|8VULN|9aRCR
13	45123 24321	   	244.74	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3FEWX|4RMIN|5VULN|6FRZARM|79RCR|8TLV|aLWND
14	15324 23216	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1CANSTR|2MLV|3LHND|4BOSS|5LIT|68RCR|7DMSP|9TLV|aVULN
15	45123 24323	   	244.64	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2LHND|3FEWX|4RMIN|5VULN|6FRZARM|79RCR|8TLV|aDUST
16	46333 24221	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2TLV|3aLWND|4FEWX|5VULN|6VENICY|79RCR|8AME
17	46333 24222	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2TLV|3LWND|4FEWX|5VULN|6VENICY|79RCR|8AME|aRCVC
18	62122 64223	   	244.44	DCR|DCR|2VULN|1MLV	1LWND|25VULN|3FLTHEA|4AETHUN|6BEXP|79RCR|8AME|aMLV
19	31143 14623	   	242.69	DCR|DCR|2VULN|1CDMG	16LHND|2RCVC|35VULN|4SNITOX|79RCR|8CGEN|aCDMG
20	32143 14623	   	242.69	DCR|DCR|2VULN|1CDMG	16LHND|25VULN|3FLTHEA|4DMSP|79RCR|8CGEN|aCDMG
21	22161 53512	   	242.69	DCR|DCR|2VULN|1CDMG	1ZMB|2BEXP|3FEWX|4BELT|5MDPS|6aVULN|79RCR|8CDMG
