0	Index      	 *	Score 	Summary	Detail	
1	51523 34121	 * 	322.87	紫4易伤3等级3随机技能1攻速	1技能29a等级3核459a易伤6掉矿7攻速89a随机技能9a序列升级
2	26141 23124	 * 	312.89	橙2等级2易伤3伤害1烈焰减费	17等级27易伤3低血量敌人4烈焰减费578伤害6技能7序列升级9时间a核
3	23323 51431	 * 	312.01	紫橙2易伤1等级1伤害	1等级2矿等3a核45易伤6双倍矿7随机技能8时间9伤害
4	23323 54131	   	312.01	紫橙2易伤1等级1伤害	1等级2矿等3a核45易伤6双倍矿7时间8随机技能9伤害
5	26141 23134	   	303.23	橙2等级2易伤3伤害1烈焰减费	17等级27易伤3低血量敌人4烈焰减费578伤害6技能7序列升级9敌人爆炸a核
6	26141 23114	   	303.13	橙2等级2易伤3伤害1烈焰减费	17等级27易伤3低血量敌人4烈焰减费578伤害6技能7序列升级9挖尘a核
7	23323 26131	   	302.35	紫橙2易伤1等级1伤害	1等级2矿等3a核45易伤67敌人爆炸8随机技能9伤害
8	23323 51331	   	302.35	紫橙2易伤1等级1伤害	1等级2矿等3a核45易伤6双倍矿7随机技能8敌人爆炸9伤害
9	23323 53131	   	302.35	紫橙2易伤1等级1伤害	1等级2矿等3a核45易伤6双倍矿7最后敌人8随机技能9伤害
10	23326 16131	   	302.35	紫橙2易伤1等级1伤害	1等级2矿等3a核46易伤57敌人爆炸8随机技能9伤害
11	23363 16131	   	302.35	紫橙2易伤1等级1伤害	1等级2矿等3a核47敌人爆炸56易伤8随机技能9伤害
12	26141 23224	   	298.48	橙2等级2易伤2伤害1烈焰减费1全技能	17等级27易伤3低血量敌人4烈焰减费57伤害6技能7序列升级8全技能9掉矿a核
13	23322 15215	   	296.01	紫橙2易伤1等级1全技能	1等级2矿等3a核46易伤5时间7雷电8基地爆炸9全技能
14	23325 31145	   	296.01	紫橙2易伤1等级1全技能	1等级2矿等3a核48易伤5基地爆炸6雷电7全技能9时间
15	26152 33224	 * 	295.75	橙3易伤2等级1伤害1全技能	17等级267易伤3低血量敌人4伤害57策反7序列升级8全技能9掉矿a核
16	23243 65213	 * 	295.57	橙4易伤2等级2暴击	19等级2矿等3双倍矿479a易伤59暴击6核8额外掉落9序列升级
17	26622 43121	 * 	295.41	橙橙2易伤1等级1伤害	1等级27易伤3平台4最后敌人5伤害6喷火对黄89核a矿等
18	26622 43122	   	295.41	橙橙2易伤1等级1伤害	1等级27易伤3平台4最后敌人5伤害6喷火对黄89核a技能点
19	26622 43123	   	295.41	橙橙2易伤1等级1伤害	1等级27易伤3平台4最后敌人5伤害6喷火对黄89核a寒冰对黄
20	26622 62121	   	295.31	橙橙2易伤1等级1伤害	1等级26易伤3平台4最后敌人5伤害7导弹对绿89核a矿等
21	26622 62122	   	295.31	橙橙2易伤1等级1伤害	1等级26易伤3平台4最后敌人5伤害7导弹对绿89核a技能点
22	26622 62123	   	295.31	橙橙2易伤1等级1伤害	1等级26易伤3平台4最后敌人5伤害7导弹对绿89核a寒冰对黄
23	26632 62121	   	295.21	橙橙2易伤1等级1伤害	1等级26易伤3平台4挖尘5伤害7加农对毒89核a矿等
24	26632 62122	   	295.21	橙橙2易伤1等级1伤害	1等级26易伤3平台4挖尘5伤害7加农对毒89核a技能点
25	26632 62123	   	295.21	橙橙2易伤1等级1伤害	1等级26易伤3平台4挖尘5伤害7加农对毒89核a寒冰对黄
26	23313 11352	 * 	294.21	紫3等级3易伤2攻速	19a等级2矿等3核4雷电减费56a易伤7随机矿8a攻速a序列升级
27	23323 33352	   	294.21	紫3等级3易伤2攻速	19a等级2矿等3核45a易伤6掉矿7低血量敌人8a攻速a序列升级
28	51513 11352	   	294.21	紫3等级3易伤2攻速	1技能29a等级3核4雷电减费56a易伤7随机矿8a攻速a序列升级
29	21233 34344	 * 	293.27	橙2等级2易伤2伤害2攻速1卖塔	17等级2风暴减费3卖塔4技能57伤害67攻速7序列升级8a易伤9核
30	23312 15416	   	293.22	紫3易伤2等级1烈焰减费2时间	17等级2矿等3核4雷电减费57时间679易伤7序列升级8平台a烈焰减费
31	23312 15516	   	293.22	紫3易伤2等级1烈焰减费2时间	17等级2矿等3核4雷电减费57时间678易伤7序列升级9平台a烈焰减费
32	23312 15531	   	293.22	紫3易伤2等级1火球减费2时间	17等级2矿等3核4雷电减费57时间678易伤7序列升级9技能点a火球减费
33	23312 15541	   	293.22	紫3易伤2等级1火球减费2时间	17等级2矿等3核4雷电减费57时间678易伤7序列升级9随机矿a火球减费
34	23312 15561	   	293.22	紫3易伤2等级1火球减费2时间	17等级2矿等3核4雷电减费57时间678易伤7序列升级9金币生成a火球减费
35	23312 15661	   	293.22	紫3易伤2等级1火球减费2时间	17等级2矿等3核4雷电减费57时间679易伤7序列升级8随机矿a火球减费
36	23312 15525	   	293.12	紫3易伤2等级1毒气减费2时间	17等级2矿等3核4雷电减费57时间678易伤7序列升级9挖尘a毒气减费
37	26121 23124	   	292.93	橙2等级2易伤3伤害	17等级24易伤347低血量敌人47序列升级578伤害6技能9时间a核
38	26121 43124	   	292.93	橙2等级2易伤3伤害	17等级24易伤347低血量敌人47序列升级578伤害6随机矿9时间a核
