0	Index      	 *	Score 	Summary	Detail	
1	54313 33253	 * 	272.49	DCR|DCR|1VULN|1TLV|1MSLTOX|1AART|1CDMG	1DUST|2AART|3LHND|4CDMG|5TLV|6MSLTOX|7VULN|8aRCR|9BLASTR
2	36511 11523	 * 	268.73	DCR|DCR|2TLV|1VULN|1MLV|1DUR|1AAC	1LHND|2BELT|3MLV|49TLV|5AAC|68RCR|7VULN|aDUR
3	36143 41361	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1LHND|2BELT|3TLV|4MBVNT|5LWND|6MLV|78RCR|9CDMG|aVULN
4	36511 11513	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AAC	1LHND|2BELT|3MLV|4TLV|5AAC|68RCR|7VULN|9AEWIND|aDUR
5	36513 21361	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1LHND|2BELT|3MLV|4TLV|5MBVNT|6BEXP|78RCR|9CDMG|aVULN
6	53512 84224	 * 	257.92	DCR|DCR|3VULN	1DUST|2ASPD|3MBVNT|458VULN|6aRCR|7AEPOI|9BOSS
7	36253 11522	   	256.20	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1SELL	1LHND|2BELT|3SELL|4DUR|5CDMG|68RCR|7VULN|9TLV|aCGEN
8	36253 11521	   	256.10	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1SELL	1LHND|2BELT|3SELL|4DUR|5CDMG|68RCR|7VULN|9TLV|aMSLREG
9	36253 11523	   	256.10	DCR|DCR|1VULN|1TLV|1DUR|1CDMG|1SELL	1LHND|2BELT|3SELL|4DUR|5CDMG|68RCR|7VULN|9TLV|aERES
10	36123 11561	 * 	255.24	DCR|DCR|1VULN|1FLTARM|1TLV|1AAC	1LHND|2BELT|3TLV|4AAC|5ERES|68RCR|7VULN|9ZMB|aFLTARM
11	36511 11521	   	254.98	DCR|DCR|2TLV|1VULN|1MLV|1AAC	1LHND|2BELT|3MLV|49TLV|5AAC|68RCR|7VULN|aAEPOI
12	36511 11522	   	254.98	DCR|DCR|2TLV|1VULN|1MLV|1AAC	1LHND|2BELT|3MLV|49TLV|5AAC|68RCR|7VULN|aDUST
13	36122 11533	   	253.12	DCR|DCR|2TLV|1VULN|1DUR|1AAC	1LHND|2BELT|39TLV|4AAC|5CGEN|68RCR|7VULN|aDUR
14	36123 11533	   	253.02	DCR|DCR|2TLV|1VULN|1DUR|1AAC	1LHND|2BELT|39TLV|4AAC|5ERES|68RCR|7VULN|aDUR
15	36143 41334	 * 	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1LHND|2BELT|3TLV|4MBVNT|5LWND|6MLV|78RCR|9DMG|aDUR
16	36143 41336	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1LHND|2BELT|3TLV|4MBVNT|5LWND|6MLV|78RCR|9DMG|aAAC
17	36143 41362	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1CDMG	1LHND|2BELT|3TLV|4MBVNT|5LWND|6MLV|78RCR|9CDMG|aDMG
18	36147 41334	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1LHND|2BELT|3TLV|4MBVNT|5BEXP|6MLV|78RCR|9DMG|aDUR
19	36513 21334	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1LHND|2BELT|3MLV|4TLV|5MBVNT|6BEXP|78RCR|9DMG|aDUR
20	36513 21336	   	246.27	DCR|DCR|1TLV|1DMG|1MLV|1AAC	1LHND|2BELT|3MLV|4TLV|5MBVNT|6BEXP|78RCR|9DMG|aAAC
