0	Index      	 *	Score 	Summary	Detail	
1	27218 73334	 * 	275.11	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1MBVNT|2BBNT|34DUR|4BPWR|5LIT|6TLV|7aRCR|8VULN|9DMG
2	52122 45322	 * 	269.94	DCR|3VULN|2DMG|2DUR|1TLV|1AART	18DUR|2AART|3LIT|489VULN|5BOSS|68DMG|7RCR|8BPWR|aTLV
3	33315 51116	 * 	269.89	DCR|DCR|2VULN|2ASPD|1AART|1CDMG	16VULN|2CDMG|3AART|48ASPD|5BBNT|7BOSS|9aRCR
4	36122 23252	   	269.59	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1VULN|2ERES|3BBNT|4DUR|5TLV|6aRCR|7LHND|8ASPD|9DMG
5	36122 23652	   	269.59	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1VULN|2ERES|3BBNT|4DUR|5TLV|6aRCR|7LHND|8DMG|9ASPD
6	22233 53774	 * 	266.59	DCR|DCR|2DMG|1VULN|1TLV	1MBVNT|25DMG|3LWND|4TLV|6LIT|7aRCR|8VULN|9TBNT
7	22633 41268	   	266.39	DCR|DCR|2DMG|1VULN|1TLV	1MBVNT|25DMG|3DUST|4TLV|6aRCR|7AME|8BBNT|9VULN
8	22743 43245	 * 	263.80	DCR|DCR|3DMG|1TLV|1DUR	1MBVNT|258DMG|3AME|4DUR|69RCR|7RPLT|aTLV
9	36122 23612	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1VULN|2ERES|3BBNT|4DUR|5TLV|6aRCR|7LHND|8DMG|9AAC
10	22123 44484	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2DMG|3BBNT|4DUR|5BOSS|6VULN|7TLV|8LHND|9aRCR
11	27243 44484	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1DUR	1MBVNT|2BBNT|3DUR|4DMG|5BOSS|6VULN|7TLV|8LHND|9aRCR
12	36122 25612	   	262.55	DCR|DCR|1VULN|1TLV|1DMG|1DUR|1AAC	1VULN|2ERES|3BBNT|4DUR|5TLV|6aRCR|7DUST|8DMG|9AAC
13	22128 28484	 * 	259.05	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1MBVNT|27DMG|3BBNT|457DUR|67VULN|7BPWR|8CDMG|9TLV|aRCR
14	33253 13355	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1VULN|2CDMG|3LEGI|4MLV|5LHND|6aRCR|7AEBURN|8SNITOX|9TLV
15	33121 12355	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1VULN|2CDMG|3DUR|47FEWX|5CGEN|6aRCR|8SNITOX|9TLV
16	33121 12465	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1VULN|2CDMG|3DUR|47FEWX|5CGEN|6aRCR|8TLV|9SNIFST
17	36112 23252	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2ERES|3BBNT|4BEXP|5TLV|6aRCR|7LHND|8ASPD|9DMG
18	36112 23652	   	255.94	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2ERES|3BBNT|4BEXP|5TLV|6aRCR|7LHND|8DMG|9ASPD
19	36132 23252	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2ERES|3BBNT|4DUST|5TLV|6aRCR|7LHND|8ASPD|9DMG
20	36132 23652	   	255.84	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2ERES|3BBNT|4DUST|5TLV|6aRCR|7LHND|8DMG|9ASPD
21	23255 21442	 * 	255.14	DCR|DCR|1VULN|2AART|1FLTARM	1MBVNT|249LWND|36AART|5FLTARM|7aRCR|8VULN
22	27218 73314	   	254.94	DCR|DCR|1VULN|2DUR|1TLV|1NUKE	1MBVNT|2BBNT|34DUR|4BPWR|5LIT|6TLV|7aRCR|8VULN|9NUKE
23	22723 43245	   	250.15	DCR|DCR|3DMG|1TLV	1MBVNT|258DMG|3AME|4FEWX|69RCR|7RPLT|aTLV
24	22433 43244	   	250.05	DCR|DCR|3DMG|1TLV	1MBVNT|258DMG|3AETHUN|4AME|69RCR|7RPLT|aTLV
25	28234 44336	 * 	250.04	DCR|3VULN|2TLV|1DMG|1DUR|2ASPD	1MBVNT|27ASPD|3LWND|47TLV|579VULN|6RCR|7BPWR|8DUR|aDMG
26	28234 44351	   	250.04	DCR|3VULN|2TLV|1DMG|1DUR|2ASPD	1MBVNT|27ASPD|3LWND|47TLV|57aVULN|6RCR|7BPWR|8DUR|9DMG
27	28334 44325	   	250.04	DCR|3VULN|2TLV|1DMG|2ASPD|1AAC	1MBVNT|27ASPD|3FEWX|47TLV|578VULN|6RCR|7BPWR|9DMG|aAAC
28	28334 44328	   	250.04	DCR|3VULN|2TLV|1DMG|1DUR|2ASPD	1MBVNT|27ASPD|3FEWX|47TLV|578VULN|6RCR|7BPWR|9DMG|aDUR
29	36122 23212	   	249.53	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1VULN|2ERES|3BBNT|4DUR|5TLV|6aRCR|7LHND|8ASPD|9AAC
30	36122 25212	   	249.43	DCR|DCR|1VULN|1TLV|1DUR|1AAC	1VULN|2ERES|3BBNT|4DUR|5TLV|6aRCR|7DUST|8ASPD|9AAC
31	28234 44333	 * 	249.14	DCR|4VULN|2TLV|1DUR|2ASPD	1MBVNT|27ASPD|3LWND|47TLV|579aVULN|6RCR|7BPWR|8DUR
32	36112 23612	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1VULN|2ERES|3BBNT|4BEXP|5TLV|6aRCR|7LHND|8DMG|9AAC
33	22113 44484	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3BBNT|4FEWX|5BOSS|6VULN|7TLV|8LHND|9aRCR
34	22346 42184	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3FEWX|4LWND|5BOSS|6VULN|7TLV|8BBNT|9aRCR
35	22378 42184	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3FEWX|4LIT|5LHND|6VULN|7TLV|8BBNT|9aRCR
36	22378 42484	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3FEWX|4LIT|5LHND|6VULN|7TLV|8ERES|9aRCR
37	23534 52484	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2LWND|3ERES|4TLV|5VULN|6DMG|7LHND|8LIT|9aRCR
38	25467 23334	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2FEWX|36LIT|4TLV|5TBNT|7aRCR|8VULN|9DMG
39	22121 12458	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1MBVNT|2DMG|3BBNT|47DUR|5LHND|6RAT|8aRCR|9VULN
40	22128 11458	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1MBVNT|2DMG|3BBNT|45DUR|6RAT|7LWND|8aRCR|9VULN
41	22128 16438	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1MBVNT|2DMG|3BBNT|45DUR|6RAT|7VULN|8aRCR|9LWND
42	22276 42184	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3LWND|4DUST|5BOSS|6VULN|7TLV|8BBNT|9aRCR
43	22373 42184	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3FEWX|4LIT|5DUST|6VULN|7TLV|8BBNT|9aRCR
44	22373 42884	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3FEWX|4LIT|5DUST|6VULN|7TLV|8TBNT|9aRCR
45	22646 42184	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3DUST|4LWND|5BOSS|6VULN|7TLV|8BBNT|9aRCR
46	27213 11458	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1MBVNT|2BBNT|34DUR|4BPWR|5RAT|6DMG|7LWND|8aRCR|9VULN
47	27213 16438	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1MBVNT|2BBNT|34DUR|4BPWR|5RAT|6DMG|7VULN|8aRCR|9LWND
48	27241 12458	   	248.90	DCR|DCR|1VULN|2DUR|1DMG	1MBVNT|2BBNT|37DUR|4DMG|5LHND|6RAT|8aRCR|9VULN
49	36132 23612	   	248.90	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1VULN|2ERES|3BBNT|4DUST|5TLV|6aRCR|7LHND|8DMG|9AAC
50	22133 44484	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3BBNT|4DUST|5BOSS|6VULN|7TLV|8LHND|9aRCR
51	22441 48484	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3AETHUN|4LHND|5VULN|6TLV|7LIT|8ERES|9aRCR
52	22674 42184	   	248.80	DCR|DCR|1VULN|1TLV|1DMG	1MBVNT|2DMG|3DUST|4LIT|5LEGI|6VULN|7TLV|8BBNT|9aRCR
53	22633 41468	   	247.95	DCR|DCR|2DMG|1TLV|1DUR	1MBVNT|25DMG|3DUST|4TLV|6aRCR|7AME|8DUR|9TBNT
54	22713 53741	 * 	245.64	DCR|3VULN|3DMG|1TLV	1MBVNT|259DMG|3AME|489VULN|69LIT|7RCR|9BPWR|aTLV
