0	Index      	 *	Score 	Summary	Detail	
1	21323 13546	 * 	244.31	DCR|DCR|1TLV|1DMG|1DUR|1AART	1ZMB|2RPLT|3AART|4TLV|5AEFRZ|6DUR|7DMG|8aRCR|9LHND
2	51322 41513	 * 	243.29	DCR|DCR|1VULN|1DMG|1CDMG	1DUST|2BOSS|3AEPOI|4DMG|5VULN|6MDPS|7aRCR|8ASPD|9CDMG
3	21325 33316	 * 	240.99	DCR|DCR|2TLV|1DMG|1AART	1ZMB|2RPLT|3AART|49TLV|5LWND|6DUST|7aRCR|8DMG
4	63143 23342	 * 	240.39	DCR|DCR|2DMG|1VULN	13aERES|2aLWND|4AETHUN|5VULN|6LIT|79RCR|8aDMG|aBPWR
5	13512 42363	   	237.60	DCR|DCR|1TLV|1DMG|1CDMG	1CGEN|2LWND|3MDPS|4BOSS|5CDMG|6aRCR|7ASPD|8TLV|9DMG
6	51123 41513	   	237.40	DCR|DCR|1TLV|1DMG|1CDMG	1DUST|2BOSS|3ASPD|4TLV|5ERES|6MDPS|7aRCR|8DMG|9CDMG
7	52211 32526	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1DUST|2BEXP|3VULN|4BOSS|5FEWX|6CDMG|79RCR|8MDPS|aDMG
8	52213 32523	   	231.99	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2BEXP|3VULN|4BOSS|5LWND|6CDMG|79RCR|8MDPS|aMLV
9	21335 13256	   	230.66	DCR|DCR|1TLV|1DMG|1AART	1ZMB|2RPLT|3AART|4AEBURN|5LHND|6aRCR|7LWND|8DMG|9TLV
10	21326 12246	   	230.56	DCR|DCR|1TLV|1DMG|1AART	1ZMB|2RPLT|3AART|4TLV|5AME|6aRCR|7FEWX|8DMG|9TBNT
11	21326 12266	   	230.56	DCR|DCR|1TLV|1DMG|1AART	1ZMB|2RPLT|3AART|4TLV|5AME|6aRCR|7FEWX|8DMG|9BBNT
12	21326 13246	   	230.56	DCR|DCR|1TLV|1DMG|1AART	1ZMB|2RPLT|3AART|4TLV|5AME|6aRCR|7LWND|8DMG|9TBNT
13	21326 13266	   	230.56	DCR|DCR|1TLV|1DMG|1AART	1ZMB|2RPLT|3AART|4TLV|5AME|6aRCR|7LWND|8DMG|9BBNT
14	31511 31436	 * 	230.56	DCR|DCR|2DUR|1DMG|1AART	1BELT|2RCVC|3DMG|45DUR|6AETHUN|7RAT|8aRCR|9AART
15	32114 32146	   	230.04	DCR|DCR|1VULN|1DUR|1AART	1BELT|2AETHUN|39FEWX|4AART|5DUR|6aRCR|7VULN|8SPLREG
16	32314 32156	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1BELT|2AETHUN|39DUST|4AART|5DUR|6aRCR|7VULN|8SPLREG
17	63214 21823	 * 	228.70	DCR|DCR|2VULN|1SELL	1ERES|2LWND|38VULN|4LHND|5MBVNT|6BOSS|7aRCR|9SELL
18	21325 33516	   	227.87	DCR|DCR|2TLV|1AART	1ZMB|2RPLT|3AART|49TLV|5LWND|6DUST|7aRCR|8ASPD
19	53223 33144	   	226.00	DCR|DCR|1TLV|1MLV|1DUR	12DUST|3AEFBLL|4DUR|5MLV|6aRCR|7CGEN|8TLV|9BELT
20	35611 63431	 * 	223.54	DCR|2VULN|2TLV|1MLV|1DUR|1AART	1BELT|2aBEXP|3aVULN|4AART|5MLV|6MBVNT|7DUR|8aTLV|9RCR|aBPWR
21	25612 42223	   	223.43	DCR|DCR|1VULN|1CDMG	1ZMB|2MDPS|3VULN|4BOSS|5CDMG|6aRCR|7ASPD|8LWND|9DMSP
22	25612 42323	   	223.33	DCR|DCR|1VULN|1CDMG	1ZMB|2MDPS|3VULN|4BOSS|5CDMG|6aRCR|7ASPD|8AEWIND|9LWND
23	25612 42313	   	223.23	DCR|DCR|1VULN|1CDMG	1ZMB|2MDPS|3VULN|4BOSS|5CDMG|6aRCR|7ASPD|8AEWIND|9AETHUN
24	51323 35262	   	222.80	DCR|DCR|1VULN|1DMG	1DUST|2BOSS|3AEPOI|4DMG|5BELT|69RCR|7VULN|8FEWX|aBEXP
25	51323 35261	   	222.70	DCR|DCR|1VULN|1DMG	1DUST|2BOSS|3AEPOI|4DMG|5BELT|69RCR|7VULN|8FEWX|aVENICY
26	51323 35263	   	222.70	DCR|DCR|1VULN|1DMG	1DUST|2BOSS|3AEPOI|4DMG|5BELT|69RCR|7VULN|8FEWX|aBLASTR
27	52211 32524	 * 	222.70	DCR|DCR|1VULN|2CDMG	1DUST|2BEXP|3VULN|4BOSS|5FEWX|6aCDMG|79RCR|8MDPS
28	52213 32524	   	222.70	DCR|DCR|1VULN|2CDMG	1DUST|2BEXP|3VULN|4BOSS|5LWND|6aCDMG|79RCR|8MDPS
29	53532 23343	   	222.70	DCR|DCR|1VULN|1DMG	12DUST|3BEXP|4ERES|5VULN|6LIT|79RCR|8DMG|aLWND
