0	Index      	 *	Score 	Summary	Detail	
1	22416 21132	 * 	253.32	DCR|4VULN|2MLV|1DMG|2CDMG	19MLV|2DMG|3MDPS|489aVULN|59CDMG|6RCR|7RPLT|9BPWR
2	22413 25522	 * 	247.34	DCR|3VULN|3DMG|2MLV	15MLV|268DMG|3MDPS|46aVULN|6BPWR|7RCVC|9RCR
3	22243 43234	 * 	246.07	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1MLV|2DMG|3VENFST|4DUR|5TLV|6LHND|7CANARM|8BBNT|9aRCR
4	22343 43234	   	246.07	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1MLV|2DMG|3FRZFST|4DUR|5TLV|6LHND|7CANARM|8BBNT|9aRCR
5	22533 62531	 * 	242.89	DCR|2VULN|2DMG|2MLV|1TLV	18MLV|24DMG|38BEXP|58VULN|6BOSS|7RCR|8BPWR|9TLV|aASPD
6	11452 53322	 * 	242.69	DCR|DCR|1VULN|1TLV|1DUR	124BEXP|3MDPS|5TLV|6VULN|78RCR|9RCVC|aDUR
7	11452 53332	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	124BEXP|3MDPS|5TLV|6VULN|78RCR|9DMSP|aDUR
8	11552 53322	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	123BEXP|4MDPS|5TLV|6VULN|78RCR|9RCVC|aDUR
9	11552 53332	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	123BEXP|4MDPS|5TLV|6VULN|78RCR|9DMSP|aDUR
10	11452 53313	 * 	239.37	DCR|DCR|2TLV|1VULN	124BEXP|3MDPS|5aTLV|6VULN|78RCR|9LIT
11	11552 53313	   	239.37	DCR|DCR|2TLV|1VULN	123BEXP|4MDPS|5aTLV|6VULN|78RCR|9LIT
12	62123 23522	 * 	238.61	DCR|4VULN|3DMG	1ERES|268DMG|3LHND|4LWND|567aVULN|6BPWR|9RCR
13	22126 26221	 * 	236.59	DCR|DCR|2DMG|2MLV	1aMLV|2aDMG|3LHND|4LWND|5aLIT|69RCR|7RPLT|8RMIN|aBPWR
14	32231 65221	 * 	236.15	DCR|DCR|1VULN|1DMG|1DUR	1AME|2DMG|3VENFST|4VULN|5TBNT|6BBNT|79RCR|8ERES|aDUR
15	32331 65221	   	236.15	DCR|DCR|1VULN|1DMG|1DUR	1AME|2DMG|3FRZFST|4VULN|5TBNT|6BBNT|79RCR|8ERES|aDUR
16	22533 62532	   	235.95	DCR|2VULN|2DMG|2MLV|1TLV	18MLV|24DMG|38BEXP|58VULN|6BOSS|7RCR|8BPWR|9TLV|aRMIN
17	22533 62533	   	235.85	DCR|2VULN|2DMG|2MLV|1TLV	18MLV|24DMG|38BEXP|58VULN|6BOSS|7RCR|8BPWR|9TLV|aTBNT
18	22416 21533	 * 	234.77	DCR|2VULN|3MLV|1DMG|2CDMG|1AART	189MLV|2DMG|3MDPS|49VULN|59CDMG|6RCR|7RPLT|9BPWR|aAART
19	25134 34212	 * 	234.50	DCR|2VULN|3DMG|3MLV	156MLV|2ZMB|3LHND|456DMG|56BPWR|79VULN|8RMIN|aRCR
20	25134 35112	   	234.40	DCR|2VULN|3DMG|3MLV	156MLV|2ZMB|3LHND|456DMG|56BPWR|7AME|89VULN|aRCR
21	22416 21131	   	234.16	DCR|3VULN|2MLV|1DMG|2CDMG	19MLV|2DMG|3MDPS|489VULN|59CDMG|6RCR|7RPLT|9BPWR|aLHND
22	22416 21134	   	234.16	DCR|3VULN|2MLV|1DMG|2CDMG	19MLV|2DMG|3MDPS|489VULN|59CDMG|6RCR|7RPLT|9BPWR|aFEWX
23	22416 21133	   	234.06	DCR|3VULN|2MLV|1DMG|2CDMG|1MSE	19MLV|2DMG|3MDPS|489VULN|59CDMG|6RCR|7RPLT|9BPWR|aMSE
24	22416 21135	   	234.06	DCR|3VULN|2MLV|1DMG|2CDMG	19MLV|2DMG|3MDPS|489VULN|59CDMG|6RCR|7RPLT|9BPWR|aMBVNT
25	62123 23524	   	233.09	DCR|3VULN|3DMG|1CDMG	1ERES|268DMG|3LHND|4LWND|567VULN|6BPWR|9RCR|aCDMG
26	22223 43234	   	232.42	DCR|DCR|1TLV|1DMG|1MLV	1MLV|2DMG|3VENFST|4LWND|5TLV|6LHND|7CANARM|8BBNT|9aRCR
27	22323 43234	   	232.42	DCR|DCR|1TLV|1DMG|1MLV	1MLV|2DMG|3FRZFST|4LWND|5TLV|6LHND|7CANARM|8BBNT|9aRCR
28	22533 62521	   	232.34	DCR|2VULN|3DMG|2MLV	18MLV|24aDMG|38BEXP|58VULN|6BOSS|7RCR|8BPWR|9ASPD
29	26221 16221	   	232.09	DCR|DCR|1VULN|1MLV|1CDMG|1AAC|1NUKE	1MLV|2RAT|3AAC|4BELT|5NUKE|6CGEN|7aRCR|8VULN|9CDMG
30	26321 16221	   	232.09	DCR|DCR|1VULN|1MLV|1CDMG|1NUKE	1MLV|2RAT|3ZMB|4BELT|5NUKE|6CGEN|7aRCR|8VULN|9CDMG
31	26231 34252	 * 	230.53	DCR|DCR|1VULN|2MLV|1AAC	16MLV|2RAT|3AAC|4MGNBOS|5VULN|7aRCR|8ERES|9TBNT
32	26331 34252	   	230.53	DCR|DCR|1VULN|2MLV	16MLV|2RAT|3ZMB|4MGNBOS|5VULN|7aRCR|8ERES|9TBNT
33	22533 62131	   	230.39	DCR|2VULN|2DMG|1TLV|1MLV	1MLV|24DMG|3BEXP|58VULN|6BOSS|7RCR|9TLV|aASPD
34	11452 23343	   	229.04	DCR|DCR|1VULN|1TLV	124BEXP|3MDPS|5TLV|6LHND|78RCR|9LWND|aVULN
35	11452 23362	   	229.04	DCR|DCR|1VULN|1TLV	124BEXP|3MDPS|5TLV|6LHND|78RCR|9ZMB|aVULN
36	11452 53312	   	229.04	DCR|DCR|1VULN|1TLV	124BEXP|3MDPS|5TLV|6VULN|78RCR|9LIT|aRCVC
37	11452 53323	   	229.04	DCR|DCR|1VULN|1TLV	124BEXP|3MDPS|5TLV|6VULN|78RCR|9RCVC|aLWND
38	11452 53333	   	229.04	DCR|DCR|1VULN|1TLV	124BEXP|3MDPS|5TLV|6VULN|78RCR|9DMSP|aLWND
39	11552 23343	   	229.04	DCR|DCR|1VULN|1TLV	123BEXP|4MDPS|5TLV|6LHND|78RCR|9LWND|aVULN
40	11552 23362	   	229.04	DCR|DCR|1VULN|1TLV	123BEXP|4MDPS|5TLV|6LHND|78RCR|9ZMB|aVULN
41	11552 53312	   	229.04	DCR|DCR|1VULN|1TLV	123BEXP|4MDPS|5TLV|6VULN|78RCR|9LIT|aRCVC
42	11552 53323	   	229.04	DCR|DCR|1VULN|1TLV	123BEXP|4MDPS|5TLV|6VULN|78RCR|9RCVC|aLWND
43	11552 53333	   	229.04	DCR|DCR|1VULN|1TLV	123BEXP|4MDPS|5TLV|6VULN|78RCR|9DMSP|aLWND
44	11452 53311	   	228.94	DCR|DCR|1VULN|1TLV	124BEXP|3MDPS|5TLV|6VULN|78RCR|9LIT|aLSRREG
45	11452 53321	   	228.94	DCR|DCR|1VULN|1TLV	124BEXP|3MDPS|5TLV|6VULN|78RCR|9RCVC|aBLAICY
46	11452 53331	   	228.94	DCR|DCR|1VULN|1TLV	124BEXP|3MDPS|5TLV|6VULN|78RCR|9DMSP|aBLAICY
47	11552 53311	   	228.94	DCR|DCR|1VULN|1TLV	123BEXP|4MDPS|5TLV|6VULN|78RCR|9LIT|aLSRREG
48	11552 53321	   	228.94	DCR|DCR|1VULN|1TLV	123BEXP|4MDPS|5TLV|6VULN|78RCR|9RCVC|aBLAICY
49	11552 53331	   	228.94	DCR|DCR|1VULN|1TLV	123BEXP|4MDPS|5TLV|6VULN|78RCR|9DMSP|aBLAICY
50	53511 53321	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1CGEN|2BEXP|3FEWX|4BBNT|5AAC|6VULN|79RCR|8FLTFST|aTLV
51	53531 53321	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1CGEN|2BEXP|3FEWX|4TBNT|5AAC|6VULN|79RCR|8FLTFST|aTLV
