0	Index      	 *	Score 	Summary	Detail	
1	41323 63353	 * 	280.09	DCR|4VULN|2DMG|2MSLTOX|2DUR	18MSLTOX|24DMG|348aVULN|48BPWR|5DUST|6RAT|78DUR|9RCR
2	41321 23351	 * 	278.37	DCR|2VULN|2DMG|2TLV|2MSLTOX|1MLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5aTLV|6MLV|7RCR|9DUR
3	41321 33321	 * 	273.54	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR|1AAC	1MSLTOX|24DMG|349VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|aAAC
4	41321 33322	   	273.54	DCR|3VULN|2DMG|1TLV|1MSLTOX|1DUR|1AART	1MSLTOX|24DMG|349VULN|4BPWR|5TLV|6DUR|7RCR|8TSLFST|aAART
5	41321 33642	 * 	270.32	DCR|3VULN|2DMG|2TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|34aVULN|4BPWR|59TLV|6DUR|7RCR|8CGEN
6	41321 33542	   	270.22	DCR|3VULN|2DMG|2TLV|1MSLTOX|1DUR	1MSLTOX|24DMG|34aVULN|4BPWR|59TLV|6DUR|7RCR|8ERES
7	41321 23463	 * 	269.11	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV|1DUR	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9BELT|aDUR
8	41321 23422	   	269.01	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV|1DUR	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9TBNT|aDUR
9	41321 23441	   	269.01	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV|1DUR	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aDUST
10	41321 23442	   	269.01	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV|1DUR	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aERES
11	41321 23443	   	269.01	DCR|2VULN|3DMG|1TLV|1MSLTOX|1MLV|1DUR|1MSE	1MSLTOX|248DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aMSE
12	11611 32311	 * 	268.56	ACR|DCR|3VULN|2DMG|1AART	19AEPOI|29DMG|3RPLT|4AART|58RCR|6MBVNT|79aVULN|9BPWR
13	41321 23321	   	268.04	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1AART	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9RMIN|aAART
14	41321 23323	   	268.04	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1AAC	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9RMIN|aAAC
15	41321 23353	   	268.04	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aLIT
16	41321 23354	   	268.04	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aRPLT
17	41321 23355	   	268.04	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aLWND
18	41321 23356	   	268.04	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aFEWX
19	41326 23351	   	268.04	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5CGEN|6MLV|7RCR|9DUR|aTLV
20	41321 23311	   	267.94	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1AART	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9AME|aAART
21	41321 23313	   	267.94	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1AAC	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9AME|aAAC
22	41321 23352	   	267.94	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1DUR	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9DUR|aBBNT
23	41321 23361	   	267.94	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1AART	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9ERES|aAART
24	41321 23363	   	267.94	DCR|2VULN|2DMG|2MSLTOX|1TLV|1MLV|1AAC	18MSLTOX|24DMG|34VULN|4BPWR|5TLV|6MLV|7RCR|9ERES|aAAC
