0	Index      	 *	Score 	Summary	Detail	
1	33313 44124	 * 	265.48	DCR|DCR|2VULN|2TLV	17TLV|2AEWIND|357ERES|47VULN|6aRCR|7BPWR|8BELT|9RAT
2	35421 63121	 * 	249.34	DCR|2VULN|2TLV|2AART|1DMG|1MLV	16TLV|27AART|3MLV|4ASPD|56VULN|6BPWR|8RCR|9DMG|aBOSS
3	35421 63122	   	249.24	DCR|2VULN|2TLV|2AART|1DMG|1MLV	16TLV|27AART|3MLV|4ASPD|56VULN|6BPWR|8RCR|9DMG|aERES
4	35421 63123	   	249.24	DCR|2VULN|2TLV|2AART|1DMG|1MLV	16TLV|27AART|3MLV|4ASPD|56VULN|6BPWR|8RCR|9DMG|aDUST
5	22253 22528	 * 	246.68	DCR|3VULN|3TLV|3DUR|1NUKE	138MGNBOS|239TLV|389BPWR|489VULN|5MBVNT|6NUKE|789DUR|aRCR
6	21212 36652	   	244.54	DCR|DCR|2VULN|1MLV	1MGNBOS|2BELT|3RPLT|4LHND|5MLV|69VULN|7aRCR|8AME
7	35421 63111	   	242.83	DCR|2VULN|2TLV|2AART|1MLV|1AAC	16TLV|27AART|3MLV|4ASPD|56VULN|6BPWR|8RCR|9BBNT|aAAC
8	35421 63131	   	242.83	DCR|2VULN|2TLV|2AART|1MLV|1AAC	16TLV|27AART|3MLV|4ASPD|56VULN|6BPWR|8RCR|9AAC|aBOSS
9	35421 63132	   	242.83	DCR|2VULN|2TLV|2AART|1MLV|1AAC	16TLV|27AART|3MLV|4ASPD|56VULN|6BPWR|8RCR|9AAC|aERES
10	35421 63133	   	242.83	DCR|2VULN|2TLV|2AART|1MLV|1AAC	16TLV|27AART|3MLV|4ASPD|56VULN|6BPWR|8RCR|9AAC|aDUST
11	62321 34623	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1AART	1DUR|2TBNT|3RCVC|4AART|5AEWIND|6FEWX|78RCR|9TLV|aMLV
12	62323 34623	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1AART	1DUR|2TBNT|3RCVC|4AART|5AEBURN|6FEWX|78RCR|9TLV|aMLV
13	22222 64126	   	239.17	DCR|DCR|2TLV|1VULN|1NUKE	13MGNBOS|23TLV|3BPWR|4NUKE|5ZMB|6RCVC|7aRCR|8VULN|9AME
14	31222 64126	   	239.17	DCR|DCR|2TLV|1VULN|1NUKE	13TLV|23MULARM|3BPWR|4NUKE|5ZMB|6RCVC|7aRCR|8VULN|9AME
15	35321 63112	 * 	236.39	DCR|3VULN|2TLV|3ASPD|1AART	1aTLV|2AART|3RMIN|46aASPD|56aVULN|6aBPWR|7DMSP|8RCR|9BBNT
16	21345 13431	 * 	236.35	DCR|DCR|1VULN|1DMG|1CDMG	1MGNBOS|2BELT|3MDPS|4TBNT|5ZMB|6CDMG|7VULN|8DMG|9aRCR
17	14221 53325	 * 	235.59	DCR|3VULN|1TLV|1DMG|1MSLTOX	1LHND|2ASPD|3FEWX|4TLV|569VULN|7MSLTOX|8DMG|aRCR
18	34361 13325	   	235.49	DCR|3VULN|1TLV|1DMG|1MSLTOX	1TLV|2DUST|3ASPD|459VULN|6BEXP|7MSLTOX|8DMG|aRCR
19	36321 53325	   	235.49	DCR|3VULN|1TLV|1DMG|1MSLTOX	1TLV|2FEWX|3ASPD|4DUST|569VULN|7MSLTOX|8DMG|aRCR
