0	Index      	 *	Score 	Summary	Detail	
1	23343 43421	 * 	269.69	DCR|DCR|2VULN|2CDMG|1DUR	1RCVC|2ASPD|3LWND|4DUR|56VULN|79RCR|8aCDMG
2	23343 43422	   	263.38	DCR|DCR|2VULN|1DUR|1CDMG	1RCVC|2ASPD|3LWND|4DUR|56VULN|79RCR|8CDMG|aLHND
3	23343 43423	   	263.28	DCR|DCR|2VULN|1DUR|1CDMG	1RCVC|2ASPD|3LWND|4DUR|56VULN|79RCR|8CDMG|aAME
4	23221 41521	   	259.09	DCR|DCR|1VULN|2CDMG|1MLV|1DUR	1RCVC|2ASPD|3aCDMG|4VULN|5MLV|6DUR|79RCR|8RMIN
5	23221 41421	   	258.99	DCR|DCR|1VULN|2CDMG|1MLV|1DUR	1RCVC|2ASPD|3aCDMG|4VULN|5MLV|6DUR|79RCR|8ERES
6	52221 41521	   	258.99	DCR|DCR|1VULN|2CDMG|1MLV|1DUR	1AEPOI|2ASPD|3aCDMG|4VULN|5MLV|6DUR|79RCR|8RMIN
7	52221 41421	   	258.89	DCR|DCR|1VULN|2CDMG|1MLV|1DUR	1AEPOI|2ASPD|3aCDMG|4VULN|5MLV|6DUR|79RCR|8ERES
8	23313 43421	   	256.04	DCR|DCR|2VULN|2CDMG	1RCVC|2ASPD|3LWND|4BEXP|56VULN|79RCR|8aCDMG
9	23333 43421	   	256.04	DCR|DCR|2VULN|2CDMG	1RCVC|2ASPD|3LWND|4FEWX|56VULN|79RCR|8aCDMG
10	52313 43421	   	255.94	DCR|DCR|2VULN|2CDMG	1AEPOI|2ASPD|3LWND|4BEXP|56VULN|79RCR|8aCDMG
11	52333 43421	   	255.94	DCR|DCR|2VULN|2CDMG	1AEPOI|2ASPD|3LWND|4FEWX|56VULN|79RCR|8aCDMG
12	23221 41522	   	252.78	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8RMIN|aLHND
13	23221 41525	   	252.78	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8RMIN|aRAT
14	23221 41422	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8ERES|aLHND
15	23221 41425	   	252.68	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1RCVC|2ASPD|3CDMG|4VULN|5MLV|6DUR|79RCR|8ERES|aRAT
