0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52322 15112	5	 * 	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1LHND|28aVULN|37DUR|4CDMG|5TLV|6DMG|9RCR
2	32654 11312	10	 * 	264.06	DCR|5VULN|2TLV|1DUR	1aLWND|2457aVULN|3DUR|6RCR|8FEWX|9aTLV|aBPWR
3	32654 21112	10	   	264.06	DCR|5VULN|2TLV|1DUR	1aLWND|2457aVULN|3DUR|6LHND|8RCR|9aTLV|aBPWR
4	52354 11312	10	   	264.06	DCR|5VULN|2TLV|1DUR	1aLHND|2457aVULN|3DUR|6RCR|8FEWX|9aTLV|aBPWR
5	32654 11212	10	   	263.96	DCR|5VULN|2TLV|1DUR	1aLWND|2457aVULN|3DUR|6RCR|8DUST|9aTLV|aBPWR
6	52354 11212	10	   	263.96	DCR|5VULN|2TLV|1DUR	1aLHND|2457aVULN|3DUR|6RCR|8DUST|9aTLV|aBPWR
7	52111 16312	6	 * 	261.72	DCR|3VULN|3DMG|2TLV	139LHND|28aVULN|49TLV|579DMG|6RCR|9BPWR
8	32634 14312	10	 * 	260.50	DCR|4VULN|2TLV|2DUR	17aLWND|257aVULN|37DUR|4RCVC|6RCR|7aBPWR|8FEWX|9aTLV
9	52334 14312	10	   	260.50	DCR|4VULN|2TLV|2DUR	17aLHND|257aVULN|37DUR|4RCVC|6RCR|7aBPWR|8FEWX|9aTLV
10	32634 14212	10	   	260.40	DCR|4VULN|2TLV|2DUR	17aLWND|257aVULN|37DUR|4RCVC|6RCR|7aBPWR|8DUST|9aTLV
11	52334 14212	10	   	260.40	DCR|4VULN|2TLV|2DUR	17aLHND|257aVULN|37DUR|4RCVC|6RCR|7aBPWR|8DUST|9aTLV
12	32664 11312	10	   	260.30	DCR|4VULN|2TLV|2DUR	1aLWND|257aVULN|34DUR|6RCR|8FEWX|9aTLV|aBPWR
13	52364 11312	10	   	260.30	DCR|4VULN|2TLV|2DUR	1aLHND|257aVULN|34DUR|6RCR|8FEWX|9aTLV|aBPWR
14	32164 51112	10	   	260.30	DCR|4VULN|2TLV|2DUR	1aLWND|267aVULN|3LHND|45DUR|8RCR|9aTLV|aBPWR
15	32664 21112	10	   	260.30	DCR|4VULN|2TLV|2DUR	1aLWND|257aVULN|34DUR|6LHND|8RCR|9aTLV|aBPWR
16	32654 13314	6	   	260.20	DCR|4VULN|2TLV|2DUR	18LWND|245aVULN|38DUR|6RCR|78TLV|8BPWR|9MBVNT
17	32654 13323	6	   	260.20	DCR|4VULN|2TLV|2DUR	18LWND|245aVULN|38DUR|6RCR|78TLV|8BPWR|9BBNT
18	32664 11212	10	   	260.20	DCR|4VULN|2TLV|2DUR	1aLWND|257aVULN|34DUR|6RCR|8DUST|9aTLV|aBPWR
