0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46213 21116	1	 * 	261.67	DCR|2VULN|2DMG|2TLV|2DUR|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9aDMG
2	16163 11522	9	   	259.48	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1DMSP|2LIT|35TLV|45DMG|5BPWR|69VULN|7DUR|8RCR|aCDMG
3	26112 25431	6	 * 	256.42	DCR|4VULN|2DMG|3ASPD	1CGEN|2RPLT|356ASPD|4567VULN|56BPWR|8aDMG|9RCR
4	44214 21332	1	 * 	256.42	DCR|3VULN|1TLV|3LIT|1DMG|1DUR	1DUR|256LIT|357VULN|4BELT|5BPWR|8TLV|9DMG|aRCR
5	12614 13362	8	 * 	255.75	DCR|3VULN|3DUR|2DMG|1NUKE	1DMSP|239DUR|39BPWR|4LWND|589VULN|6NUKE|79DMG|aRCR
6	12634 13362	8	   	255.75	DCR|3VULN|3DUR|2DMG|1NUKE	1DMSP|239DUR|39BPWR|4LHND|589VULN|6NUKE|79DMG|aRCR
7	43144 13322	9	   	255.65	DCR|3VULN|3DUR|2DMG|1NUKE	149DUR|2ERES|3RMIN|589VULN|6NUKE|79DMG|9BPWR|aRCR
8	16163 11531	8	 * 	254.53	DCR|3DMG|1VULN|2TLV|2ASPD|1DUR|2LIT	1DMSP|2aLIT|35TLV|45aDMG|5aBPWR|6VULN|7DUR|8RCR|9aASPD
9	16163 15213	8	 * 	254.28	DCR|3VULN|2DMG|2TLV	1DMSP|2LIT|35TLV|45DMG|5BPWR|689VULN|7BELT|aRCR
10	42423 21116	1	   	253.49	DCR|2VULN|2DMG|2DUR|1TLV|1AART	12DUR|3TLV|4BBNT|5AART|68VULN|7RCR|9aDMG
11	46211 21116	1	   	253.49	DCR|2VULN|2DMG|2DUR|1TLV|1AART	15DUR|2TBNT|3AART|4TLV|68VULN|7RCR|9aDMG
12	16162 22451	7	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1DMSP|2aLIT|3TLV|4aDMG|5RMIN|68aVULN|7MBVNT|9RCR|aBPWR
13	46213 21113	1	   	252.39	DCR|2VULN|2TLV|2DUR|1DMG|1AART	15DUR|2TBNT|3AART|45TLV|5BPWR|68VULN|7RCR|9DMG|aLIT
14	45321 62323	4	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|27FEWX|3RPLT|48DMG|58TLV|6RCR|8BPWR|9aVULN
15	26112 62235	8	 * 	250.58	DCR|4VULN|2DUR|2ASPD	17CGEN|2RPLT|35ASPD|4578VULN|57BPWR|67DUR|9LIT|aRCR
