0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63124 23226	2	 * 	273.96	DCR|4VULN|3DUR|1CDMG	1DMSP|289DUR|389aVULN|4CDMG|5LIT|689CGEN|7RCR|89BPWR
2	63125 24131	7	 * 	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1DMSP|28DUR|36LIT|4MBVNT|58DMG|789VULN|8BPWR|aRCR
3	63125 27131	6	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	1DMSP|28DUR|36LIT|4MBVNT|58DMG|789VULN|8BPWR|aRCR
4	63162 36221	7	   	267.57	DCR|3VULN|3DUR|1TLV|1CDMG	1DMSP|289DUR|3LIT|489VULN|5CDMG|6TLV|789BEXP|89BPWR|aRCR
5	65162 32221	7	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	1DMSP|289DUST|3LIT|489VULN|5CDMG|6TLV|789DUR|89BPWR|aRCR
6	65162 32221	6	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	1DMSP|289DUST|3LIT|489VULN|5CDMG|6TLV|789DUR|89BPWR|aRCR
7	35232 34262	3	 * 	267.01	DCR|3VULN|3DUR|2DMG	157LWND|29DMG|379VULN|48BELT|679DUR|79BPWR|aRCR
8	35232 34362	3	   	267.01	DCR|3VULN|3DUR|2DMG	157LWND|29DMG|379VULN|4BELT|679DUR|79BPWR|8RCVC|aRCR
9	31231 46226	6	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1LWND|2ASPD|369VULN|47DMG|5CDMG|8RCR|aTLV
10	21261 13322	9	   	263.41	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD|1SELL	19LHND|2ASPD|389VULN|4TLV|5CDMG|69DMG|7SELL|9BPWR|aRCR
11	31261 13322	9	   	263.41	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD|1SELL	19LWND|2ASPD|389VULN|4TLV|5CDMG|69DMG|7SELL|9BPWR|aRCR
12	25221 32623	7	   	263.36	DCR|3VULN|2DMG|1DUR|1TLV	1LHND|2aDMG|369VULN|4DUR|5LIT|7RCR|8TLV
13	25242 32623	7	   	263.36	DCR|3VULN|2DMG|1DUR|1TLV	1LHND|2aDMG|369VULN|4LIT|5DUR|7RCR|8TLV
14	35221 32623	7	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|2aDMG|369VULN|4DUR|5LIT|7RCR|8TLV
15	31231 46225	6	 * 	262.86	DCR|3VULN|3DMG|1CDMG|1ASPD	1LWND|2ASPD|369VULN|47aDMG|5CDMG|8RCR
