0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14263 12225	6	 * 	292.17	DCR|5VULN|3DUR|2TLV	137FEWX|2379aVULN|379BPWR|4BEXP|59TLV|679DUR|8RCR
2	14234 32312	5	   	289.98	DCR|4VULN|3DUR|2TLV|2ASPD	137FEWX|238aVULN|37aBPWR|47TLV|57aDUR|6RCR|9aASPD
3	34234 32312	5	   	289.98	DCR|4VULN|3DUR|2TLV|2ASPD	137BEXP|238aVULN|37aBPWR|47TLV|57aDUR|6RCR|9aASPD
4	34221 21632	6	 * 	289.97	DCR|4VULN|2DMG|2DUR|1TLV	139BEXP|234aVULN|3aBPWR|5TLV|6aDMG|7aDUR|8RCR
5	54234 32312	5	   	289.68	DCR|4VULN|3DUR|2TLV|2ASPD	137DUST|238aVULN|37aBPWR|47TLV|57aDUR|6RCR|9aASPD
6	34233 12225	6	   	284.09	DCR|5VULN|3DUR|1TLV	137BEXP|2379aVULN|379BPWR|4TLV|59FEWX|679DUR|8RCR
7	54233 12225	6	   	283.79	DCR|5VULN|3DUR|1TLV	137DUST|2379aVULN|379BPWR|4TLV|59FEWX|679DUR|8RCR
8	34213 34432	5	 * 	283.47	DCR|4VULN|2DMG|2TLV|1DUR	139BEXP|238aVULN|3aBPWR|4DUR|5aTLV|6RCR|7aDMG
9	14213 32312	5	 * 	276.65	DCR|4VULN|3TLV|2DUR|2ASPD	137FEWX|238aVULN|37aBPWR|47DUR|57aTLV|6RCR|9aASPD
10	34213 32312	5	   	276.65	DCR|4VULN|3TLV|2DUR|2ASPD	137BEXP|238aVULN|37aBPWR|47DUR|57aTLV|6RCR|9aASPD
11	54213 32312	5	   	276.35	DCR|4VULN|3TLV|2DUR|2ASPD	137DUST|238aVULN|37aBPWR|47DUR|57aTLV|6RCR|9aASPD
12	14263 12221	6	   	273.83	DCR|4VULN|3DUR|2TLV	137FEWX|2379VULN|379BPWR|4BEXP|59TLV|679DUR|8RCR|aLHND
13	14263 12222	6	   	273.83	DCR|4VULN|3DUR|2TLV	137FEWX|2379VULN|379BPWR|4aBEXP|59TLV|679DUR|8RCR
14	14263 12223	6	   	273.83	DCR|4VULN|3DUR|2TLV	137FEWX|2379VULN|379BPWR|4BEXP|59TLV|679DUR|8RCR|aCGEN
