0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23464 22233	3	 * 	290.53	DCR|5VULN|2DUR|1TLV|1DMG	1ZMB|2467aVULN|34DUR|4BPWR|5TLV|8DMG|9RCR
2	22132 26623	9	 * 	289.09	DCR|4VULN|3DMG|2DUR|1AART	19ZMB|2AART|35DUR|459DMG|59BPWR|679aVULN|8RCR
3	22132 26625	10	   	289.09	DCR|4VULN|3DMG|2DUR|1AART	19ZMB|2AART|35DUR|459DMG|59BPWR|679aVULN|8RCR
4	61161 43232	9	 * 	287.63	DCR|3VULN|3DMG|2TLV|1DUR|1AART	1AART|2DMSP|37TLV|478DMG|57aVULN|6RCR|7BPWR|9DUR
5	23464 22232	3	 * 	285.41	DCR|4VULN|3DUR|1TLV|1DMG	1ZMB|2467VULN|34aDUR|4BPWR|5TLV|8DMG|9RCR
6	61161 43212	10	   	279.69	DCR|3VULN|3DMG|2TLV|1AART	1AART|2DMSP|37TLV|478DMG|579VULN|6RCR|7BPWR|aASPD
7	23462 22633	3	   	278.77	DCR|5VULN|2DUR|1TLV	1ZMB|2467aVULN|34DUR|4BPWR|5ASPD|8TLV|9RCR
8	22133 26623	10	 * 	278.49	DCR|3VULN|2DMG|2DUR|1TLV|1AART	19ZMB|2AART|35DUR|49DMG|679VULN|8RCR|9BPWR|aTLV
9	22132 26662	8	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV|1AART	1ZMB|2AART|35DUR|45DMG|5BPWR|67aVULN|8RCR|9TLV
10	61161 43122	8	   	277.69	DCR|3VULN|2DMG|2TLV|1CDMG|1AART	1AART|2DMSP|37TLV|47DMG|57aVULN|6RCR|7BPWR|8CDMG|9LIT
11	22132 26626	10	   	276.34	DCR|3VULN|3DMG|2DUR|1AART	19ZMB|2AART|35DUR|459DMG|59BPWR|679VULN|8RCR|aASPD
12	23422 22633	5	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1ZMB|2567aVULN|3DUR|4DMG|8TLV|9RCR
13	23422 32633	6	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1ZMB|2567aVULN|3DUR|4DMG|8TLV|9RCR
14	23434 22233	3	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1ZMB|2467aVULN|3DUR|5TLV|8DMG|9RCR
15	23616 22633	5	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1ZMB|2357aVULN|4DMG|6DUR|8TLV|9RCR
16	23643 22233	5	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1ZMB|2347aVULN|5TLV|6DUR|8DMG|9RCR
17	61121 43242	8	 * 	275.34	DCR|4VULN|2TLV|1DMG|2ASPD|1AART	1AART|2DMSP|37TLV|47ASPD|579aVULN|6RCR|7BPWR|8DMG
18	61121 43432	7	   	275.34	DCR|4VULN|2TLV|1DMG|2ASPD|1AART	1AART|2DMSP|37TLV|47ASPD|578aVULN|6RCR|7BPWR|9DMG
19	61133 43242	8	   	275.34	DCR|4VULN|2TLV|1DMG|2ASPD|1AART	1AART|2DMSP|37TLV|479aVULN|57ASPD|6RCR|7BPWR|8DMG
20	61133 43432	7	   	275.34	DCR|4VULN|2TLV|1DMG|2ASPD|1AART	1AART|2DMSP|37TLV|478aVULN|57ASPD|6RCR|7BPWR|9DMG
21	23132 21622	5	 * 	275.26	DCR|4VULN|2TLV|2DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5aDUR|78TLV|9RCR
22	23132 23622	7	   	275.26	DCR|4VULN|2TLV|2DUR|2LIT	18ZMB|2478VULN|34LIT|48BPWR|5aDUR|68TLV|9RCR
23	23132 61622	6	   	275.26	DCR|4VULN|2TLV|2DUR|2LIT	18ZMB|2468VULN|34LIT|48BPWR|5aDUR|78TLV|9RCR
24	23422 62633	5	 * 	275.19	DCR|4VULN|2DMG|1TLV|1DUR	16ZMB|257aVULN|3DUR|46DMG|6BPWR|8TLV|9RCR
25	22135 26623	9	   	274.40	DCR|4VULN|3DMG|1DUR|1AART	19ZMB|2AART|3DUR|459DMG|679aVULN|8RCR|9BPWR
26	23462 22632	3	   	273.66	DCR|4VULN|3DUR|1TLV	1ZMB|2467VULN|34aDUR|4BPWR|5ASPD|8TLV|9RCR
27	23462 22233	3	   	272.63	DCR|5VULN|2DUR|1DMG	1ZMB|2467aVULN|34DUR|4BPWR|5ASPD|8DMG|9RCR
28	23464 22231	3	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|2467VULN|34DUR|4BPWR|5TLV|8DMG|9RCR|aFEWX
29	23422 22632	5	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|2567VULN|3aDUR|4DMG|8TLV|9RCR
30	23422 32632	6	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|2567VULN|3aDUR|4DMG|8TLV|9RCR
31	23434 22232	3	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|2467VULN|3aDUR|5TLV|8DMG|9RCR
32	23464 22233	4	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|267aVULN|34DUR|5TLV|8DMG|9RCR
33	23464 32233	6	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|257aVULN|34DUR|6TLV|8DMG|9RCR
34	23465 22233	5	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|267aVULN|34DUR|5TLV|8DMG|9RCR
35	23465 32233	6	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|267aVULN|34DUR|5TLV|8DMG|9RCR
36	23616 22632	5	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|2357VULN|4DMG|6aDUR|8TLV|9RCR
37	23643 22232	5	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1ZMB|2347VULN|5TLV|6aDUR|8DMG|9RCR
38	61161 43112	7	   	271.98	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1AART|2DMSP|37TLV|47DMG|57aVULN|6RCR|7BPWR|8MLV|9DUR
39	61161 43312	8	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1AART|2DMSP|37TLV|47DMG|57aVULN|6RCR|7BPWR|8ERES|9DUR
40	61161 43211	9	   	271.38	DCR|3VULN|3DMG|2TLV|1AART	1AART|2DMSP|37TLV|478DMG|579VULN|6RCR|7BPWR|aLHND
41	61161 43212	9	   	271.38	DCR|3VULN|3DMG|2TLV|1AART	1AART|2DMSP|37TLV|478DMG|579VULN|6RCR|7BPWR|aBEXP
42	61161 43222	9	   	271.38	DCR|3VULN|3DMG|2TLV|1AART	1AART|2DMSP|37TLV|478DMG|57aVULN|6RCR|7BPWR|9LWND
43	61161 43211	10	   	271.28	DCR|3VULN|3DMG|2TLV|1AART	1AART|2DMSP|37TLV|478DMG|579VULN|6RCR|7BPWR|aMBVNT
44	61161 43212	8	   	271.28	DCR|3VULN|3DMG|2TLV|1AART	1AART|2DMSP|37TLV|478DMG|57aVULN|6RCR|7BPWR|9DUST
45	61161 43213	10	 * 	271.28	DCR|3VULN|3DMG|3TLV|1AART	1AART|2DMSP|37aTLV|478DMG|579VULN|6RCR|7BPWR
46	61161 43213	9	   	271.28	DCR|3VULN|3DMG|2TLV|1AART	1AART|2DMSP|37TLV|478DMG|579VULN|6RCR|7BPWR|aERES
47	61121 43241	8	   	270.54	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR|1AART	1AART|2DMSP|37TLV|47ASPD|579VULN|6RCR|7BPWR|8DMG|aDUR
48	61121 43431	7	   	270.54	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR|1AART	1AART|2DMSP|37TLV|47ASPD|578VULN|6RCR|7BPWR|9DMG|aDUR
49	61133 43241	8	   	270.54	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR|1AART	1AART|2DMSP|37TLV|479VULN|57ASPD|6RCR|7BPWR|8DMG|aDUR
50	61133 43431	7	   	270.54	DCR|3VULN|2TLV|1DMG|2ASPD|1DUR|1AART	1AART|2DMSP|37TLV|478VULN|57ASPD|6RCR|7BPWR|9DMG|aDUR
51	61161 43123	8	   	269.24	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1AART|2DMSP|37TLV|47DMG|57VULN|6RCR|7BPWR|8CDMG|9LIT|aDUR
52	23422 32623	10	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	19ZMB|256VULN|39DUR|49DMG|7DLOT|8RCR|9BPWR|aTLV
53	23422 62632	5	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	16ZMB|257VULN|3aDUR|46DMG|6BPWR|8TLV|9RCR
54	23636 21622	3	   	268.61	DCR|4VULN|2TLV|2DUR	18ZMB|2348VULN|5aDUR|6LIT|78TLV|8BPWR|9RCR
55	22132 26621	9	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	19aZMB|2AART|35DUR|459DMG|59BPWR|679VULN|8RCR
56	22132 26622	10	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	19ZMB|2AART|35DUR|459DMG|59BPWR|679VULN|8RCR|aCGEN
57	22132 26624	10	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	19aZMB|2AART|35DUR|459DMG|59BPWR|679VULN|8RCR
58	22132 26626	9	   	268.04	DCR|3VULN|3DMG|2DUR|1AART	19ZMB|2AART|35DUR|459DMG|59BPWR|679VULN|8RCR|aCGEN
59	22132 26622	9	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	19ZMB|2AART|35DUR|459DMG|59BPWR|679VULN|8RCR|aTBNT
60	22132 26624	9	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	19ZMB|2AART|35DUR|459DMG|59BPWR|679VULN|8RCR|aERES
61	22135 21623	9	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	19ZMB|2AART|37DUR|459DMG|69aVULN|8RCR|9BPWR
62	22135 21625	10	   	267.94	DCR|3VULN|3DMG|2DUR|1AART	19ZMB|2AART|37DUR|459DMG|69aVULN|8RCR|9BPWR
63	23462 22232	3	   	267.52	DCR|4VULN|3DUR|1DMG	1ZMB|2467VULN|34aDUR|4BPWR|5ASPD|8DMG|9RCR
64	22133 26621	9	   	265.93	DCR|3VULN|2DMG|2DUR|1CDMG|1AART	19ZMB|2AART|35DUR|49DMG|679VULN|8RCR|9BPWR|aCDMG
65	23616 24313	9	   	264.58	DCR|3VULN|2DMG|2DUR|1CDMG	1aZMB|235VULN|4aDMG|6RCR|7LIT|8CDMG|9aDUR|aBPWR
66	32412 62233	5	   	264.33	DCR|5VULN|2DUR|1DMG	12LHND|3567aVULN|46DUR|6BPWR|8DMG|9RCR
67	23464 22232	4	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ZMB|267VULN|34aDUR|5TLV|8DMG|9RCR
68	23464 32232	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ZMB|257VULN|34aDUR|6TLV|8DMG|9RCR
69	23465 22232	5	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ZMB|267VULN|34aDUR|5TLV|8DMG|9RCR
70	23465 32232	6	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1ZMB|267VULN|34aDUR|5TLV|8DMG|9RCR
71	23643 22143	6	   	264.09	DCR|5VULN|1TLV|1DUR	1ZMB|23479VULN|5TLV|6RCR|8DUR|aASPD
