0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36634 12312	1	 * 	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19FEWX|29DMG|3TLV|457VULN|69DUR|8BELT|9BPWR|aRCR
2	45233 12314	8	 * 	267.54	ACR|4VULN|3DUR|3TLV|3CDMG	1RCR|289TLV|368DUR|4aMLV|59aCDMG|789aVULN|89aBPWR
3	13416 31135	9	   	267.44	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1AART	1RMIN|27DUR|37DMG|4CDMG|5FEWX|67VULN|7BPWR|8TLV|9AART|aRCR
4	22236 11134	10	 * 	265.87	DCR|4VULN|2DUR|1TLV|1CDMG	17LWND|247aVULN|3CDMG|5FEWX|67DUR|7BPWR|8TLV|9RCR
5	45312 31151	8	 * 	265.34	ACR|4VULN|3TLV|2DUR|3ASPD|1CDMG	1RCR|278TLV|379ASPD|4CDMG|59DUR|679aVULN|79BPWR
6	22651 31632	9	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|259VULN|36DMG|4DUR|7TLV|8LIT|aRCR
7	11232 31125	9	 * 	259.17	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR|1AART	1RMIN|27CDMG|37DMG|4LHND|5DUR|67VULN|7BPWR|8TLV|9AART|aRCR
8	11212 31135	9	   	259.07	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR|1AART	1RMIN|27CDMG|37DMG|4DUST|5DUR|67VULN|7BPWR|8TLV|9AART|aRCR
9	22236 11132	10	 * 	258.05	DCR|3VULN|3DUR|1TLV|1CDMG	17LWND|247VULN|3CDMG|5FEWX|67aDUR|7BPWR|8TLV|9RCR
10	11226 41252	4	 * 	257.60	DCR|3VULN|3DMG|1CDMG	1RMIN|2CDMG|356DMG|459VULN|5BPWR|7ASPD|8RCR|aLIT
11	22634 42113	3	 * 	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1LWND|2578VULN|3DMG|4TLV|6MBVNT|9RCR|aDUR
12	11226 41235	4	 * 	257.12	DCR|2VULN|3DMG|1TLV|2CDMG	1RMIN|29CDMG|356DMG|45VULN|5BPWR|7ASPD|8RCR|aTLV
13	11222 32334	9	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	1RMIN|2CDMG|39DMG|467VULN|58DUR|aRCR
14	11222 32634	8	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	1RMIN|2CDMG|38DMG|467VULN|59DUR|aRCR
15	11262 31125	9	 * 	256.07	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG|1AART	1RMIN|27CDMG|3DMG|4LEGI|57DUR|67VULN|7BPWR|8TLV|9AART|aRCR
16	11226 41236	4	 * 	255.61	DCR|3VULN|3DMG|2CDMG	1RMIN|29CDMG|356DMG|45aVULN|5BPWR|7ASPD|8RCR
17	22236 11125	9	   	254.48	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	17LWND|247VULN|3CDMG|5FEWX|67DUR|7BPWR|8TLV|9AART|aRCR
18	36611 53212	1	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	19FEWX|29DMG|3TLV|4BELT|5RCVC|6DUR|789VULN|9BPWR|aRCR
19	36613 53212	1	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	19FEWX|29DMG|3TLV|4BELT|5DMSP|6DUR|789VULN|9BPWR|aRCR
20	22351 51632	9	   	254.05	DCR|4VULN|1TLV|1DUR	1LWND|2569VULN|3ASPD|4DUR|7TLV|8LIT|aRCR
21	13253 32141	6	   	253.86	DCR|3VULN|3DUR|1TLV|1AART	1RMIN|238DUR|47aVULN|5AART|6TLV|9RCR
22	46232 32335	10	 * 	253.44	ACR|4VULN|2DUR|1TLV|1DMG|1CDMG	1RCR|2467VULN|3CDMG|58DUR|9DMG|aTLV
23	45412 31321	9	 * 	253.34	ACR|3VULN|2DMG|2TLV|1DUR|1CDMG|1AART	1RCR|27TLV|37DMG|4CDMG|5DUR|67aVULN|7BPWR|8MLV|9AART
24	46232 21512	10	 * 	253.33	ACR|4VULN|2DMG|2DUR|1CDMG	1RCR|248aVULN|3CDMG|5aDUR|6LIT|7LWND|9aDMG|aBPWR
25	22651 31613	9	   	253.31	DCR|2VULN|3DMG|1TLV|1DUR	1LWND|25VULN|36aDMG|4DUR|7TLV|8LIT|9RCR
26	22236 11132	9	   	253.13	DCR|3VULN|2DUR|1TLV|1CDMG	17LWND|247VULN|3CDMG|5FEWX|67DUR|7BPWR|8TLV|9RCR|aLIT
27	22236 11133	10	   	253.13	DCR|3VULN|2DUR|1TLV|1CDMG	17LWND|247VULN|3CDMG|5FEWX|67DUR|7BPWR|8TLV|9RCR|aLIT
28	22351 51613	9	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1LWND|256VULN|3ASPD|4DUR|7TLV|8LIT|9RCR|aDMG
29	22236 11622	7	 * 	252.90	DCR|4VULN|3DUR|1CDMG	17LWND|247aVULN|3CDMG|5FEWX|679DUR|7BPWR|8RCR
30	25413 31125	9	   	252.86	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1AART	17LWND|2MLV|37DMG|4CDMG|5DUR|67VULN|7BPWR|8TLV|9AART|aRCR
31	22621 51612	8	   	252.85	DCR|3VULN|2DMG|1TLV|2LIT	19LWND|256VULN|39DMG|4FEWX|7TLV|89LIT|9BPWR|aRCR
32	36634 13312	1	 * 	252.21	DCR|2VULN|2DMG|2TLV|2DUR	19FEWX|29DMG|37TLV|45VULN|69DUR|8BELT|9BPWR|aRCR
33	41252 31631	10	 * 	252.08	ACR|3VULN|3DMG|2DUR|3CDMG	1RCR|279CDMG|378DMG|4ERES|59DUR|679VULN|79BPWR|aLHND
34	41252 31632	9	   	252.08	ACR|3VULN|3DMG|2DUR|3CDMG	1RCR|279CDMG|378DMG|4ERES|59DUR|679VULN|79BPWR|aLWND
35	41252 31633	10	   	252.08	ACR|3VULN|3DMG|2DUR|3CDMG	1RCR|279CDMG|378DMG|4ERES|59DUR|679VULN|79BPWR|aFEWX
36	41252 31631	9	   	251.98	ACR|3VULN|3DMG|2DUR|3CDMG	1RCR|279CDMG|378DMG|4aERES|59DUR|679VULN|79BPWR
37	41252 31633	9	   	251.98	ACR|3VULN|3DMG|2DUR|3CDMG	1RCR|279CDMG|378DMG|4ERES|59DUR|679VULN|79BPWR|aBBNT
38	13252 24121	4	 * 	251.71	DCR|3VULN|3DUR|1DMG|1CDMG	1RMIN|236DUR|457VULN|8CDMG|9RCR|aDMG
39	13262 24121	3	   	251.71	DCR|3VULN|3DUR|1DMG|1CDMG	1RMIN|236DUR|457VULN|8CDMG|9RCR|aDMG
40	13562 24121	2	   	251.71	DCR|3VULN|3DUR|1DMG|1CDMG	1RMIN|236DUR|457VULN|8CDMG|9RCR|aDMG
41	41232 31131	9	 * 	251.57	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR|1AART	1RCR|27CDMG|37DMG|4ZMB|5DUR|67aVULN|7BPWR|8TLV|9AART
42	11222 11116	3	   	251.54	DCR|3VULN|2DMG|1TLV|1CDMG	1RMIN|2CDMG|36DMG|4RPLT|568VULN|6BPWR|7CGEN|9RCR|aTLV
43	11226 21116	4	   	251.54	DCR|3VULN|2DMG|1TLV|1CDMG	1RMIN|2CDMG|35DMG|458VULN|5BPWR|6RPLT|7CGEN|9RCR|aTLV
44	41252 31121	9	   	251.47	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR|1AART	1RCR|27CDMG|37DMG|4ERES|5DUR|67aVULN|7BPWR|8TLV|9AART
45	22661 22116	7	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1LWND|268VULN|34DMG|5RPLT|7CDMG|9RCR|aTLV
46	22661 23116	6	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1LWND|268VULN|34DMG|5RPLT|7CDMG|9RCR|aTLV
47	22236 26134	10	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LWND|246aVULN|3CDMG|5FEWX|7DUR|8TLV|9RCR
48	45312 31152	8	 * 	250.60	ACR|3VULN|3TLV|2DUR|3ASPD|2CDMG	1RCR|278TLV|379ASPD|4aCDMG|59DUR|679VULN|79BPWR
49	22432 35141	2	   	250.13	DCR|2VULN|1TLV|1DMG|1DUR|2LIT|1CDMG|1AART	18LWND|28VULN|3DUR|4DMG|5AART|6RCR|78LIT|8BPWR|9CDMG|aTLV
50	41252 31126	8	   	250.12	ACR|3VULN|2DMG|1TLV|2CDMG|1DUR	1RCR|27CDMG|37DMG|4ERES|5DUR|679VULN|7BPWR|8TLV|aASPD
51	36634 12332	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1FEWX|2DMG|3TLV|457VULN|6DUR|8BELT|9RCR|aCDMG
52	22364 52121	6	 * 	250.00	DCR|5VULN|1DMG	1LWND|25789VULN|3ASPD|4DMG|6RCR|aLIT
53	22236 43321	4	 * 	249.93	DCR|3VULN|1TLV|1DMG|2CDMG|1AART	1LWND|245VULN|35CDMG|5BPWR|6DMG|7AART|8TLV|9RCR|aBELT
54	22236 43322	4	   	249.93	DCR|3VULN|1TLV|1DMG|2CDMG|1AART	1LWND|245VULN|35CDMG|5BPWR|6DMG|7AART|8TLV|9RCR|aCGEN
55	22236 43324	4	   	249.93	DCR|3VULN|1TLV|1DMG|2CDMG|1AART	1LWND|245VULN|35CDMG|5BPWR|6DMG|7AART|8TLV|9RCR|aLHND
56	22236 43326	4	   	249.93	DCR|3VULN|1TLV|1DMG|2CDMG|1AART	1LWND|245VULN|35CDMG|5BPWR|6DMG|7AART|8TLV|9RCR|aRCVC
57	22236 43325	4	   	249.83	DCR|3VULN|1TLV|2CDMG|1DMG|1AART	1LWND|245VULN|35CDMG|5BPWR|6DMG|7AART|8TLV|9RCR|aERES
58	22364 52131	6	   	249.56	DCR|4VULN|1TLV|1DMG	1aLWND|2578VULN|3ASPD|4DMG|6RCR|9TLV
59	22364 52132	6	   	249.56	DCR|4VULN|1TLV|1DMG	1LWND|2578VULN|3ASPD|4DMG|6RCR|9TLV|aZMB
60	22621 51632	9	   	249.56	DCR|4VULN|1TLV|1DMG	1LWND|2569VULN|3DMG|4FEWX|7TLV|8LIT|aRCR
61	22621 51312	7	 * 	249.53	DCR|4VULN|2TLV|1DMG	19LWND|2569VULN|3DMG|4FEWX|79TLV|8BELT|9BPWR|aRCR
62	22364 52133	6	   	249.46	DCR|4VULN|1TLV|1DMG	1LWND|2578VULN|3ASPD|4DMG|6RCR|9TLV|aTBNT
63	22364 11125	7	   	249.46	DCR|4VULN|1TLV|1DMG	1LWND|2589VULN|3ASPD|4DMG|6ERES|7TLV|aRCR
64	34623 22125	1	   	249.46	DCR|4VULN|1TLV|1DMG	1FEWX|2ASPD|3TLV|4DMG|5ERES|6789VULN|aRCR
65	11226 43252	4	   	249.30	DCR|3VULN|3DMG|1CDMG	1RMIN|2CDMG|356DMG|459VULN|5BPWR|7ZMB|8RCR|aLIT
66	11226 41253	4	   	249.20	DCR|3VULN|3DMG|1CDMG	1RMIN|2CDMG|356DMG|459VULN|5BPWR|7ASPD|8RCR|aERES
67	11226 42252	4	   	249.20	DCR|3VULN|3DMG|1CDMG|1NUKE	1RMIN|2CDMG|356DMG|459VULN|5BPWR|7NUKE|8RCR|aLIT
68	43412 31631	9	   	249.19	ACR|3VULN|3DMG|2DUR|1CDMG|1AART	1RCR|279ERES|378DMG|4CDMG|59DUR|679VULN|79BPWR|aAART
69	15336 41231	2	   	249.05	DCR|3VULN|3DMG|1CDMG|1SELL	1RMIN|2SELL|35aVULN|456DMG|5BPWR|7ASPD|8RCR|9CDMG
70	15336 41231	3	   	249.05	DCR|3VULN|3DMG|1CDMG|1SELL	1RMIN|2SELL|35aVULN|456DMG|5BPWR|7ASPD|8RCR|9CDMG
71	11226 43235	4	   	248.81	DCR|2VULN|3DMG|1TLV|2CDMG	1RMIN|29CDMG|356DMG|45VULN|5BPWR|7ZMB|8RCR|aTLV
72	11226 42235	4	   	248.71	DCR|2VULN|3DMG|1TLV|2CDMG|1NUKE	1RMIN|29CDMG|356DMG|45VULN|5BPWR|7NUKE|8RCR|aTLV
73	11226 41211	4	   	248.70	DCR|2VULN|3DMG|2ASPD|1DUR|1CDMG	1RMIN|2CDMG|356DMG|45VULN|5BPWR|7aASPD|8RCR|9DUR
74	11226 65211	4	   	248.70	DCR|2VULN|3DMG|2ASPD|1DUR|1CDMG	1RMIN|2CDMG|357DMG|45VULN|5BPWR|6aASPD|8RCR|9DUR
75	24215 21136	8	   	248.67	DCR|3VULN|1TLV|1DMG|2CDMG	17LWND|2FEWX|37CDMG|4ASPD|5DMG|67aVULN|7BPWR|8TLV|9RCR
76	31215 21136	8	   	248.67	DCR|3VULN|1TLV|1DMG|2CDMG	17FEWX|2LWND|37CDMG|4ASPD|5DMG|67aVULN|7BPWR|8TLV|9RCR
77	33215 21136	8	   	248.57	DCR|3VULN|1TLV|1DMG|2CDMG	17FEWX|2LEGI|37CDMG|4ASPD|5DMG|67aVULN|7BPWR|8TLV|9RCR
78	36215 21136	8	   	248.57	DCR|3VULN|1TLV|1DMG|2CDMG	17FEWX|2DUST|37CDMG|4ASPD|5DMG|67aVULN|7BPWR|8TLV|9RCR
79	34622 23134	1	   	248.30	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1FEWX|2ASPD|3TLV|4DMG|58VULN|6aDUR|7CDMG|9RCR
80	22334 52135	6	 * 	247.84	DCR|5VULN|1TLV	1LWND|2578aVULN|3ASPD|4MLV|6RCR|9TLV
81	22351 51612	8	   	247.59	DCR|3VULN|1TLV|2ASPD|1DUR|2LIT	19LWND|256VULN|39ASPD|4DUR|7TLV|89LIT|9BPWR|aRCR
82	22351 61632	9	   	247.59	DCR|3VULN|2DUR|1TLV	1LWND|259VULN|3ASPD|46DUR|7TLV|8LIT|aRCR
