0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13243 42261	9	 * 	305.94	DCR|4VULN|3DMG|3AART|2ASPD	139AART|257aVULN|47aDMG|6RCR|7aBPWR|8aASPD
2	13243 42361	10	 * 	298.51	DCR|5VULN|2DMG|2AART|1TLV	13AART|2578aVULN|47DMG|6RCR|7BPWR|9TLV
3	13243 45133	7	   	298.44	DCR|4VULN|3DMG|2CDMG|2AART	13AART|2589VULN|49aDMG|6RCR|79CDMG|9BPWR
4	13243 42341	8	   	294.63	DCR|4VULN|3DMG|2AART|1TLV	13AART|2578VULN|47aDMG|6RCR|7BPWR|9TLV
5	13243 42361	9	   	294.63	DCR|4VULN|3DMG|2AART|1TLV	13AART|2578VULN|47aDMG|6RCR|7BPWR|9TLV
6	13211 33153	8	   	293.79	DCR|4VULN|2DMG|2CDMG|2AART|1ASPD	13AART|279aVULN|4ASPD|59DMG|69CDMG|8RCR|9BPWR
7	13211 33653	7	   	293.79	DCR|4VULN|2DMG|2CDMG|2AART|1ASPD	13AART|279aVULN|4ASPD|59DMG|69CDMG|8RCR|9BPWR
8	13211 34653	6	   	293.79	DCR|4VULN|2DMG|2CDMG|2AART|1ASPD	13AART|279aVULN|4ASPD|59DMG|69CDMG|8RCR|9BPWR
9	13521 33153	8	   	293.79	DCR|4VULN|2DMG|2CDMG|2AART|1ASPD	14AART|279aVULN|3ASPD|59DMG|69CDMG|8RCR|9BPWR
10	13521 33653	7	   	293.79	DCR|4VULN|2DMG|2CDMG|2AART|1ASPD	14AART|279aVULN|3ASPD|59DMG|69CDMG|8RCR|9BPWR
11	13243 42325	8	   	292.62	DCR|4VULN|2DMG|2AART|1DUR|1CDMG	13AART|2578VULN|47DMG|6RCR|7BPWR|9DUR|aCDMG
12	13211 31236	5	 * 	292.43	DCR|3VULN|2DMG|2DUR|2ASPD|2AART	13AART|279VULN|49ASPD|57DMG|67DUR|79BPWR|89LHND|aRCR
13	13521 31236	5	   	292.43	DCR|3VULN|2DMG|2DUR|2ASPD|2AART	14AART|279VULN|39ASPD|57DMG|67DUR|79BPWR|89LHND|aRCR
14	13563 21124	6	   	292.22	DCR|4VULN|3DMG|2ASPD	1AART|2678VULN|38ASPD|478BEXP|567DMG|678BPWR|9LWND|aRCR
15	13236 52341	7	 * 	290.44	DCR|4VULN|3DUR|2ASPD|2AART	13AART|2789VULN|457DUR|67ASPD|7BPWR|aRCR
16	13243 42362	10	   	289.98	DCR|4VULN|2DMG|2AART|1TLV|1ASPD	13AART|2578VULN|47DMG|6RCR|7BPWR|9TLV|aASPD
17	13653 21633	6	 * 	289.87	DCR|2VULN|3DMG|3DUR|1TLV	1AART|27VULN|367DUR|4RMIN|567DMG|67BPWR|8RCR|9LIT|aTLV
18	13241 42313	7	   	288.24	DCR|3VULN|3DMG|2AART|1TLV|1DUR	13AART|27aVULN|457DMG|6RCR|7BPWR|8TLV|9DUR
19	13211 33152	8	   	287.40	DCR|3VULN|2DMG|2CDMG|2AART|1DUR|1ASPD	13AART|279VULN|4ASPD|59DMG|69CDMG|8RCR|9BPWR|aDUR
20	13211 33652	7	   	287.40	DCR|3VULN|2DMG|2CDMG|2AART|1DUR|1ASPD	13AART|279VULN|4ASPD|59DMG|69CDMG|8RCR|9BPWR|aDUR
21	13211 34652	6	   	287.40	DCR|3VULN|2DMG|2CDMG|2AART|1DUR|1ASPD	13AART|279VULN|4ASPD|59DMG|69CDMG|8RCR|9BPWR|aDUR
22	13521 33152	8	   	287.40	DCR|3VULN|2DMG|2CDMG|2AART|1DUR|1ASPD	14AART|279VULN|3ASPD|59DMG|69CDMG|8RCR|9BPWR|aDUR
23	13521 33652	7	   	287.40	DCR|3VULN|2DMG|2CDMG|2AART|1DUR|1ASPD	14AART|279VULN|3ASPD|59DMG|69CDMG|8RCR|9BPWR|aDUR
