0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14626 31222	1	 * 	301.90	DCR|5VULN|3DMG|2ASPD	13468VULN|238DMG|38BPWR|58ASPD|7RCVC|9RCR|aLWND
2	16626 31222	2	   	301.90	DCR|5VULN|3DMG|2ASPD	13468VULN|238DMG|38BPWR|58ASPD|7RCVC|9RCR|aLWND
3	14626 31221	1	   	301.80	DCR|5VULN|3DMG|2ASPD	13468VULN|238DMG|38BPWR|58ASPD|7RCVC|9RCR|aBBNT
4	14626 31223	1	   	301.80	DCR|5VULN|3DMG|2ASPD	13468VULN|238DMG|38BPWR|58ASPD|7RCVC|9RCR|aDLOT
5	16626 31221	2	   	301.80	DCR|5VULN|3DMG|2ASPD	13468VULN|238DMG|38BPWR|58ASPD|7RCVC|9RCR|aBBNT
6	16626 31223	2	   	301.80	DCR|5VULN|3DMG|2ASPD	13468VULN|238DMG|38BPWR|58ASPD|7RCVC|9RCR|aDLOT
7	11151 51126	7	   	299.10	DCR|4VULN|2DMG|2ASPD|1TLV|1DUR	145aVULN|2LHND|3aDMG|6RCR|7TLV|8DUR|9aASPD|aBPWR
8	11151 53126	6	   	299.10	DCR|4VULN|2DMG|2ASPD|1TLV|1DUR	145aVULN|2LHND|3aDMG|6RCR|7TLV|8DUR|9aASPD|aBPWR
9	12614 35221	4	 * 	298.91	DCR|3VULN|3DMG|3DUR|1TLV	178VULN|2MLV|378DUR|4CGEN|5TLV|678DMG|78BPWR|9RCR|aBEXP
10	12614 35223	4	   	298.91	DCR|3VULN|3DMG|3DUR|1TLV	178VULN|2MLV|378DUR|4CGEN|5TLV|678DMG|78BPWR|9RCR|aFEWX
11	15151 51222	10	   	297.85	DCR|4VULN|2DMG|2CDMG|1TLV|1DUR	145aVULN|2DUR|3aDMG|6RCR|7TLV|8CGEN|9aCDMG|aBPWR
12	16212 14352	4	   	297.26	DCR|4VULN|3DMG|3LIT|1TLV	1789VULN|289DMG|3TLV|4LHND|589LIT|6BBNT|89BPWR|aRCR
13	15151 33126	7	   	296.63	DCR|5VULN|3DMG|1DUR	1456aVULN|2DUR|389DMG|7RCR
14	15151 53223	10	   	294.83	DCR|5VULN|2DMG|1DUR|1CDMG	1458aVULN|2DUR|38DMG|6RCR|78FEWX|8BPWR|9CDMG
