0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32242 14153	3	 * 	272.81	DCR|4VULN|3DUR|2ASPD	149ERES|2aASPD|389aVULN|5MBVNT|69aDUR|7RCR|9aBPWR
2	32222 14634	7	 * 	269.69	DCR|3VULN|3DUR|1DMG|1ASPD|1AART	18ERES|2ASPD|378VULN|4AART|58aDUR|6RCR|8BPWR|9DMG
3	32212 14151	4	   	265.53	DCR|4VULN|2DUR|1TLV|1ASPD	19ERES|2ASPD|3489VULN|5MBVNT|69DUR|7RCR|9BPWR|aTLV
4	12244 11612	3	 * 	263.20	DCR|2VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	1BEXP|2LWND|3aVULN|4aASPD|5DUR|6aDMG|7CDMG|8TLV|9RCR|aBPWR
5	13662 21512	6	 * 	260.20	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1BEXP|2CDMG|3aDUR|4aASPD|5TLV|6aVULN|7LWND|8DMG|9RCR|aBPWR
6	13662 22512	7	   	260.20	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1BEXP|2CDMG|3aDUR|4aASPD|5TLV|6aVULN|7LHND|8DMG|9RCR|aBPWR
7	13662 24212	6	   	260.20	DCR|2VULN|2DUR|2ASPD|1DMG|1TLV|1CDMG	1BEXP|2CDMG|3aDUR|4aASPD|5TLV|6aVULN|7DMG|8LHND|9RCR|aBPWR
8	34242 14153	2	 * 	259.69	DCR|3VULN|3DUR|3ASPD	149ERES|28aVULN|39aASPD|5MBVNT|69aDUR|7RCR|9aBPWR
9	13353 43161	2	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1BEXP|2CDMG|367VULN|45DUR|8AART|9RCR|aDMG
10	23353 43161	2	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1FEWX|2CDMG|367VULN|45DUR|8AART|9RCR|aDMG
11	32222 14626	7	   	259.04	DCR|4VULN|2DUR|1ASPD|1AART	18ERES|2ASPD|378aVULN|4AART|58DUR|6RCR|8BPWR|9FEWX
12	13322 22424	2	 * 	258.34	DCR|4VULN|2DUR|2CDMG	1BEXP|25CDMG|358aVULN|4TBNT|5BPWR|6RCR|79DUR
13	23322 62424	2	   	258.34	DCR|4VULN|2DUR|2CDMG	1FEWX|25CDMG|358aVULN|4TBNT|5BPWR|6RCR|79DUR
14	33513 31243	6	 * 	258.27	DCR|3VULN|3DMG|2CDMG	159ERES|2RMIN|3RPLT|4aCDMG|6RCR|79aVULN|89aDMG|9aBPWR
