0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32635 53111	9	 * 	269.66	DCR|4VULN|2DUR|2AART|1CDMG	17ZMB|2357VULN|49AART|67DUR|7BPWR|8CDMG|aRCR
2	32635 53131	9	 * 	268.20	DCR|4VULN|2DUR|2CDMG|1AART	17ZMB|2357VULN|4AART|67DUR|7BPWR|89CDMG|aRCR
3	24132 41251	5	 * 	266.56	DCR|4VULN|3DUR|2LIT	1aERES|26aDUR|37LIT|4LWND|568aVULN|6aBPWR|9RCR
4	33562 22142	8	   	265.55	DCR|4VULN|3DUR|1CDMG	18aZMB|2ERES|389aVULN|4CDMG|5LHND|6RCR|78aDUR|8aBPWR
5	32643 11152	10	 * 	264.52	DCR|4VULN|1DMG|1TLV|1ASPD|1AART	1ZMB|239aVULN|4ASPD|5AART|6TLV|7RCR|8DMG
6	24132 43251	5	   	260.01	DCR|4VULN|3DUR	1aERES|26aDUR|3LIT|47LWND|568aVULN|6aBPWR|9RCR
7	24132 53251	7	   	259.91	DCR|4VULN|3DUR	1aERES|27aDUR|3LIT|4LWND|568aVULN|9RCR|aBPWR
8	34631 33242	6	 * 	257.60	DCR|4VULN|2TLV|1DUR|1CDMG	1aZMB|2DUR|358aVULN|4LHND|6CDMG|7aTLV|9RCR|aBPWR
9	52223 35322	4	 * 	255.96	DCR|3VULN|2DUR|1DMG|2CDMG	1FEWX|28aVULN|3CGEN|4BEXP|5aDUR|6RCR|7DMG|9aCDMG|aBPWR
10	62513 31142	8	   	255.86	DCR|3VULN|2DUR|2CDMG|1DMG	1LHND|29aVULN|3DMG|4ERES|5aDUR|6RCR|7LWND|8aCDMG|aBPWR
11	31511 62633	3	 * 	254.95	DCR|4VULN|2DMG|1NUKE|1AART	1aZMB|2BEXP|3AART|459aVULN|6RCR|7aDMG|8NUKE|aBPWR
12	32531 65223	3	   	254.95	DCR|4VULN|2DMG|1AART	1aZMB|259aVULN|3AART|4BEXP|6RCR|7ERES|8aDMG|aBPWR
13	35623 36113	1	   	254.85	DCR|4VULN|2DMG|1AART	19ZMB|29DMG|3TBNT|4AART|589aVULN|6RCR|7BBNT|9BPWR
14	22522 23265	8	 * 	254.23	DCR|5VULN|1DUR|1ASPD	1ERES|2467aVULN|3RCVC|5DUR|8RCR|9ASPD
15	22422 23265	8	   	254.13	DCR|5VULN|1DUR|1ASPD	13ERES|2467aVULN|5DUR|8RCR|9ASPD
16	24132 51251	6	   	253.23	DCR|4VULN|2DUR|2LIT	1aERES|2aDUR|37LIT|4LWND|568aVULN|9RCR|aBPWR
17	33562 21142	6	   	252.12	DCR|4VULN|2DUR|1CDMG	1aZMB|2ERES|389aVULN|4CDMG|5LHND|6RCR|7aDUR|aBPWR
18	33562 22142	7	   	252.12	DCR|4VULN|2DUR|1CDMG	1aZMB|2ERES|389aVULN|4CDMG|5LHND|6RCR|7aDUR|aBPWR
19	32643 11162	10	 * 	252.08	DCR|3VULN|2ASPD|1DMG|1TLV|1AART	1ZMB|23aVULN|49ASPD|5AART|6TLV|7RCR|8DMG
20	22522 21365	8	   	251.92	DCR|4VULN|2DUR|1CDMG	1ERES|2469VULN|3RCVC|57DUR|8CDMG|aRCR
21	22522 23232	8	   	251.92	DCR|4VULN|2DUR|1CDMG	1ERES|2467VULN|3RCVC|59DUR|8RCR|aCDMG
22	24526 23232	8	   	251.92	DCR|4VULN|2DUR|1CDMG	1ERES|29DUR|3RCVC|4567VULN|8RCR|aCDMG
23	24426 23232	8	   	251.82	DCR|4VULN|2DUR|1CDMG	13ERES|29DUR|4567VULN|8RCR|aCDMG
24	22422 21365	8	   	251.82	DCR|4VULN|2DUR|1CDMG	13ERES|2469VULN|57DUR|8CDMG|aRCR
25	22422 23232	8	   	251.82	DCR|4VULN|2DUR|1CDMG	13ERES|2467VULN|59DUR|8RCR|aCDMG
