0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31333 22241	8	 * 	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	1MLV|2678VULN|3CDMG|4TLV|56DMG|6BPWR|9BBNT|aRCR
2	11513 36315	1	 * 	274.37	DCR|3VULN|3DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4MLV|5TLV|6RCR|78aDMG|8BPWR
3	11513 36315	2	 * 	274.37	DCR|3VULN|3DMG|2CDMG|1TLV|1SELL	1SELL|289VULN|38CDMG|4MLV|5TLV|6RCR|78aDMG|8BPWR
4	31242 16261	2	 * 	270.81	DCR|4VULN|3DMG|1AART	17aMLV|2479VULN|347DMG|47BPWR|5BELT|6RCR|8AART
5	31242 16262	2	   	270.81	DCR|4VULN|3DMG|1AART	17MLV|2479VULN|347DMG|47BPWR|5BELT|6RCR|8AART|aCGEN
6	31242 16263	2	   	270.81	DCR|4VULN|3DMG|1AART	17MLV|2479VULN|347DMG|47BPWR|5BELT|6RCR|8AART|aRCVC
7	12536 33124	2	   	270.56	DCR|3VULN|3DMG|1TLV|1DUR|1SELL	1SELL|2BELT|37DUST|467DMG|567VULN|67BPWR|8DUR|9RCR|aTLV
8	12536 33126	2	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|2BELT|37DUST|467DMG|567VULN|67BPWR|8aDUR|9RCR
9	11421 63312	5	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|247VULN|37DUR|5BELT|678DMG|7BPWR|9ERES|aRCR
10	11423 43312	6	 * 	268.89	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|247VULN|37DUR|578DMG|6BELT|7BPWR|9ERES|aRCR
11	31243 41116	2	 * 	268.52	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1MLV|24aVULN|34DMG|4BPWR|58TLV|6AART|7DUR|9RCR
12	11233 23436	7	   	267.96	DCR|3VULN|3DMG|1TLV|1CDMG|1SELL	1SELL|269VULN|3CGEN|4TLV|568DMG|6BPWR|7CDMG|aRCR
13	31333 21436	7	   	267.96	DCR|3VULN|3DMG|1TLV|1CDMG|1SELL	1MLV|269VULN|3CDMG|4TLV|568DMG|6BPWR|7SELL|aRCR
14	31333 22546	9	   	267.96	DCR|3VULN|3DMG|1TLV|1CDMG|1SELL	1MLV|267VULN|3CDMG|4TLV|569DMG|6BPWR|8SELL|aRCR
15	12536 33122	2	   	265.31	DCR|3VULN|3DMG|1DUR|1ASPD|1SELL	1SELL|2BELT|37DUST|467DMG|567VULN|67BPWR|8DUR|9RCR|aASPD
16	11125 62222	2	 * 	264.97	DCR|2VULN|3DMG|3DUR|1AART|1SELL	1SELL|28VULN|3BEXP|468DUR|578DMG|8BPWR|9AART|aRCR
17	11125 62222	1	 * 	264.97	DCR|2VULN|3DMG|3DUR|1AART|1SELL	1SELL|28VULN|3BEXP|468DUR|578DMG|8BPWR|9AART|aRCR
18	31242 11154	2	 * 	264.83	DCR|5VULN|2DMG	1MLV|2478aVULN|34DMG|4BPWR|5BELT|6RCR|9FEWX
