0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33512 15353	9	 * 	297.99	DCR|4VULN|2DUR|2ASPD|1TLV|1CDMG	19ASPD|2LIT|3679VULN|4TLV|5CDMG|89DUR|9BPWR|aRCR
2	32143 12614	4	 * 	291.05	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2TLV|3aDUR|467VULN|5CGEN|8aDMG|9RCR|aBPWR
3	32143 12614	5	   	291.05	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2TLV|3aDUR|467VULN|5CGEN|8aDMG|9RCR|aBPWR
4	32143 12614	6	   	291.05	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2TLV|3aDUR|467VULN|5CGEN|8aDMG|9RCR|aBPWR
5	32141 32614	4	   	290.95	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2TLV|3aDUR|457VULN|6ERES|8aDMG|9RCR|aBPWR
6	32142 12614	6	   	290.95	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2TLV|3aDUR|467VULN|5ERES|8aDMG|9RCR|aBPWR
7	32142 12614	5	   	290.95	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	1aASPD|2TLV|3aDUR|467VULN|5ERES|8aDMG|9RCR|aBPWR
8	32221 36114	1	 * 	282.75	DCR|4VULN|2DMG|2ASPD|1DUR	1aASPD|2ERES|3aDMG|4DUR|5CGEN|678aVULN|9RCR|aBPWR
9	33512 16353	9	 * 	281.66	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	19ASPD|2LIT|369VULN|4TLV|57CDMG|89DUR|9BPWR|aRCR
10	32143 13614	7	 * 	277.57	DCR|2VULN|2DMG|3ASPD|2DUR|2TLV	17aASPD|27TLV|3aDUR|46VULN|57CGEN|7aBPWR|8aDMG|9RCR
11	32142 13614	7	   	277.37	DCR|2VULN|2DMG|3ASPD|2DUR|2TLV	17aASPD|27TLV|3aDUR|46VULN|57ERES|7aBPWR|8aDMG|9RCR
12	32143 22614	6	 * 	277.36	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	1aASPD|2TLV|36aDUR|47VULN|5CGEN|8aDMG|9RCR|aBPWR
13	32143 32614	4	   	277.36	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	1aASPD|2TLV|36aDUR|47VULN|5CGEN|8aDMG|9RCR|aBPWR
14	32143 32614	5	   	277.36	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	1aASPD|2TLV|36aDUR|47VULN|5CGEN|8aDMG|9RCR|aBPWR
15	32142 22614	6	   	277.26	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	1aASPD|2TLV|36aDUR|47VULN|5ERES|8aDMG|9RCR|aBPWR
16	32142 32614	5	   	277.26	DCR|2VULN|3DUR|2DMG|2ASPD|1TLV	1aASPD|2TLV|36aDUR|47VULN|5ERES|8aDMG|9RCR|aBPWR
17	33512 13353	9	   	275.35	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	19ASPD|2LIT|369VULN|4TLV|5CDMG|7RCVC|89DUR|9BPWR|aRCR
18	33512 25353	9	   	275.35	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	19ASPD|2LIT|379VULN|4TLV|5CDMG|6DMSP|89DUR|9BPWR|aRCR
19	33514 25323	10	   	275.07	DCR|3VULN|2DMG|2ASPD|1TLV|2LIT	18ASPD|25LIT|38aVULN|4TLV|6CGEN|78DMG|8BPWR|9RCR
20	32221 34114	1	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	1aASPD|2ERES|3aDMG|47DUR|5CGEN|68aVULN|9RCR|aBPWR
21	32221 36614	1	   	274.70	DCR|3VULN|2DMG|2DUR|2ASPD	1aASPD|2ERES|3aDMG|48DUR|5CGEN|67aVULN|9RCR|aBPWR
22	32143 12614	7	   	273.66	DCR|2VULN|2DMG|3ASPD|2DUR|1TLV	17aASPD|2TLV|3aDUR|46VULN|5CGEN|8aDMG|9RCR|aBPWR
23	32142 12614	7	   	273.56	DCR|2VULN|2DMG|3ASPD|2DUR|1TLV	17aASPD|2TLV|3aDUR|46VULN|5ERES|8aDMG|9RCR|aBPWR
24	33513 12214	5	 * 	273.41	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR	18ASPD|2LIT|38VULN|4TLV|5DUR|6BBNT|789DMG|8BPWR|aRCR
25	33516 12214	4	   	273.41	DCR|2VULN|3DMG|2ASPD|1TLV|1DUR	18ASPD|2LIT|38VULN|4TLV|5DUR|6BBNT|789DMG|8BPWR|aRCR
26	33512 15323	9	   	273.00	DCR|4VULN|1DUR|1TLV|1CDMG|1ASPD	1ASPD|2LIT|3679VULN|4TLV|5CDMG|8DUR|aRCR
27	22154 32412	1	 * 	271.76	DCR|4VULN|3DUR|1DMG	15LHND|2679VULN|3DMG|458DUR|5BPWR|aRCR
28	33511 11533	5	   	271.76	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1ASPD|2LIT|379VULN|4TLV|56DMG|8CDMG|aRCR
29	32141 62316	4	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1ASPD|2TLV|3DUR|457aVULN|6DMG|8RMIN|9RCR
30	32141 63116	4	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1ASPD|2TLV|3DUR|458aVULN|6DMG|7ZMB|9RCR
31	32142 32616	4	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1ASPD|2TLV|3DUR|467aVULN|5ZMB|8DMG|9RCR
