0	Index      	Bounty	 *	Score 	Summary	Detail	
1	55136 32321	8	 * 	315.24	DCR|4VULN|3DUR|3LIT|1DMG|1CDMG	189DUR|289LIT|3DMG|4CDMG|589aVULN|6AART|7RCR|89BPWR
2	23135 21266	3	 * 	308.13	DCR|4VULN|3DMG|3ASPD|1DUR	1679VULN|247ASPD|347DMG|47BPWR|5BELT|8DUR|aRCR
3	24236 11352	5	 * 	307.55	DCR|5VULN|3DUR|1DMG|1TLV	13679VULN|234DUR|3BPWR|5TLV|8DMG|aRCR
4	51236 11352	5	   	307.55	DCR|5VULN|3DUR|1DMG|1TLV	134DUR|23679VULN|3BPWR|5TLV|8DMG|aRCR
5	24234 31422	5	 * 	305.10	DCR|4VULN|3DMG|3DUR	1378VULN|234DUR|38BPWR|568DMG|9LWND|aRCR
6	51234 31422	5	   	305.10	DCR|4VULN|3DMG|3DUR	134DUR|2378VULN|38BPWR|568DMG|9LWND|aRCR
7	23133 11145	4	 * 	303.88	DCR|3VULN|3DMG|3DUR|2ASPD	19aVULN|28ASPD|39aDMG|49aDUR|5RPLT|6RCVC|7RCR|9aBPWR
8	23135 11145	5	   	303.88	DCR|3VULN|3DMG|3DUR|2ASPD	19aVULN|28ASPD|39aDMG|49aDUR|5RPLT|6RCVC|7RCR|9aBPWR
9	23135 23426	3	 * 	300.07	DCR|3VULN|3DMG|3ASPD|2DUR	169VULN|249ASPD|347DMG|49BPWR|5BELT|89DUR|aRCR
10	23136 41412	10	   	299.97	DCR|3VULN|3DMG|3ASPD|2DUR	189VULN|258ASPD|367DMG|48DUR|8BPWR|aRCR
11	23635 21153	3	   	298.51	DCR|4VULN|3DMG|2ASPD|1DUR	1367VULN|27ASPD|4BELT|57aDMG|7BPWR|8DUR|9RCR
12	64313 13342	7	 * 	296.86	DCR|3VULN|3DMG|3CDMG|1TLV|1DUR|1SELL	179CDMG|279VULN|3SELL|4CGEN|5TLV|679DMG|79BPWR|8RCR|aDUR
13	61421 36133	4	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	17CDMG|27DUR|36DMG|4ERES|578aVULN|7BPWR|9RCR
14	61421 36133	5	   	296.09	DCR|4VULN|2DMG|2DUR|2CDMG	17CDMG|27DUR|36DMG|4ERES|578aVULN|7BPWR|9RCR
15	55136 32322	8	   	292.60	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	189DUR|289LIT|3DMG|4CDMG|589VULN|6AART|7RCR|89BPWR|aDMSP
16	55136 32323	8	   	292.60	DCR|3VULN|3DUR|3LIT|1DMG|1CDMG	189DUR|289LIT|3DMG|4CDMG|589VULN|6AART|7RCR|89BPWR|aCGEN
17	23635 21151	3	   	292.37	DCR|4VULN|2DMG|3ASPD|1DUR	1367VULN|27aASPD|4BELT|57DMG|7BPWR|8DUR|9RCR
18	23435 21326	3	   	291.98	DCR|4VULN|3DMG|3ASPD	1679VULN|237ASPD|4BELT|579DMG|79BPWR|89FEWX|aRCR
19	23135 21166	3	   	291.88	DCR|4VULN|3DMG|3ASPD	1679VULN|247ASPD|347DMG|47BPWR|5BELT|8LWND|aRCR
20	23135 21426	3	   	291.88	DCR|4VULN|3DMG|3ASPD	1678VULN|247ASPD|347DMG|47BPWR|5BELT|9BEXP|aRCR
21	21164 11112	10	   	291.88	DCR|4VULN|3DMG|2DUR	124aVULN|3CGEN|5aDUR|67aDMG|8RCR|9DMSP|aBPWR
