0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12452 32352	3	 * 	310.99	DCR|5VULN|3DMG|3DUR	1678aVULN|2FEWX|347DMG|567DUR|67BPWR|9RCR
2	11443 11135	6	 * 	307.99	DCR|5VULN|3DMG|1TLV|2LIT	1458aVULN|258DMG|3RMIN|58BPWR|6RCR|78LIT|9TLV
3	13141 11144	6	 * 	305.49	DCR|5VULN|2DUR|1TLV|1DMG|2LIT	12458VULN|38DUR|6RCR|78LIT|8BPWR|9DMG|aTLV
4	13143 11622	6	   	303.65	DCR|5VULN|3DUR|2DMG	1245aVULN|35aDUR|5aBPWR|6RCR|7LIT|8BEXP|9aDMG
5	16143 11622	6	   	303.65	DCR|5VULN|3DUR|2DMG	1245aVULN|25aBPWR|35aDUR|6RCR|7LIT|8BEXP|9aDMG
6	11443 13341	9	 * 	299.12	DCR|4VULN|3DMG|2TLV|1DUR	145aVULN|25aDMG|3RMIN|5aBPWR|6RCR|7CGEN|8DUR|9aTLV
7	13143 11142	6	 * 	298.75	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|358DUR|58BPWR|6RCR|78LIT|9BEXP|aTLV
8	13143 11152	6	   	298.75	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|358DUR|58BPWR|6RCR|78LIT|9LWND|aTLV
9	16143 11113	6	   	298.75	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|258BPWR|358DUR|6RCR|78LIT|9TLV|aZMB
10	16143 11114	6	   	298.75	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|258BPWR|358DUR|6RCR|78LIT|9TLV|aCGEN
11	16143 11115	6	   	298.75	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|258BPWR|358DUR|6RCR|78LIT|9TLV|aBEXP
12	16143 11116	6	   	298.75	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|258BPWR|358DUR|6RCR|78LIT|9TLV|aLHND
13	16143 11122	6	   	298.75	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|258BPWR|358DUR|6RCR|78LIT|9DMSP|aTLV
14	13143 11162	6	   	298.65	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|358DUR|58BPWR|6RCR|78LIT|9DUST|aTLV
15	16143 11111	6	   	298.65	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|258BPWR|358DUR|6RCR|78LIT|9TLV|aERES
16	16143 11112	6	   	298.65	DCR|5VULN|3DUR|1TLV|2LIT	12458VULN|258BPWR|358DUR|6RCR|78LIT|9TLV|aTBNT
17	11443 11133	6	   	294.66	DCR|4VULN|3DMG|1TLV|3LIT	1458VULN|258DMG|3RMIN|58BPWR|6RCR|78aLIT|9TLV
18	12452 32252	3	   	292.65	DCR|4VULN|3DMG|3DUR	167aVULN|28FEWX|347DMG|567DUR|67BPWR|9RCR
19	12452 32351	3	   	292.65	DCR|4VULN|3DMG|3DUR	1678VULN|2FEWX|347DMG|567DUR|67BPWR|9RCR|aZMB
20	12452 32353	3	   	292.65	DCR|4VULN|3DMG|3DUR	1678VULN|2FEWX|347DMG|567DUR|67BPWR|9RCR|aBELT
21	13143 11136	6	   	292.61	DCR|5VULN|3DUR|1DMG|2LIT	12458VULN|358DUR|58BPWR|6RCR|78LIT|9RMIN|aDMG
22	13143 11126	6	   	292.51	DCR|5VULN|3DUR|1DMG|2LIT	12458VULN|358DUR|58BPWR|6RCR|78LIT|9ERES|aDMG
23	13143 11515	8	   	292.00	DCR|5VULN|3DUR|1TLV	1245aVULN|358DUR|5BPWR|6RCR|7ASPD|9TLV
24	13143 13121	9	 * 	291.97	DCR|5VULN|3DUR|2TLV	1245aVULN|35aDUR|5aBPWR|6RCR|7CGEN|8BEXP|9aTLV
25	13143 13221	9	   	291.97	DCR|5VULN|3DUR|2TLV	1245aVULN|35aDUR|5aBPWR|6RCR|7CGEN|8FEWX|9aTLV
26	16143 13121	9	   	291.97	DCR|5VULN|3DUR|2TLV	1245aVULN|25aBPWR|35aDUR|6RCR|7CGEN|8BEXP|9aTLV
27	16143 13221	9	   	291.97	DCR|5VULN|3DUR|2TLV	1245aVULN|25aBPWR|35aDUR|6RCR|7CGEN|8FEWX|9aTLV
28	13143 12221	9	   	291.87	DCR|5VULN|3DUR|2TLV	1245aVULN|35aDUR|5aBPWR|6RCR|7DUST|8CGEN|9aTLV
29	13143 12346	6	   	291.87	DCR|5VULN|3DUR|2TLV	1245aVULN|35aDUR|5aBPWR|6RCR|7aTLV|8DMSP|9TBNT
30	16143 12221	9	   	291.87	DCR|5VULN|3DUR|2TLV	1245aVULN|25aBPWR|35aDUR|6RCR|7DUST|8CGEN|9aTLV
31	13143 12621	9	   	291.77	DCR|5VULN|3DUR|2TLV	1245aVULN|35aDUR|5aBPWR|6RCR|7DUST|8ERES|9aTLV
32	16143 12621	9	   	291.77	DCR|5VULN|3DUR|2TLV	1245aVULN|25aBPWR|35aDUR|6RCR|7DUST|8ERES|9aTLV
33	13143 15363	9	   	291.57	DCR|5VULN|2DMG|2DUR	12459VULN|35DUR|5BPWR|6RCR|7aDMG|8AART
34	13141 11622	6	   	290.32	DCR|5VULN|2DMG|2DUR	1245aVULN|3aDUR|6RCR|7LIT|8BEXP|9aDMG|aBPWR
35	16141 11622	6	   	290.32	DCR|5VULN|2DMG|2DUR	1245aVULN|2aBPWR|3aDUR|6RCR|7LIT|8BEXP|9aDMG
