0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23225 34281	1	 * 	307.55	DCR|5VULN|3DUR|1DMG|1TLV	13457VULN|247DUR|47BPWR|6MBVNT|8TLV|9DMG|aRCR
2	23225 34741	1	   	302.31	DCR|5VULN|3DUR|1DMG|1ASPD	13457VULN|247DUR|47BPWR|6MBVNT|8ASPD|9DMG|aRCR
3	23225 34241	1	   	298.49	DCR|5VULN|3DUR|1TLV|1ASPD	13457VULN|247DUR|47BPWR|6MBVNT|8TLV|9ASPD|aRCR
4	23225 34681	1	   	291.20	DCR|5VULN|3DUR|1DMG	13457VULN|247DUR|47BPWR|6MBVNT|8ERES|9DMG|aRCR
5	23521 61623	1	 * 	289.65	DCR|4VULN|3DUR|2DMG	147aVULN|234DUR|47aBPWR|57BEXP|6RCR|8aDMG|9aZMB
6	23252 11551	1	   	289.45	DCR|4VULN|3DUR|2DMG	139aVULN|269DUR|48RPLT|59DMG|7RCR|9BPWR
7	23225 35437	1	   	288.98	DCR|5VULN|2DUR|1DMG|1ASPD	13459VULN|24DUR|4BPWR|6MBVNT|7DMG|8ASPD|aRCR
8	23252 11643	1	   	286.77	DCR|3VULN|3DUR|2DMG|2CDMG	13aVULN|268DUR|4RPLT|5aDMG|7RCR|9aCDMG|aBPWR
9	23225 34731	1	   	282.24	DCR|5VULN|3DUR|1ASPD	13457VULN|247DUR|47BPWR|6MBVNT|8ASPD|9CGEN|aRCR
10	23226 32632	1	   	282.24	DCR|5VULN|3DUR|1ASPD	13467VULN|248DUR|4BPWR|5ASPD|9LWND|aRCR
11	23226 35532	1	   	282.24	DCR|5VULN|3DUR|1ASPD	13468VULN|247DUR|4BPWR|5ASPD|9LWND|aRCR
12	23225 34142	1	   	282.24	DCR|5VULN|3DUR|1ASPD	13457VULN|247DUR|47BPWR|6MBVNT|8RCR|9MLV|aASPD
13	23225 34132	1	   	282.14	DCR|5VULN|3DUR|1ASPD	13457VULN|247DUR|47BPWR|6MBVNT|8RCR|9ERES|aASPD
14	23225 34711	1	   	282.14	DCR|5VULN|3DUR|1ASPD	13457VULN|247DUR|47BPWR|6MBVNT|8ASPD|9ERES|aRCR
15	23226 32622	1	   	282.14	DCR|5VULN|3DUR|1ASPD	13467VULN|248DUR|4BPWR|5ASPD|9DUST|aRCR
16	23226 35522	1	   	282.14	DCR|5VULN|3DUR|1ASPD	13468VULN|247DUR|4BPWR|5ASPD|9DUST|aRCR
17	23224 63233	1	   	281.42	DCR|4VULN|3DUR|1DMG	1349VULN|245DUR|4BPWR|6DMG|7CGEN|8AART|aRCR
18	24621 51211	8	 * 	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|2BELT|3ASPD|478DMG|58DUR|6RCR|8BPWR|aRPLT
19	24621 51212	8	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|2BELT|3ASPD|478DMG|58DUR|6RCR|8BPWR|aLWND
20	24621 51213	8	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|2BELT|3ASPD|478DMG|58DUR|6RCR|8BPWR|aBEXP
21	24621 51231	9	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|2BELT|3ASPD|478DMG|58DUR|6RCR|8BPWR|aRPLT
22	24621 51231	10	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|2BELT|3ASPD|478DMG|58DUR|6RCR|8BPWR|aBEXP
23	24621 51232	9	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|2BELT|3ASPD|478DMG|58DUR|6RCR|8BPWR|aLWND
24	24621 51233	10	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|2BELT|3ASPD|478DMG|58DUR|6RCR|8BPWR|aFEWX
25	24621 51233	9	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|2BELT|3ASPD|478DMG|58DUR|6RCR|8BPWR|aBEXP
26	24621 51232	10	   	280.14	DCR|3VULN|3DMG|2DUR|1ASPD	189VULN|2BELT|3ASPD|478DMG|58DUR|6RCR|8BPWR|aMBVNT
27	23225 14613	1	   	279.97	DCR|4VULN|3DUR|1DMG	1345VULN|24aDUR|4BPWR|6ERES|7LIT|8DMG|9RCR
28	23225 34148	1	   	279.55	DCR|5VULN|3DUR	13457VULN|247DUR|47BPWR|6MBVNT|8RCR|9MLV|aLIT
29	23225 34158	1	   	279.55	DCR|5VULN|3DUR	13457VULN|247DUR|47BPWR|6MBVNT|8RCR|9ZMB|aLIT
30	23225 34168	1	   	279.55	DCR|5VULN|3DUR	13457VULN|247DUR|47BPWR|6MBVNT|8RCR|9BELT|aLIT
31	23225 34538	1	   	279.55	DCR|5VULN|3DUR	13457VULN|247DUR|47BPWR|6MBVNT|8BELT|9RCR|aLIT
32	23226 21114	1	 * 	279.50	DCR|4VULN|2DUR|2ASPD|1DMG|1SELL	1348VULN|24DUR|48BPWR|58ASPD|68ERES|7SELL|9DMG|aRCR
33	23225 34138	1	   	279.45	DCR|5VULN|3DUR	13457VULN|247DUR|47BPWR|6MBVNT|8RCR|9ERES|aLIT
34	23226 33264	1	   	279.38	DCR|4VULN|2DUR|1TLV|1CDMG|1ASPD	1346VULN|24DUR|4BPWR|5ASPD|7CDMG|8BEXP|9TLV|aRCR
35	23226 31364	1	   	279.28	DCR|4VULN|2DUR|1TLV|1CDMG|1ASPD	1346VULN|24DUR|4BPWR|5ASPD|7DUST|8CDMG|9TLV|aRCR
36	24221 56233	8	   	278.90	DCR|3VULN|3DMG|2DUR	18aVULN|2BELT|3CGEN|478DMG|58DUR|6RCR|8BPWR|9AART
37	23226 32463	1	   	278.68	DCR|5VULN|2DUR|1ASPD	13467VULN|24DUR|4BPWR|5ASPD|8AART|9RMIN|aRCR
38	23226 32443	1	   	278.58	DCR|5VULN|2DUR|1ASPD	13467VULN|24DUR|4BPWR|5ASPD|8AART|9TBNT|aRCR
39	23226 34613	1	   	277.85	DCR|4VULN|2DUR|1DMG|1ASPD	1346VULN|24DUR|4BPWR|5ASPD|7LIT|8CGEN|9RCR|aDMG
