0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12663 33231	4	 * 	284.38	DCR|3VULN|3DMG|2DUR|1TLV	149VULN|289DMG|39DUR|5TBNT|6DMSP|7RCR|9BPWR|aTLV
2	12666 32213	9	 * 	283.17	DCR|4VULN|2DMG|2TLV|1DUR	1458VULN|2aDMG|3DUR|67TLV|9RCR
3	11215 25226	8	 * 	281.93	DCR|4VULN|3DMG|3ASPD|1AART	148aVULN|2ZMB|3RPLT|5AART|68aASPD|78aDMG|8aBPWR|9RCR
4	12663 33141	4	 * 	280.27	DCR|4VULN|2TLV|2DUR|1DMG	149aVULN|2DMG|39DUR|5TBNT|6DMSP|7RCR|89TLV|9BPWR
5	12663 32216	10	   	280.17	DCR|4VULN|2TLV|2DUR|1DMG	148aVULN|2DMG|35DUR|67TLV|9RCR
6	12666 32211	10	   	280.17	DCR|4VULN|2TLV|2DUR|1DMG	1458VULN|2DMG|3aDUR|67TLV|9RCR
7	12663 32213	9	 * 	276.70	DCR|3VULN|2DMG|2TLV|2DUR	148VULN|2aDMG|35DUR|67TLV|9RCR
8	12663 13141	9	   	272.99	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	14aVULN|2DMG|35DUR|6CDMG|7ASPD|8TLV|9RCR
9	12663 23141	4	 * 	272.44	DCR|3VULN|3DUR|2TLV|1DMG	149VULN|2DMG|369DUR|5TBNT|7RCR|89TLV|9BPWR|aCGEN
10	12663 23143	4	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	149VULN|2DMG|369DUR|5TBNT|7RCR|89TLV|9BPWR|aRCVC
11	12663 32211	10	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	148VULN|2DMG|35aDUR|67TLV|9RCR
12	12663 32214	9	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	148VULN|2DMG|35aDUR|67TLV|9RCR
13	13314 42341	4	 * 	271.84	DCR|4VULN|2DUR|1TLV|2CDMG|1SELL	149aVULN|2SELL|3TLV|59CDMG|6RCR|7TBNT|89DUR|9BPWR
14	12663 23231	4	 * 	271.40	DCR|3VULN|3DMG|3DUR	149VULN|289DMG|369DUR|5TBNT|7RCR|9BPWR|aBEXP
15	12663 23232	4	   	271.40	DCR|3VULN|3DMG|3DUR	149VULN|289DMG|369DUR|5TBNT|7RCR|9BPWR|aLHND
16	12663 23235	4	   	271.40	DCR|3VULN|3DMG|3DUR	149VULN|289DMG|369DUR|5TBNT|7RCR|9BPWR|aLWND
17	12663 23236	4	   	271.40	DCR|3VULN|3DMG|3DUR	149VULN|289DMG|369DUR|5TBNT|7RCR|9BPWR|aCGEN
18	12663 23233	4	   	271.30	DCR|3VULN|3DMG|3DUR	149VULN|289DMG|369DUR|5TBNT|7RCR|9BPWR|aLEGI
19	12615 33143	6	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR|1NUKE	169VULN|29DMG|3DUR|4NUKE|5ASPD|7BBNT|89TLV|9BPWR|aRCR
20	13311 13141	7	 * 	270.32	DCR|5VULN|2DUR|1TLV|1SELL	1479aVULN|2SELL|3TLV|57DUR|67LWND|7BPWR|8RCR
21	13637 42842	4	   	269.62	DCR|4VULN|2TLV|2DUR|1AART|1SELL	169aVULN|2SELL|3MBVNT|49DUR|5AART|79TLV|8RCR|9BPWR
22	21312 63253	7	   	269.30	DCR|3VULN|3DUR|2DMG|1CDMG	17aERES|2CDMG|357DUR|47aVULN|6RCR|7aBPWR|8TBNT|9aDMG
23	12265 32431	8	 * 	267.86	DCR|2VULN|3DMG|2TLV|2DUR	18VULN|278DMG|3RPLT|4FEWX|5aDUR|68TLV|8BPWR|9RCR
24	12245 32361	9	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	18VULN|278DMG|3RPLT|4DUST|5aDUR|68TLV|8BPWR|9RCR
25	12166 32216	10	 * 	267.67	DCR|5VULN|2TLV|1DMG	1458aVULN|2DMG|3LHND|67TLV|9RCR
26	12366 32216	10	   	267.57	DCR|5VULN|2TLV|1DMG	1458aVULN|2DMG|3LEGI|67TLV|9RCR
27	11615 33143	6	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	169VULN|2ZMB|39DUR|4DMG|5ASPD|7BBNT|89TLV|9BPWR|aRCR
28	12166 32213	9	   	266.92	DCR|4VULN|2DMG|2TLV	1458VULN|2aDMG|3LHND|67TLV|9RCR
29	12366 32213	9	   	266.82	DCR|4VULN|2DMG|2TLV	1458VULN|2aDMG|3LEGI|67TLV|9RCR
30	12663 33235	4	   	266.48	DCR|3VULN|3DMG|2DUR	149VULN|289DMG|39DUR|5TBNT|6DMSP|7RCR|9BPWR|aASPD
31	21312 63436	9	   	266.16	DCR|3VULN|3DUR|1TLV|1CDMG	17ERES|2CDMG|357DUR|47aVULN|6RCR|7BPWR|8TLV|9LIT
32	12166 32211	10	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1458VULN|2DMG|3LHND|67TLV|9RCR|aDUR
33	12166 32214	9	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1458VULN|2DMG|3LHND|67TLV|9RCR|aDUR
34	12666 32211	9	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1458VULN|2DMG|3DUR|67TLV|9RCR|aCGEN
35	12666 32212	9	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1458VULN|2DMG|3DUR|67TLV|9RCR|aBELT
36	12666 32212	10	   	265.58	DCR|4VULN|2TLV|1DMG|1DUR	1458VULN|2DMG|3DUR|67TLV|9RCR|aDMSP
