0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61221 22366	10	 * 	281.40	DCR|4VULN|2DMG|3LIT|1TLV	14aLIT|236aVULN|5TLV|7DUST|8RCR|9aDMG|aBPWR
2	43336 53332	1	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1TLV|2RPLT|3589VULN|4CDMG|6DMG|7RCR|aDUR
3	12313 11254	2	 * 	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	16aDUR|2LHND|3aASPD|4LWND|5DMG|7RCR|89aVULN|aBPWR
4	61254 22131	3	   	269.91	DCR|4VULN|2DMG|2LIT|1AART	19LIT|2359VULN|4BELT|6AART|7RCR|89DMG|9BPWR|aRMIN
5	61254 22133	3	   	269.91	DCR|4VULN|2DMG|2LIT|1AART	19LIT|2359VULN|4BELT|6AART|7RCR|89DMG|9BPWR|aLHND
6	61143 35121	2	 * 	269.61	DCR|3VULN|2DUR|3LIT|1DMG|1CDMG	134LIT|249VULN|49BPWR|5CDMG|69CGEN|7RCR|89DUR|aDMG
7	11114 11513	4	 * 	269.09	DCR|3VULN|3DUR|3TLV|1DMG	129DUR|29BPWR|349TLV|589VULN|6RCR|7DMSP|aDMG
8	11114 11513	5	   	269.09	DCR|3VULN|3DUR|3TLV|1DMG	129DUR|29BPWR|349TLV|589VULN|6RCR|7DMSP|aDMG
9	43336 53232	1	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|2RPLT|359VULN|4CDMG|68DMG|7RCR|aDUR
10	61154 22131	2	   	268.52	DCR|3VULN|2DMG|3LIT|1DUR|1AART	139LIT|259VULN|4BELT|6AART|7RCR|89DMG|9BPWR|aDUR
11	64234 22131	2	   	268.52	DCR|3VULN|2DMG|3LIT|1DUR|1AART	129LIT|3BELT|459VULN|6AART|7RCR|89DMG|9BPWR|aDUR
12	16534 23173	3	 * 	267.05	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	149DUR|2RPLT|3MBVNT|59VULN|6TLV|7ASPD|89DMG|9BPWR|aRCR
13	12313 31254	2	 * 	266.73	DCR|3VULN|3ASPD|2DUR|1DMG	1aDUR|2LHND|36aASPD|4LWND|5DMG|7RCR|89aVULN|aBPWR
14	11522 42165	7	 * 	266.61	DCR|3VULN|3DUR|2DMG	12aDUR|2aBPWR|3RMIN|4LEGI|5MBVNT|6aDMG|79aVULN|8RCR
15	43336 53322	1	   	265.81	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2RPLT|358aVULN|4CDMG|6DMG|7RCR|9LIT
16	31223 33664	7	 * 	265.76	DCR|3VULN|3DMG|1DUR|1ASPD	19aMLV|2DUST|3RPLT|49aVULN|5DUR|6ASPD|7RCR|89aDMG|9aBPWR
17	22141 64613	5	 * 	265.25	DCR|4VULN|2DMG|2TLV	19ZMB|23TLV|4MBVNT|5789VULN|69DMG|9BPWR|aRCR
18	11162 16332	3	   	265.17	DCR|3VULN|3DUR|1DMG|1TLV	12aDUR|2BPWR|3TLV|4DMG|5ERES|6RCR|789VULN
19	61222 22366	10	   	265.15	DCR|4VULN|2DMG|3LIT	14aLIT|236aVULN|5CGEN|7DUST|8RCR|9aDMG|aBPWR
20	61221 22336	10	 * 	264.96	DCR|4VULN|2ASPD|3LIT|1TLV	14aLIT|236aVULN|5TLV|7DUST|8RCR|9aASPD|aBPWR
21	11223 26461	2	 * 	264.14	ACR|3VULN|3DUR|2DMG|2CDMG|1AART	12aDUR|2aBPWR|39CDMG|4RCR|58aVULN|6aDMG|7AART
22	11623 44132	10	 * 	263.98	DCR|3VULN|3DUR|2CDMG|2LIT	127DUR|27aBPWR|3RCVC|4aDUST|57CDMG|67aVULN|8RCR|9aLIT
23	11163 41631	2	 * 	263.96	DCR|2VULN|3DMG|3DUR	127DUR|258BPWR|358CGEN|458DMG|68VULN|9RCR|aLIT
24	11363 41631	3	   	263.96	DCR|2VULN|3DMG|3DUR	127DUR|258BPWR|358CGEN|458DMG|68VULN|9RCR|aLIT
25	13153 41136	1	 * 	263.49	DCR|5VULN|1DMG|1DUR	1DUR|256BEXP|3456aVULN|56BPWR|7MBVNT|8DMG|9RCR
26	61213 56212	9	 * 	263.09	DCR|4VULN|2DUR|2LIT|1AART	17LIT|239aVULN|47LWND|5AART|67DUR|7BPWR|8RCR
27	11151 21255	5	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	12DUR|2BPWR|3TLV|4ASPD|58aVULN|6BEXP|7RCR|9DMG
28	65413 31321	4	   	262.82	DCR|3VULN|3DMG|2LIT|1AART	19LIT|2CGEN|3DLOT|479VULN|59aDMG|6RCR|8AART|9BPWR
29	65413 31321	3	   	262.82	DCR|3VULN|3DMG|2LIT|1AART	19LIT|2CGEN|3DLOT|479VULN|59aDMG|6RCR|8AART|9BPWR
30	11131 63623	1	   	261.76	DCR|2VULN|3DUR|2DMG|1CDMG	189DUR|2CDMG|38DMG|4LIT|5LWND|6TBNT|78VULN|8BPWR|aRCR
31	61213 34412	9	   	261.30	DCR|5VULN|1DUR|1AART	1LIT|2389aVULN|4LWND|5AART|6RCR|7DUR
32	11641 22282	7	 * 	261.26	DCR|4VULN|3DUR|1AART	129DUR|29BPWR|3RCVC|4MBVNT|579aVULN|6RCR|8AART
33	61221 23363	7	 * 	261.12	DCR|4VULN|3LIT|2TLV|1CDMG	147LIT|2367VULN|57TLV|7BPWR|8TBNT|9RCR|aCDMG
34	43336 53222	1	   	260.76	DCR|3VULN|2DMG|1TLV|1CDMG	1TLV|2RPLT|35aVULN|4CDMG|68DMG|7RCR|9LIT
35	11221 61254	5	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	12aDUR|2aBPWR|3DUST|4aBEXP|5DMG|6ASPD|7RCR|89aVULN
36	11335 11254	2	   	260.13	DCR|3VULN|3DUR|2CDMG|1ASPD	12aDUR|2aBPWR|3RPLT|4aCDMG|5LWND|6RCR|7ASPD|89aVULN
37	11214 11254	2	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	12aDUR|2aBPWR|3aCDMG|4DUST|5RPLT|6RCR|7ASPD|89aVULN
38	11252 11254	2	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	12aDUR|2aBPWR|3aCDMG|4RPLT|5DUST|6RCR|7ASPD|89aVULN
39	11332 11254	2	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	12aDUR|2aBPWR|3RPLT|4aCDMG|5DUST|6RCR|7ASPD|89aVULN
40	11522 11254	1	   	260.03	DCR|3VULN|3DUR|2CDMG|1ASPD	14aDUR|2aCDMG|3RPLT|5DUST|6RCR|7ASPD|89aVULN|aBPWR
41	61254 22132	3	   	259.90	DCR|4VULN|2DMG|2LIT|1AART|1SELL	19LIT|2359VULN|4BELT|6AART|7RCR|89DMG|9BPWR|aSELL
42	11122 48224	6	 * 	259.66	DCR|2VULN|3DUR|2DMG|2TLV	129DUR|2aBPWR|3aTLV|4DUST|5MBVNT|6aDMG|7RCR|8aVULN
43	16424 21222	2	 * 	259.62	DCR|2VULN|3DUR|2DMG|2CDMG|1SELL	145DUR|2RPLT|3SELL|6aVULN|7RCR|8aDMG|9aCDMG|aBPWR
44	43343 33161	1	   	258.96	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2RPLT|359VULN|4LWND|6MLV|7RCR|89DMG|9BPWR|aDUR
45	41223 12225	7	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2DUST|3RPLT|49aVULN|5DUR|6BEXP|79DMG|8RCR|9BPWR
46	61221 25333	9	   	258.71	DCR|4VULN|1DMG|1TLV|2LIT	14LIT|2369VULN|5TLV|7BEXP|8RCR|aDMG
47	13153 45131	1	 * 	258.64	DCR|4VULN|2DUR|1DMG	1aDUR|256BEXP|3456VULN|56BPWR|7LWND|8DMG|9RCR
48	61221 22362	10	   	258.61	DCR|4VULN|1DMG|1TLV|2LIT	14LIT|236aVULN|5TLV|7DUST|8RCR|9DMG
