0	Index      	Bounty	 *	Score 	Summary	Detail	
1	38414 34122	3	 * 	302.29	DCR|5VULN|2DMG|2ASPD|1DUR	1MBVNT|26789VULN|3DUR|49DMG|59ASPD|9BPWR|aRCR
2	37283 34122	5	 * 	295.56	DCR|5VULN|2DMG|2DUR	1MBVNT|29DUR|3ERES|49DMG|56789VULN|9BPWR|aRCR
3	38283 64122	6	   	295.56	DCR|5VULN|2DMG|2DUR	1MBVNT|25789VULN|3ERES|49DMG|69DUR|9BPWR|aRCR
4	38283 74122	5	   	295.56	DCR|5VULN|2DMG|2DUR	1MBVNT|25689VULN|3ERES|49DMG|79DUR|9BPWR|aRCR
5	38283 82122	7	   	295.56	DCR|5VULN|2DMG|2DUR	1MBVNT|25689VULN|3ERES|49DMG|79DUR|9BPWR|aRCR
6	38283 84122	6	   	295.56	DCR|5VULN|2DMG|2DUR	1MBVNT|25689VULN|3ERES|49DMG|79DUR|9BPWR|aRCR
7	38774 13321	3	 * 	289.45	DCR|4VULN|3DMG|2LIT|1CDMG	1MBVNT|256aVULN|3CDMG|48aDMG|7aLIT|9RCR|aBPWR
8	37283 84122	5	 * 	289.25	DCR|4VULN|3DUR|2DMG	1MBVNT|269DUR|3ERES|49DMG|5789VULN|9BPWR|aRCR
9	38442 48721	2	   	289.21	DCR|4VULN|3DMG|2CDMG	1MBVNT|235aVULN|4LIT|67aDMG|8aCDMG|9RCR|aBPWR
10	37414 34222	2	 * 	287.92	DCR|3VULN|3DUR|2DMG|2ASPD	1MBVNT|289DUR|367VULN|49DMG|59ASPD|9BPWR|aRCR
11	37414 84122	2	   	287.92	DCR|3VULN|3DUR|2DMG|2ASPD	1MBVNT|269DUR|378VULN|49DMG|59ASPD|9BPWR|aRCR
12	38514 34122	3	   	286.04	DCR|5VULN|2DMG|2ASPD	1MBVNT|26789VULN|3LWND|49DMG|59ASPD|9BPWR|aRCR
13	38114 34122	1	   	285.94	DCR|5VULN|2DMG|2ASPD	1MBVNT|2LEGI|36789VULN|49DMG|59ASPD|9BPWR|aRCR
14	38417 34122	5	   	284.60	DCR|5VULN|2ASPD|2TLV|1DUR	1MBVNT|26789VULN|3DUR|49ASPD|59TLV|9BPWR|aRCR
15	38213 82448	2	 * 	282.26	DCR|3VULN|3DMG|3DUR	1MBVNT|259VULN|3DUST|489DMG|679DUR|9BPWR|aRCR
16	37245 32448	2	   	282.26	DCR|3VULN|3DMG|3DUR	1MBVNT|279DUR|3DUST|469VULN|589DMG|9BPWR|aRCR
17	31244 13821	1	   	282.06	DCR|5VULN|1DMG|2CDMG|2LIT	1MBVNT|2aCDMG|3DMG|4568aVULN|7aLIT|9RCR|aBPWR
18	31383 34122	5	   	280.88	DCR|5VULN|2DMG|1DUR	1MBVNT|29ERES|3DUR|49DMG|56789VULN|9BPWR|aRCR
19	38412 34122	3	   	280.88	DCR|5VULN|2DMG|1DUR	1MBVNT|26789VULN|3DUR|49DMG|59ERES|9BPWR|aRCR
20	38413 24122	3	   	280.88	DCR|5VULN|2DMG|1DUR	1MBVNT|25789VULN|3DUR|49DMG|69ERES|9BPWR|aRCR
21	31243 13821	1	   	280.11	DCR|4VULN|2DMG|2CDMG|2LIT	1MBVNT|2aCDMG|35DMG|468aVULN|7aLIT|9RCR|aBPWR
22	31244 13321	1	   	280.11	DCR|4VULN|2DMG|2CDMG|2LIT	1MBVNT|2aCDMG|38DMG|456aVULN|7aLIT|9RCR|aBPWR
23	31474 13821	1	   	280.11	DCR|4VULN|2DMG|2CDMG|2LIT	1MBVNT|2aCDMG|3568VULN|4aDMG|7aLIT|9RCR|aBPWR
24	38427 13147	7	   	280.07	DCR|4VULN|3DUR|2CDMG	1MBVNT|2478VULN|347DUR|47BPWR|5RCVC|67CDMG|9LIT|aRCR
25	38427 13812	8	   	280.07	DCR|4VULN|3DUR|2CDMG	1MBVNT|247aVULN|347DUR|47BPWR|5RCVC|67CDMG|8RCR|9LIT
26	38413 34122	5	 * 	279.23	DCR|5VULN|2DUR|2ASPD	1MBVNT|26789VULN|39DUR|49ASPD|5RMIN|9BPWR|aRCR
27	38421 24122	4	   	279.13	DCR|5VULN|2DUR|2ASPD	1MBVNT|24789VULN|34DUR|49BPWR|59ASPD|69ERES|aRCR
28	38421 34132	8	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|247VULN|34DUR|47BPWR|57LWND|67DMG|8LIT|9TLV|aRCR
29	38421 34872	8	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|247VULN|34DUR|47BPWR|57LWND|67DMG|8TLV|9LIT|aRCR
30	38425 52122	7	   	278.08	DCR|5VULN|2DUR|2TLV	1MBVNT|24789VULN|34DUR|49BPWR|59ZMB|69TLV|aRCR
31	38425 54122	6	   	278.08	DCR|5VULN|2DUR|2TLV	1MBVNT|24789VULN|34DUR|49BPWR|59ZMB|69TLV|aRCR
32	38437 64224	8	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|28aVULN|3aDUR|4BELT|5LIT|6TLV|7aDMG|9RCR|aBPWR
33	38468 34122	2	   	277.88	DCR|5VULN|2DUR|2TLV|1NUKE	1MBVNT|23489VULN|5NUKE|69TLV|79DUR|9BPWR|aRCR
34	38427 13813	8	   	277.49	DCR|3VULN|3DUR|2CDMG|1DMG	1MBVNT|247VULN|347DUR|47BPWR|5RCVC|67CDMG|8RCR|9LIT|aDMG
35	31244 47327	1	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR	1MBVNT|27CDMG|378DMG|457VULN|6BELT|7BPWR|9DUR|aRCR
36	31474 47327	1	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR	1MBVNT|27CDMG|357VULN|478DMG|6BELT|7BPWR|9DUR|aRCR
37	32812 13552	1	   	273.82	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	1MBVNT|28TLV|35LIT|458VULN|58BPWR|68DMG|7DMSP|9DUR|aRCR
38	38421 32833	10	   	273.74	DCR|3VULN|3DUR|1DMG|2LIT	1MBVNT|249VULN|349DUR|49BPWR|5LWND|6DMG|79LIT|8AART|aRCR
39	38424 35833	10	   	273.74	DCR|3VULN|3DUR|1DMG|2LIT	1MBVNT|249VULN|349DUR|49BPWR|5LHND|6DMG|79LIT|8AART|aRCR
40	31212 52471	1	   	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1MBVNT|2CDMG|3DMG|4TLV|589aVULN|6DUR|7RCR
41	36843 14335	3	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|2RPLT|359VULN|45DUR|59BPWR|69CDMG|7RMIN|89DMG|aRCR
42	38843 14335	3	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1MBVNT|259VULN|3RPLT|45DUR|59BPWR|69CDMG|7RMIN|89DMG|aRCR
43	38427 21181	10	 * 	273.21	DCR|4VULN|3DUR|2ASPD	1MBVNT|2479VULN|347DUR|479BPWR|5RCVC|679BEXP|89ASPD|aRCR
44	31474 13321	1	   	273.12	DCR|3VULN|3DMG|2CDMG|2LIT	1MBVNT|2aCDMG|356VULN|48aDMG|7aLIT|9RCR|aBPWR
45	38444 48721	2	   	273.12	DCR|3VULN|3DMG|2CDMG|2LIT	1MBVNT|23aVULN|45LIT|67aDMG|8aCDMG|9RCR|aBPWR
46	31473 13821	1	   	273.12	DCR|3VULN|3DMG|2CDMG|2LIT	1MBVNT|2aCDMG|368VULN|45aDMG|7aLIT|9RCR|aBPWR
47	38413 34222	5	   	272.91	DCR|4VULN|3DUR|2ASPD	1MBVNT|2679VULN|389DUR|49ASPD|5RMIN|9BPWR|aRCR
48	38413 84122	5	   	272.91	DCR|4VULN|3DUR|2ASPD	1MBVNT|2789VULN|369DUR|49ASPD|5RMIN|9BPWR|aRCR
49	64213 54122	3	   	272.91	DCR|4VULN|3DUR|2ASPD	19ASPD|2CGEN|349DUR|5789VULN|6MBVNT|9BPWR|aRCR
50	63213 54122	3	   	272.81	DCR|4VULN|3DUR|2ASPD	19ASPD|2ERES|349DUR|5789VULN|6MBVNT|9BPWR|aRCR
51	63263 54122	4	   	272.81	DCR|4VULN|3DUR|2ASPD	19ASPD|2ERES|349DUR|5789VULN|6MBVNT|9BPWR|aRCR
52	63313 54122	2	   	272.81	DCR|4VULN|3DUR|2ASPD	19ASPD|2ERES|349DUR|5789VULN|6MBVNT|9BPWR|aRCR
