0	Index      	 *	Score 	Summary	Detail	
1	62151 43123	 * 	295.94	ACR|DCR|2VULN|1TLV|1CDMG	1RPLT|2FLTHEA|3CDMG|4aVULN|58RCR|6TLV|7LHND|9LWND
2	23362 52432	 * 	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1DUR|29LHND|3MDPS|4TLV|5VULN|6DMG|78RCR|aCDMG
3	31322 36451	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9CDMG|aBELT
4	31322 36452	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9CDMG|aMLV
5	31322 36453	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9CDMG|aRMIN
6	31322 42451	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9CDMG|aBELT
7	31322 42452	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9CDMG|aMLV
8	31322 42453	   	288.77	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9CDMG|aRMIN
9	21622 42423	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1DUR|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9ERES|aASPD
10	31322 36423	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9ERES|aASPD
11	31322 42423	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BEXP|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9ERES|aASPD
12	41322 42423	   	288.67	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1FEWX|2DMG|3DUR|4MDPS|5VULN|6TLV|78RCR|9ERES|aASPD
13	21622 42433	   	282.05	DCR|DCR|1TLV|1VULN|1DMG	1DUR|2DMG|3FEWX|4MDPS|5VULN|6TLV|78RCR|9LHND|aRAT
14	31322 36433	   	282.05	DCR|DCR|1TLV|1VULN|1DMG	1BEXP|2DMG|3DUR|4MDPS|5VULN|68RCR|7TLV|9LHND|aRAT
