0	Index      	 *	Score 	Summary	Detail	
1	11461 22528	 * 	355.87	ACR|ACR|3VULN|2TLV|1DMG	17aVULN|2MBVNT|38TLV|45RCR|6DUR|9DMG
2	11461 22285	   	349.55	ACR|ACR|3VULN|2TLV|2BLAICY	17aVULN|2MBVNT|3aTLV|45RCR|6DUR|8CGEN|9aBLAICY|aBPWR
3	11461 22548	   	349.45	ACR|ACR|3VULN|2TLV|1ASPD	17aVULN|2MBVNT|38TLV|45RCR|6DUR|9ASPD
4	11461 64171	 * 	345.70	ACR|ACR|2TLV|2VULN|2ASPD	1aVULN|2MBVNT|3aTLV|45RCR|6ZMB|7LIT|8AART|9aASPD|aBPWR
5	11461 22522	   	344.82	ACR|ACR|2TLV|2VULN|1DMG|1CDMG	17VULN|2MBVNT|38TLV|45RCR|6DUR|9DMG|aCDMG
6	11461 22631	   	342.74	ACR|ACR|3VULN|2TLV	17aVULN|2MBVNT|39TLV|45RCR|6DUR|8RAT
7	11461 22663	   	342.74	ACR|ACR|3VULN|2TLV	179VULN|2MBVNT|3aTLV|45RCR|6DUR|8RAT
8	11461 22525	   	342.18	ACR|ACR|2TLV|2VULN|1DMG	17VULN|2MBVNT|38TLV|45RCR|6DUR|9DMG|aAART
9	11461 21528	   	340.22	ACR|ACR|2TLV|2VULN|1DMG|2DUR	1aVULN|2MBVNT|38TLV|45RCR|67DUR|9DMG
10	11461 35522	   	339.79	ACR|ACR|3VULN|2TLV|1CDMG	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9LHND|aCDMG
11	11461 35532	   	339.79	ACR|ACR|3VULN|2TLV|1CDMG	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9FEWX|aCDMG
12	11461 36331	 * 	338.96	ACR|ACR|2TLV|2VULN|2DMG|1SELL	1aVULN|2MBVNT|3aTLV|45RCR|6NUKE|7aDMG|8SELL|9BELT|aBPWR
13	11461 14174	   	338.76	ACR|ACR|2TLV|2VULN|2ASPD	1aVULN|2MBVNT|3aTLV|45RCR|6CGEN|7LIT|8AART|9aASPD|aBPWR
14	11461 74174	   	338.76	ACR|ACR|2TLV|2VULN|2ASPD	1aVULN|2MBVNT|3aTLV|45RCR|6MLV|7LIT|8AART|9aASPD|aBPWR
15	11461 22542	   	338.41	ACR|ACR|2TLV|2VULN|1ASPD|1CDMG	17VULN|2MBVNT|38TLV|45RCR|6DUR|9ASPD|aCDMG
16	11461 22523	   	338.11	ACR|ACR|2TLV|2VULN|1DMG	17VULN|2MBVNT|38TLV|45RCR|6DUR|9DMG|aZMB
17	11461 22636	   	338.11	ACR|ACR|2TLV|2VULN|1AEBURN	17VULN|2MBVNT|39TLV|45RCR|6DUR|8RAT|aAEBURN
18	11461 28631	   	338.11	ACR|ACR|2TLV|2VULN|1AEPOI	1aVULN|2MBVNT|39TLV|45RCR|6DUR|7AEPOI|8RAT
19	11461 22661	 * 	337.59	ACR|ACR|4VULN|1TLV	179aVULN|2MBVNT|3TLV|45RCR|6DUR|8RAT
20	11461 22545	   	335.76	ACR|ACR|2TLV|2VULN|1ASPD	17VULN|2MBVNT|38TLV|45RCR|6DUR|9ASPD|aAART
21	11461 28522	   	335.03	ACR|ACR|2TLV|1VULN|1DMG|1AEPOI|1CDMG	1VULN|2MBVNT|38TLV|45RCR|6DUR|7AEPOI|9DMG|aCDMG
22	11461 22712	   	334.25	ACR|ACR|3VULN|1TLV|1CDMG	17aVULN|2MBVNT|3TLV|45RCR|6DUR|8AART|9CDMG
23	11461 62364	   	334.23	ACR|ACR|2TLV|2VULN|2DUR	1aVULN|2MBVNT|3aTLV|45RCR|6ZMB|7RAT|8aDUR|9BELT|aBPWR
24	11461 21285	   	333.90	ACR|ACR|2TLV|2VULN|2DUR|2BLAICY	1aVULN|2MBVNT|3aTLV|45RCR|67DUR|8CGEN|9aBLAICY|aBPWR
25	11461 21548	   	333.80	ACR|ACR|2TLV|2VULN|2DUR|1ASPD	1aVULN|2MBVNT|38TLV|45RCR|67DUR|9ASPD
26	11461 15428	   	333.65	ACR|ACR|3VULN|1TLV|1DMG|1ASPD	17aVULN|2MBVNT|3TLV|45RCR|6CGEN|8ASPD|9DMG
27	11461 35523	   	333.08	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9LHND|aZMB
28	11461 35533	   	333.08	ACR|ACR|3VULN|2TLV	178VULN|2MBVNT|38TLV|45RCR|6NUKE|8BPWR|9FEWX|aZMB
29	11464 32152	 * 	331.86	ACR|3VULN|2TLV|2DMG|2ASPD|1CDMG	19aVULN|2MBVNT|39TLV|4RCR|56DMG|7CDMG|89ASPD|9BPWR
30	11461 22543	   	331.70	ACR|ACR|2TLV|2VULN|1ASPD	17VULN|2MBVNT|38TLV|45RCR|6DUR|9ASPD|aZMB
31	11461 22632	   	331.70	ACR|ACR|2TLV|2VULN|1ASPD	17VULN|2MBVNT|39TLV|45RCR|6DUR|8RAT|aASPD
32	11461 22633	 * 	331.70	ACR|ACR|3TLV|2VULN	17VULN|2MBVNT|39aTLV|45RCR|6DUR|8RAT
33	11461 16172	   	331.37	ACR|ACR|2TLV|2VULN|1DMG	19VULN|2MBVNT|39TLV|45RCR|6CGEN|7DMG|89FEWX|9BPWR|aDUR
34	11461 16372	   	331.37	ACR|ACR|2TLV|2VULN|1DMG	19VULN|2MBVNT|39TLV|45RCR|6CGEN|7DMG|89BEXP|9BPWR|aDUR
35	11461 22223	   	331.17	ACR|ACR|2TLV|2VULN|1DMG	17VULN|2MBVNT|3aTLV|45RCR|6DUR|8CGEN|9DMG
36	11461 22521	   	331.17	ACR|ACR|2TLV|2VULN|1DMG	17VULN|2MBVNT|38TLV|45RCR|6DUR|9DMG|aAME
37	11461 22524	   	331.17	ACR|ACR|2TLV|2VULN|1DMG	17VULN|2MBVNT|38TLV|45RCR|6DUR|9DMG|aRMIN
38	11461 22526	   	331.17	ACR|ACR|2TLV|2VULN|1DMG	17VULN|2MBVNT|38TLV|45RCR|6DUR|9DMG|aAAC
39	11461 22527	   	331.17	ACR|ACR|2TLV|2VULN|1DMG	17VULN|2MBVNT|38TLV|45RCR|6DUR|9DMG|aLWND
40	11461 22562	   	331.07	ACR|ACR|2TLV|2VULN|1DMG	17VULN|2MBVNT|38TLV|45RCR|6DUR|9AIRARM|aDMG
41	11461 22662	   	330.19	ACR|ACR|3VULN|1TLV|1ASPD	179VULN|2MBVNT|3TLV|45RCR|6DUR|8RAT|aASPD
42	11461 22453	   	329.66	ACR|ACR|3VULN|1TLV|1DMG	17aVULN|2MBVNT|3TLV|45RCR|6DUR|8LIT|9DMG
43	11461 22742	   	329.65	ACR|ACR|3VULN|1TLV|2DUR	179VULN|2MBVNT|3TLV|45RCR|6aDUR|8AART
44	11461 28712	   	329.62	ACR|ACR|2VULN|1TLV|1AEPOI|1CDMG	1aVULN|2MBVNT|3TLV|45RCR|6DUR|7AEPOI|8AART|9CDMG
45	11461 22645	 * 	329.50	ACR|ACR|2VULN|1TLV|2DMG	17VULN|2MBVNT|3TLV|45RCR|6DUR|8RAT|9aDMG
46	11461 16174	   	328.65	ACR|ACR|2TLV|2VULN|1DMG	19VULN|2MBVNT|39TLV|45RCR|6CGEN|7DMG|89FEWX|9BPWR|aZMB
47	11461 61174	   	328.65	ACR|ACR|2TLV|2VULN|1DMG	19VULN|2MBVNT|39TLV|45RCR|6ZMB|7AME|89FEWX|9BPWR|aDMG
48	11461 28542	   	328.62	ACR|ACR|2TLV|1VULN|1AEPOI|1ASPD|1CDMG	1VULN|2MBVNT|38TLV|45RCR|6DUR|7AEPOI|9ASPD|aCDMG
49	11461 15643	   	328.45	ACR|ACR|2TLV|2VULN|1DMG	17VULN|2MBVNT|3aTLV|45RCR|6CGEN|8DMG|9RAT
50	11461 48631	   	328.45	ACR|ACR|2TLV|2VULN|1AEPOI	1aVULN|2MBVNT|39TLV|45RCR|6BEXP|7AEPOI|8RAT
51	11461 36541	   	328.35	ACR|ACR|2TLV|2VULN|1DMG	1aVULN|2MBVNT|38TLV|45RCR|6NUKE|7DMG|9RAT
52	11461 36631	   	328.35	ACR|ACR|2TLV|2VULN|1DMG	1aVULN|2MBVNT|39TLV|45RCR|6NUKE|7DMG|8RAT
53	11461 28523	   	328.32	ACR|ACR|2TLV|1VULN|1DMG|1AEPOI	1VULN|2MBVNT|38TLV|45RCR|6DUR|7AEPOI|9DMG|aZMB
54	11461 22771	   	327.54	ACR|ACR|3VULN|1TLV	17aVULN|2MBVNT|3TLV|45RCR|6DUR|8AART|9ZMB
55	11461 21631	   	327.09	ACR|ACR|2TLV|2VULN|2DUR	1aVULN|2MBVNT|39TLV|45RCR|67DUR|8RAT
56	11461 21663	   	327.09	ACR|ACR|2TLV|2VULN|2DUR	19VULN|2MBVNT|3aTLV|45RCR|67DUR|8RAT
