0	Index      	 *	Score 	Summary	Detail	
1	13522 22134	 * 	316.21	ACR|DCR|1TLV|1VULN|3CDMG|3RAT|1ASPD|1AART	146CDMG|246RAT|37RCR|46BPWR|5AART|8VULN|9ASPD|aTLV
2	31143 22663	 * 	308.49	ACR|DCR|2TLV|2VULN	1BEXP|2RMIN|3RAT|49RCR|57TLV|6RPLT|8aVULN
3	31143 23663	   	308.49	ACR|DCR|2TLV|2VULN	1BEXP|2RMIN|3RAT|49RCR|58TLV|6RPLT|7aVULN
4	31143 23363	 * 	306.98	ACR|DCR|3VULN|1TLV	1BEXP|2RMIN|3RAT|49RCR|5TLV|6RPLT|78aVULN
5	21143 23366	   	306.88	ACR|DCR|3VULN|1TLV	18aVULN|2RMIN|3RAT|49RCR|5TLV|6RPLT|7DUST
6	31143 23365	   	291.95	ACR|DCR|2VULN|1TLV	1BEXP|2RMIN|3RAT|49RCR|5TLV|6RPLT|78VULN|aDUR
7	21143 23365	   	291.85	ACR|DCR|2VULN|1TLV	18VULN|2RMIN|3RAT|49RCR|5TLV|6RPLT|7DUST|aDUR
8	31143 23364	   	289.22	ACR|DCR|2VULN|1TLV	1BEXP|2RMIN|3RAT|49RCR|5TLV|6RPLT|78VULN|aZMB
9	21143 23364	   	289.12	ACR|DCR|2VULN|1TLV	18VULN|2RMIN|3RAT|49RCR|5TLV|6RPLT|7DUST|aZMB
10	21143 66111	 * 	287.50	ACR|3VULN|2TLV|3CDMG	169VULN|2RMIN|3RAT|4RCR|59TLV|789CDMG|9BPWR|aRPLT
11	21143 66113	   	287.50	ACR|3VULN|2TLV|3CDMG	169VULN|2RMIN|3RAT|4RCR|59TLV|789CDMG|9BPWR|aLHND
12	21143 66112	   	287.40	ACR|3VULN|2TLV|3CDMG	169VULN|2RMIN|3RAT|4RCR|59TLV|789CDMG|9BPWR|aMBVNT
