0	Index      	 *	Score 	Summary	Detail	
1	24132 11636	 * 	308.46	DCR|DCR|2TLV|1VULN|2RAT|1ASPD	1DUR|24TLV|34RAT|4BPWR|5ERES|6VULN|79RCR|8NUKE|aASPD
2	24132 11634	   	303.85	DCR|DCR|2TLV|1VULN|2DUR|2RAT	1aDUR|24TLV|34RAT|4BPWR|5ERES|6VULN|79RCR|8NUKE
3	42313 24136	   	302.66	DCR|DCR|2TLV|1VULN|1AEPOI|1AART	1MULARM|27RPLT|3aTLV|4VULN|5AART|69RCR|8AEPOI
4	24132 11631	   	294.81	DCR|DCR|2TLV|1VULN|2RAT	1DUR|24TLV|34RAT|4BPWR|5ERES|6VULN|79RCR|8NUKE|aLWND
5	24132 11632	   	294.81	DCR|DCR|2TLV|1VULN|2RAT	1DUR|24TLV|34RAT|4BPWR|5ERES|6VULN|79RCR|8NUKE|aFEWX
6	24132 11633	   	294.81	DCR|DCR|2TLV|1VULN|2RAT	1DUR|24TLV|34RAT|4BPWR|5ERES|6VULN|79RCR|8NUKE|aMLV
7	24132 11635	   	294.81	DCR|DCR|2TLV|1VULN|2RAT	1DUR|24TLV|34RAT|4BPWR|5ERES|6VULN|79RCR|8NUKE|aLHND
8	24132 21636	   	294.81	DCR|DCR|2TLV|1VULN|2RAT	1DUR|24TLV|34RAT|4BPWR|5ERES|6LHND|79RCR|8NUKE|aVULN
9	22351 51334	 * 	291.77	ACR|DCR|1TLV|1DMG|1AEBURN|1ASPD|1CDMG	1DUR|2BEXP|3AEBURN|4aRCR|5RAT|6DMG|7CDMG|8TLV|9ASPD
10	24311 24334	 * 	284.04	DCR|2TLV|2VULN|1AEBURN|1ASPD|1AART	1DUR|27TLV|3AEBURN|4RPLT|5ASPD|6AART|8RCR|9aVULN
11	12351 51334	   	282.11	ACR|DCR|1TLV|1DMG|1AEBURN|1ASPD|1CDMG	1LWND|2BEXP|3AEBURN|4aRCR|5RAT|6DMG|7CDMG|8TLV|9ASPD
