0	Index      	 *	Score 	Summary	Detail	
1	22323 53225	 * 	210.46	DCR|3VULN|3DMG|3CDMG|1ZMB|1DUR	19aCDMG|2RPLT|3LHND|49aVULN|5DUR|6ZMB|79aDMG|8RCR|9aBPWR
2	22326 53225	   	203.52	DCR|3VULN|3DMG|3CDMG|1ZMB	19aCDMG|2RPLT|3LHND|49aVULN|5FEWX|6ZMB|79aDMG|8RCR|9aBPWR
3	41112 83226	 * 	200.41	DCR|3VULN|3DMG|3DUR|1ZMB|1ASPD	19aVULN|2ZMB|39aDUR|4LHND|5MBVNT|6ASPD|79aDMG|8RCR|9aBPWR
4	41142 83222	   	200.41	DCR|3VULN|3DMG|3DUR|1ZMB|1ASPD	19aVULN|2ZMB|39aDUR|4FEWX|5MBVNT|6ASPD|79aDMG|8RCR|9aBPWR
5	41122 83222	   	200.31	DCR|3VULN|3DMG|3DUR|1ZMB|1ASPD	19aVULN|2ZMB|39aDUR|4DUST|5MBVNT|6ASPD|79aDMG|8RCR|9aBPWR
6	45332 63222	   	200.31	DCR|3VULN|3DMG|3DUR|1ZMB|1ASPD	19aVULN|2DUST|39aDUR|4ASPD|5MBVNT|6ZMB|79aDMG|8RCR|9aBPWR
7	43226 31522	 * 	199.07	DCR|4VULN|3DMG|3DUR	189aVULN|2LWND|39aDUR|4BEXP|5FEWX|69aDMG|7RCR|9aBPWR
8	43222 31522	   	198.97	DCR|4VULN|3DMG|3DUR	189aVULN|2LWND|39aDUR|4BEXP|5DUST|69aDMG|7RCR|9aBPWR
9	45323 31522	   	198.97	DCR|4VULN|3DMG|3DUR	189aVULN|2DUST|39aDUR|4BEXP|5LWND|69aDMG|7RCR|9aBPWR
10	53422 31522	   	198.97	DCR|4VULN|3DMG|3DUR	19aDUR|2LWND|389aVULN|4BEXP|5DUST|69aDMG|7RCR|9aBPWR
11	51121 25413	 * 	196.48	ACR|4VULN|3ZMB|1AART|3DUR	137DUR|267ZMB|467aVULN|5RCR|67BPWR|8AART|9CGEN
12	21543 53222	 * 	196.12	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	19CDMG|2LHND|39VULN|4RPLT|5DUR|6ZMB|79DMG|8RCR|9BPWR|aAART
13	22323 53222	   	196.12	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR	19CDMG|2RPLT|3LHND|49VULN|5DUR|6ZMB|79DMG|8RCR|9BPWR|aAART
14	51121 25431	   	196.02	ACR|3VULN|3ZMB|1AART|3DUR|1CDMG	137DUR|267ZMB|467VULN|5RCR|67BPWR|8AART|9CDMG|aCGEN
15	51121 25432	   	196.02	ACR|3VULN|3ZMB|1AART|3DUR|1CDMG	137DUR|267ZMB|467VULN|5RCR|67BPWR|8AART|9CDMG|aLHND
16	51121 25433	   	196.02	ACR|3VULN|3ZMB|1AART|3DUR|1CDMG	137DUR|267ZMB|467VULN|5RCR|67BPWR|8AART|9CDMG|aBELT
17	51121 25112	 * 	192.14	ACR|4VULN|3ZMB|2CDMG|3DUR	137DUR|267ZMB|467aVULN|5RCR|67aBPWR|8aCDMG|9RMIN
18	43343 31522	   	189.86	DCR|4VULN|3DMG|1DUR	189aVULN|29aLWND|3LEGI|4DUR|5BEXP|69aDMG|7RCR|9aBPWR
19	43342 31522	   	189.76	DCR|4VULN|3DMG|1DUR	189aVULN|29aLWND|3LEGI|4DUR|5DUST|69aDMG|7RCR|9aBPWR
20	22326 53222	   	189.18	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB	19CDMG|2RPLT|3LHND|49VULN|5FEWX|6ZMB|79DMG|8RCR|9BPWR|aAART
21	21543 53223	   	188.57	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	19CDMG|2LHND|39aVULN|4RPLT|5DUR|6ZMB|79DMG|8RCR|9BPWR
22	22323 53223	   	188.57	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	19CDMG|2RPLT|3LHND|49aVULN|5DUR|6ZMB|79DMG|8RCR|9BPWR
23	41112 83222	   	188.29	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1ASPD	19VULN|2ZMB|39DUR|4LHND|5MBVNT|6ASPD|79DMG|8RCR|9BPWR|aAART
24	23733 16438	 * 	186.42	DCR|2VULN|2DMG|3CDMG|1AART	169CDMG|2MBVNT|3LSRREG|49DMG|5RCVC|7RCR|89VULN|9BPWR|aAART
25	11313 53525	 * 	186.23	DCR|3VULN|3ZMB|3ASPD|1DMG	1DUST|29aZMB|3LWND|4LHND|59aASPD|6RCR|7DMG|89aVULN|9aBPWR
26	11343 53522	   	186.23	DCR|3VULN|3ZMB|3ASPD|1DMG	1DUST|29aZMB|3LWND|4FEWX|59aASPD|6RCR|7DMG|89aVULN|9aBPWR
27	51121 25135	   	185.72	ACR|4VULN|3ZMB|3DUR|1CDMG	137DUR|267ZMB|467aVULN|5RCR|67BPWR|8CDMG|9LHND
28	51121 25151	   	185.72	ACR|4VULN|3ZMB|3DUR|1CDMG	137DUR|267ZMB|4679VULN|5RCR|67BPWR|8CDMG|aLHND
29	51121 25152	   	185.72	ACR|4VULN|3ZMB|3DUR|1CDMG	137DUR|267ZMB|4679VULN|5RCR|67BPWR|8CDMG|aLWND
30	51121 25153	   	185.72	ACR|4VULN|3ZMB|3DUR|1CDMG	137DUR|267ZMB|4679VULN|5RCR|67BPWR|8CDMG|aRPLT
31	51121 22215	 * 	185.50	ACR|2VULN|1AART|1DMG|3DUR|2ZMB|1CDMG	139DUR|26ZMB|46VULN|5RCR|6BPWR|7CDMG|8DMG|aAART
32	51121 25113	   	185.27	ACR|3VULN|3ZMB|3DUR|1CDMG|1FLTHEA	137DUR|267ZMB|467VULN|5RCR|67BPWR|8CDMG|9RMIN|aFLTHEA
33	51121 25513	 * 	184.97	ACR|3VULN|3ZMB|1DMG|3DUR|1ASPD	137DUR|267ZMB|467VULN|5RCR|67BPWR|8RCVC|9ASPD|aDMG
34	43226 31322	   	184.97	DCR|3VULN|3DMG|3DUR	19aVULN|2LWND|39aDUR|4BEXP|5FEWX|69aDMG|7RCR|8RCVC|9aBPWR
35	43226 31422	   	184.97	DCR|3VULN|3DMG|3DUR	19aVULN|28LWND|39aDUR|4BEXP|5FEWX|69aDMG|7RCR|9aBPWR
36	53426 31322	   	184.97	DCR|3VULN|3DMG|3DUR	19aDUR|2LWND|39aVULN|4BEXP|5FEWX|69aDMG|7RCR|8RCVC|9aBPWR
37	43222 31322	   	184.87	DCR|3VULN|3DMG|3DUR	19aVULN|2LWND|39aDUR|4BEXP|5DUST|69aDMG|7RCR|8RCVC|9aBPWR
38	43222 31422	   	184.87	DCR|3VULN|3DMG|3DUR	19aVULN|28LWND|39aDUR|4BEXP|5DUST|69aDMG|7RCR|9aBPWR
39	44332 31325	   	184.87	DCR|3VULN|3DMG|3DUR	19aVULN|2BEXP|39aDUR|4LHND|5DUST|69aDMG|7RCR|8RCVC|9aBPWR
40	45323 31322	   	184.87	DCR|3VULN|3DMG|3DUR	19aVULN|2DUST|39aDUR|4BEXP|5LWND|69aDMG|7RCR|8RCVC|9aBPWR
41	45323 31422	   	184.87	DCR|3VULN|3DMG|3DUR	19aVULN|2DUST|39aDUR|4BEXP|58LWND|69aDMG|7RCR|9aBPWR
42	53422 31322	   	184.87	DCR|3VULN|3DMG|3DUR	19aDUR|2LWND|39aVULN|4BEXP|5DUST|69aDMG|7RCR|8RCVC|9aBPWR
43	53422 31422	   	184.87	DCR|3VULN|3DMG|3DUR	19aDUR|28LWND|39aVULN|4BEXP|5DUST|69aDMG|7RCR|9aBPWR
44	55423 31322	   	184.87	DCR|3VULN|3DMG|3DUR	19aDUR|2DUST|39aVULN|4BEXP|5LWND|69aDMG|7RCR|8RCVC|9aBPWR
45	21511 42622	 * 	184.80	ACR|4VULN|2DMG|2CDMG|1SELL	18CDMG|2LHND|389aVULN|4SELL|5RCR|6DLOT|78DMG|8BPWR
46	41422 83222	   	184.26	DCR|3VULN|3DMG|1ZMB|1ASPD	19aVULN|2ZMB|39aFEWX|4DUST|5MBVNT|6ASPD|79aDMG|8RCR|9aBPWR
47	23213 24317	   	184.09	DCR|2VULN|2DMG|1AART|2CDMG|2SELL	1aCDMG|2MBVNT|3DUST|45SELL|6RCR|7AART|8aDMG|9aVULN|aBPWR
48	23733 36432	   	183.83	DCR|3DMG|2VULN|2CDMG|1ZMB	19CDMG|2MBVNT|3LSRREG|469DMG|5RCVC|7RCR|89VULN|9BPWR|aZMB
49	43511 25133	 * 	183.16	ACR|3VULN|3CDMG|1AART|1DMG|1SELL	178VULN|267LWND|3SELL|467CDMG|5RCR|67BPWR|9AART|aDMG
50	43611 25133	 * 	183.16	ACR|3VULN|3CDMG|1AART|1DMG|1SELL	178VULN|267LWND|367CDMG|4SELL|5RCR|67BPWR|9AART|aDMG
51	41115 53211	 * 	182.45	DCR|3DMG|2VULN|2ZMB|2DUR	1aVULN|28ZMB|3aDUR|4LHND|5ERES|6RCR|79aDMG|aBPWR
52	51121 25412	   	182.37	ACR|3VULN|3ZMB|1AART|3DUR	137DUR|267ZMB|467VULN|5RCR|67BPWR|8AART|9CGEN|aFEWX
53	51121 25421	   	182.37	ACR|3VULN|3ZMB|1AART|3DUR	137DUR|267ZMB|467VULN|5RCR|67BPWR|8AART|9FEWX|aLHND
54	51121 25422	   	182.37	ACR|3VULN|3ZMB|1AART|3DUR	137DUR|267ZMB|467VULN|5RCR|67BPWR|8AART|9FEWX|aLWND
55	41125 53211	   	182.35	DCR|3DMG|2VULN|2ZMB|2DUR	1aVULN|28ZMB|3aDUR|4DUST|5ERES|6RCR|79aDMG|aBPWR
56	51121 25411	   	182.27	ACR|3VULN|3ZMB|1AART|3DUR	137DUR|267ZMB|467VULN|5RCR|67BPWR|8AART|9CGEN|aLSRHEA
57	22453 23522	 * 	181.86	ACR|3VULN|3CDMG|3ASPD|1DMG	19aCDMG|2RPLT|3FEWX|4RCR|59aASPD|6DUST|7DMG|89aVULN|9aBPWR
58	22326 53223	   	181.63	DCR|3VULN|2DMG|2CDMG|1ZMB	19CDMG|2RPLT|3LHND|49aVULN|5FEWX|6ZMB|79DMG|8RCR|9BPWR
59	51121 25214	   	181.07	ACR|3VULN|3ZMB|1AART|3DUR	137DUR|267ZMB|467VULN|5RCR|67BPWR|8MBVNT|9LWND|aAART
60	41112 83223	   	180.74	DCR|3VULN|2DMG|2DUR|1ZMB|1ASPD	19aVULN|2ZMB|39DUR|4LHND|5MBVNT|6ASPD|79DMG|8RCR|9BPWR
