0	Index      	 *	Score 	Summary	Detail	
1	62336 52332	 * 	199.35	ACR|3DMG|2VULN|1AART|2CDMG	1aDUST|27CDMG|3LEGI|4RCR|5AART|6aVULN|89aDMG|aBPWR
2	21544 12332	 * 	198.28	DCR|3VULN|3DMG|1AART|1SELL	12aVULN|3AART|4FEWX|5SELL|6RCR|7aLWND|89aDMG|aBPWR
3	21534 12332	 * 	198.18	DCR|3VULN|3DMG|1AART|1SELL	12aVULN|3AART|4DUST|5SELL|6RCR|7aLWND|89aDMG|aBPWR
4	21534 14332	 * 	198.18	DCR|3VULN|3DMG|1AART|1SELL	12aVULN|3AART|4DUST|5SELL|6RCR|7aLHND|89aDMG|aBPWR
5	21654 12332	 * 	197.58	DCR|3VULN|3DMG|1AART|1SELL	12aVULN|3DUST|4AART|5SELL|6RCR|7aLWND|89aDMG|aBPWR
6	21534 13612	 * 	196.62	DCR|4VULN|2DMG|1AART|1SELL	127aVULN|3AART|4DUST|5SELL|6RCR|8aDMG|9aLHND|aBPWR
7	23313 13332	 * 	195.32	DCR|3DMG|2VULN|1AART|1CDMG	1aVULN|24aLWND|3CDMG|5AART|6RCR|7LHND|89aDMG|aBPWR
8	21513 33623	 * 	194.38	DCR|5VULN|2AART|1FLTHEA|1DUR	12679VULN|34AART|5FLTHEA|8DUR|aRCR
9	62336 23332	   	193.04	ACR|3DMG|2VULN|1AART|1CDMG	1aDUST|2CDMG|3LEGI|4RCR|5AART|6DMSP|7aVULN|89aDMG|aBPWR
10	21513 21356	 * 	191.58	DCR|3VULN|2AART|1DMG|1FLTHEA|1ZMB	127VULN|34AART|5FLTHEA|6LHND|8DMG|9ZMB|aRCR
11	21513 41364	   	189.82	DCR|3VULN|2AART|1DMG|1FLTHEA|1DUR	127VULN|34AART|5FLTHEA|6MBVNT|8DMG|9RCR|aDUR
12	21553 32322	   	189.40	DCR|5VULN|1AART|1FLTHEA|1ZMB	1246aVULN|3AART|5FLTHEA|7ZMB|8RPLT|9RCR
13	21453 32322	   	188.80	DCR|5VULN|1AART|1FLTHEA|1ZMB	1236aVULN|4AART|5FLTHEA|7ZMB|8RPLT|9RCR
14	21513 32322	   	188.02	DCR|4VULN|2AART|1FLTHEA|1ZMB	126aVULN|34AART|5FLTHEA|7ZMB|8RPLT|9RCR
15	21513 33323	   	187.34	DCR|5VULN|2AART|1FLTHEA	12679VULN|34AART|5FLTHEA|8DUST|aRCR
16	21534 13631	 * 	185.78	DCR|4VULN|1AART|1DMG|1DUR|1SELL	1279VULN|3AART|4DUST|5SELL|6RCR|8DMG|aDUR
17	21544 13222	 * 	184.86	DCR|4VULN|1AART|2ASPD|2DUR|1SELL	127aVULN|3AART|4FEWX|5SELL|6RCR|8aDUR|9aASPD|aBPWR
18	21534 13222	 * 	184.76	DCR|4VULN|1AART|2ASPD|2DUR|1SELL	127aVULN|3AART|4DUST|5SELL|6RCR|8aDUR|9aASPD|aBPWR
19	21654 13222	 * 	184.16	DCR|4VULN|1AART|2ASPD|2DUR|1SELL	127aVULN|3DUST|4AART|5SELL|6RCR|8aDUR|9aASPD|aBPWR
20	21261 36262	   	183.80	DCR|3VULN|2AART|1DMG|1DUR|1ASPD	12aVULN|3DUR|4LWND|5ASPD|69AART|7DMG|8RCR
21	21553 21326	 * 	183.23	DCR|4VULN|1AART|1DMG|1FLTHEA	1247VULN|3AART|5FLTHEA|6LHND|8DMG|9RMIN|aRCR
22	21553 21335	   	183.23	DCR|4VULN|1AART|1DMG|1FLTHEA	1247VULN|3AART|5FLTHEA|6LHND|8DMG|9DMSP|aRCR
23	21513 41361	   	182.88	DCR|3VULN|2AART|1DMG|1FLTHEA	127VULN|34AART|5FLTHEA|6MBVNT|8DMG|9RCR|aDMSP
24	21513 41362	   	182.88	DCR|3VULN|2AART|1DMG|1FLTHEA	127VULN|34AART|5FLTHEA|6MBVNT|8DMG|9RCR|aLIT
25	21116 33416	 * 	182.80	DCR|5VULN|1DMG|1CDMG|1ASPD	12589VULN|3MGNSTR|4CDMG|6ASPD|7RCR|aDMG
26	21513 41363	   	182.78	DCR|3VULN|2AART|1DMG|1FLTHEA	127VULN|34AART|5FLTHEA|6MBVNT|8DMG|9RCR|aBASHEA
27	21453 21326	   	182.63	DCR|4VULN|1AART|1DMG|1FLTHEA	1237VULN|4AART|5FLTHEA|6LHND|8DMG|9RMIN|aRCR
28	21453 21335	   	182.63	DCR|4VULN|1AART|1DMG|1FLTHEA	1237VULN|4AART|5FLTHEA|6LHND|8DMG|9DMSP|aRCR
29	24234 12332	   	182.62	DCR|3DMG|2VULN|1AART|1SELL	1aVULN|24FEWX|3AART|5SELL|6RCR|7aLWND|89aDMG|aBPWR
30	24234 13612	 * 	182.62	DCR|3VULN|2DMG|1AART|1SELL	17aVULN|24FEWX|3AART|5SELL|6RCR|8aDMG|9aLHND|aBPWR
31	24234 13632	 * 	182.62	DCR|3VULN|2DMG|1AART|1SELL	17aVULN|24FEWX|3AART|5SELL|6RCR|8aDMG|9aLWND|aBPWR
32	24234 14332	   	182.62	DCR|3DMG|2VULN|1AART|1SELL	1aVULN|24FEWX|3AART|5SELL|6RCR|7aLHND|89aDMG|aBPWR
33	25534 12332	   	182.52	DCR|3DMG|2VULN|1AART|1SELL	1aVULN|2DMSP|3AART|4DUST|5SELL|6RCR|7aLWND|89aDMG|aBPWR
34	24234 13622	 * 	182.42	DCR|3VULN|2DMG|1AART|1SELL	17aVULN|24FEWX|3AART|5SELL|6RCR|8aDMG|9aDUST|aBPWR
35	21513 33125	   	181.55	DCR|4VULN|2AART|1FLTHEA|1ASPD	1267VULN|34AART|5FLTHEA|8LHND|9ASPD|aRCR
36	21533 61522	   	181.22	DCR|4VULN|1AART|1DMG|1ASPD	125aVULN|3AART|4DUST|6ASPD|7LWND|8RCR|9DMG
37	21513 41264	   	180.76	DCR|3VULN|2AART|1FLTHEA|1ZMB|1DUR	127VULN|34AART|5FLTHEA|6MBVNT|8ZMB|9RCR|aDUR
38	21513 21326	   	180.58	DCR|3VULN|2AART|1DMG|1FLTHEA	127VULN|34AART|5FLTHEA|6LHND|8DMG|9RMIN|aRCR
39	21513 21335	   	180.58	DCR|3VULN|2AART|1DMG|1FLTHEA	127VULN|34AART|5FLTHEA|6LHND|8DMG|9DMSP|aRCR
40	21513 35326	   	180.58	DCR|3VULN|2AART|1DMG|1FLTHEA	126VULN|34AART|5FLTHEA|7LHND|8DMG|9RMIN|aRCR
41	21513 35335	   	180.58	DCR|3VULN|2AART|1DMG|1FLTHEA	126VULN|34AART|5FLTHEA|7LHND|8DMG|9DMSP|aRCR
42	21533 31356	   	180.48	DCR|4VULN|1AART|1DMG|1ZMB	1257VULN|3AART|4DUST|6MGNLIT|8DMG|9ZMB|aRCR
43	32513 31345	   	180.48	DCR|3VULN|2AART|1DMG|1FLTHEA	1CGEN|2TLV|34AART|5FLTHEA|679VULN|8DMG|aRCR
44	21513 21346	   	180.48	DCR|3VULN|2AART|1DMG|1FLTHEA	127VULN|34AART|5FLTHEA|6LHND|8DMG|9ERES|aRCR
45	21553 32324	 * 	180.42	DCR|4VULN|1AART|2ZMB|1FLTHEA	1246VULN|3AART|5FLTHEA|7aZMB|8RPLT|9RCR
46	21513 41337	   	180.38	DCR|3VULN|2AART|1DMG|1FLTHEA	127VULN|34AART|5FLTHEA|6MBVNT|8DMG|9LEGI|aRCR
47	24143 22133	   	180.06	DCR|2VULN|2DMG|1AART|1CDMG	15VULN|2FEWX|3BELT|4AART|6RCR|7CDMG|8LIT|9aDMG
