0	Index      	 *	Score 	Summary	Detail	
1	61365 23331	 * 	190.15	ACR|4VULN|1AART|1DMG|1CDMG	179aVULN|2BEXP|3RCR|4DMG|5CDMG|6AIRHEA|8AART
2	55324 13333	 * 	188.68	ACR|2AART|2VULN|2DMG|1ZMB	1BEXP|2aVULN|3RCR|4LIT|59AART|67DMG|8ZMB
3	61324 13333	   	188.68	ACR|2AART|2VULN|2DMG|1ZMB	1aVULN|2BEXP|3RCR|4LIT|59AART|67DMG|8ZMB
4	23143 22562	 * 	187.86	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1NUKE|26DUR|3DMG|4AART|58aVULN|7RCR|9CDMG
5	66331 11363	 * 	187.63	ACR|3VULN|2DMG|1AART|1DUR	14aVULN|2DUR|3RCR|5aERES|6RCVC|7AART|8RPLT|9aDMG|aBPWR
6	66333 11363	   	187.63	ACR|3VULN|2DMG|1AART|1DUR	14aVULN|2DUR|3RCR|5aTLV|6RCVC|7AART|8RPLT|9aDMG|aBPWR
7	66335 12111	   	187.53	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	14aVULN|29DUR|3RCR|5AART|6RCVC|7ZMB|8DMG
8	66335 22121	   	187.43	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	14aVULN|26DUR|3RCR|5AART|7ZMB|8DMG|9DUST
9	55324 12123	 * 	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1BEXP|29VULN|3RCR|4LIT|5AART|6aDMG|7DUR|8CDMG
10	61324 12123	   	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2BEXP|3RCR|4LIT|5AART|6aDMG|7DUR|8CDMG
11	61324 12261	   	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2BEXP|3RCR|4LIT|5AART|68DMG|7DUR|aCDMG
12	66311 12522	 * 	186.03	ACR|4VULN|2DMG|3DUR	169aVULN|28aDUR|3RCR|4BELT|5aDMG|7DMSP|aBPWR
13	61324 12126	   	184.89	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	19aVULN|2BEXP|3RCR|4LIT|5AART|6DMG|7DUR|8CDMG
14	66335 21122	   	184.22	ACR|4VULN|1AART|1CDMG|2DUR	148aVULN|26DUR|3RCR|5AART|7CDMG|9CGEN
15	66335 21132	   	184.22	ACR|4VULN|1AART|1CDMG|2DUR	148aVULN|26DUR|3RCR|5AART|7CDMG|9FEWX
16	61254 12123	 * 	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2BEXP|3LIT|4DUR|5AART|6aDMG|7RCR|8CDMG
17	65116 31131	 * 	183.46	DCR|4VULN|1AART|1DMG|1ASPD|1DUR	125aVULN|3ASPD|4DUR|6FEWX|7AART|8DMG|9RCR
18	65116 31133	   	183.01	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	125VULN|3ASPD|4DUR|6FEWX|7AART|8DMG|9RCR|aCDMG
19	61361 41311	 * 	182.87	ACR|3VULN|2DMG|2ZMB|2DUR	189VULN|2BEXP|3RCR|48DMG|5aDUR|6TLV|78ZMB|8BPWR
20	61361 61311	   	182.87	ACR|3VULN|2DMG|2ZMB|2DUR	189VULN|2BEXP|3RCR|48DMG|5aDUR|6ERES|78ZMB|8BPWR
21	55331 12622	 * 	182.81	ACR|5VULN|2DMG	1aBEXP|2689aVULN|3RCR|4BELT|5aDMG|7DMSP|aBPWR
