0	Index      	 *	Score 	Summary	Detail	
1	65632 13111	 * 	203.34	ACR|3DMG|2VULN|1AART|3DUR	1RCVC|2RCR|368DUR|48VULN|58aDMG|7AART|8BPWR|9CGEN
2	42413 34231	 * 	201.53	ACR|2VULN|2DMG|1AART|3ASPD|2DUR	1BELT|2RCR|378ASPD|4AART|5aVULN|6aDMG|9aDUR|aBPWR
3	65632 13112	 * 	199.13	ACR|2VULN|2DMG|2AART|3DUR	1RCVC|2RCR|368DUR|48VULN|58DMG|7aAART|8BPWR|9CGEN
4	65632 13113	   	198.69	ACR|2VULN|2DMG|1AART|3DUR|1ZMB	1RCVC|2RCR|368DUR|48VULN|58DMG|7AART|8BPWR|9CGEN|aZMB
5	42113 25312	 * 	192.75	ACR|4VULN|2AART|2CDMG	1BELT|2RCR|3aERES|47AART|589aVULN|6aCDMG|aBPWR
6	65232 12236	 * 	190.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3BEXP|48aVULN|5DMG|6DUR|7AART|9CDMG
7	42313 33441	 * 	189.82	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1BELT|2RCR|3CGEN|4AART|57VULN|6aDMG|8CDMG|9ASPD
8	42413 34331	   	189.30	ACR|2VULN|2DMG|1AART|3ASPD	1BELT|2RCR|379ASPD|4AART|5aVULN|6aDMG|8aFEWX|aBPWR
9	65632 13131	   	187.69	ACR|2VULN|2DMG|1AART|3DUR	1RCVC|2RCR|368DUR|48VULN|58DMG|7AART|8BPWR|9FEWX|aLIT
10	65632 13132	   	187.69	ACR|2VULN|2DMG|1AART|3DUR	1RCVC|2RCR|368DUR|48VULN|58DMG|7AART|8BPWR|9FEWX|aLHND
11	65632 13133	   	187.59	ACR|2VULN|2DMG|1AART|3DUR	1RCVC|2RCR|368DUR|48VULN|58DMG|7AART|8BPWR|9FEWX|aVENICY
12	45412 21211	 * 	187.32	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1BELT|25DMG|3RCR|4AART|6FLTHEA|7DUST|8DUR|9aVULN
13	45412 23113	   	187.32	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1BELT|25DMG|3RCR|4AART|6FLTHEA|7ERES|8DUR|9aVULN
