0	Index      	 *	Score 	Summary	Detail	
1	21622 34251	 * 	200.17	ACR|4VULN|3DMG|2DUR	137ERES|2RCR|37aBPWR|4BELT|579aVULN|67aDMG|8aDUR
2	21622 34532	 * 	196.49	ACR|4VULN|2DMG|1AART	137ERES|2RCR|37BPWR|4BELT|579aVULN|67DMG|8AART
3	41321 24113	 * 	192.70	DCR|3VULN|2DMG|1AART|2DUR	12aVULN|3AART|4LWND|5aDMG|6BEXP|7RCR|8CGEN|9aDUR|aBPWR
4	41321 54113	   	192.70	DCR|3VULN|2DMG|1AART|2DUR	12aVULN|3AART|4LWND|5aDMG|6LHND|7RCR|8CGEN|9aDUR|aBPWR
5	41321 24213	   	192.60	DCR|3VULN|2DMG|1AART|2DUR	12aVULN|3AART|4LWND|5aDMG|6BEXP|7RCR|8TLV|9aDUR|aBPWR
6	41321 54213	   	192.60	DCR|3VULN|2DMG|1AART|2DUR	12aVULN|3AART|4LWND|5aDMG|6LHND|7RCR|8TLV|9aDUR|aBPWR
7	41333 24343	   	191.27	DCR|3VULN|2DMG|1AART|1ZMB	128VULN|3AART|4aDMG|5FEWX|6BEXP|7RCR|9ZMB
8	21622 34241	 * 	189.89	ACR|3VULN|3DMG|3DUR	137ERES|2RCR|37aBPWR|4BELT|57aVULN|67aDMG|89aDUR
9	41114 31135	   	187.39	ACR|3VULN|2DMG|1AART|1ZMB	124VULN|34ERES|4BPWR|5RCR|6AART|7LIT|8aDMG|9ZMB
10	41134 31135	   	187.39	ACR|3VULN|2DMG|1AART|1ZMB	124VULN|3ERES|5RCR|6AART|7LIT|8aDMG|9ZMB
11	21622 34136	 * 	187.29	ACR|3VULN|3DMG|1CDMG	137ERES|2RCR|37BPWR|4BELT|579VULN|67aDMG|8CDMG
12	41333 24353	   	187.21	DCR|3VULN|2DMG|1AART|1ASPD	128VULN|3AART|4aDMG|5FEWX|6BEXP|7RCR|9ASPD
13	41323 51533	   	184.81	DCR|3VULN|2DMG|1AART|1DUR	125VULN|3AART|4LWND|6aDMG|7LIT|8RCR|9DUR
14	21622 34523	   	184.67	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	137ERES|2RCR|37BPWR|4BELT|57VULN|67DMG|8AART|9ASPD|aZMB
15	21622 34512	   	183.99	ACR|3VULN|2DMG|1AART	137ERES|2RCR|37BPWR|4BELT|57aVULN|67DMG|8AART|9RCVC
16	41345 32211	   	183.97	DCR|3VULN|2DMG|1AART|1ZMB	127VULN|3AART|457ERES|67DMG|7BPWR|8ZMB|9BEXP|aRCR
17	41345 32221	   	183.97	DCR|3VULN|2DMG|1AART|1ZMB	127VULN|3AART|457ERES|67DMG|7BPWR|8ZMB|9LWND|aRCR
18	41345 32231	   	183.97	DCR|3VULN|2DMG|1AART|1ZMB	127VULN|3AART|457ERES|67DMG|7BPWR|8ZMB|9LHND|aRCR
19	41345 32321	   	183.97	DCR|3VULN|2DMG|1AART|1ZMB	127VULN|3AART|457ERES|67DMG|7BPWR|8FEWX|9ZMB|aRCR
20	41114 31131	   	183.90	ACR|4VULN|1AART|1DMG|1ZMB	124aVULN|34ERES|4BPWR|5RCR|6AART|7LIT|8DMG|9ZMB
21	41134 31131	   	183.90	ACR|4VULN|1AART|1DMG|1ZMB	124aVULN|3ERES|5RCR|6AART|7LIT|8DMG|9ZMB
22	21622 34531	   	182.39	ACR|3VULN|2DMG|1AART	137ERES|2RCR|37BPWR|4BELT|579VULN|67DMG|8AART|aLWND
23	21622 34533	   	182.39	ACR|3VULN|2DMG|1AART	137ERES|2RCR|37BPWR|4BELT|579VULN|67DMG|8AART|aLHND
24	41321 36341	 * 	182.20	DCR|3VULN|3AART|1DMG|1ZMB	128VULN|369AART|4LWND|5DMG|7ZMB|aRCR
25	21163 24322	 * 	181.96	ACR|2VULN|2DMG|1FLTHEA|1CDMG|2DUR	1ERES|2RCR|36DUR|4BELT|56DMG|6BPWR|7FLTHEA|8aVULN|9CDMG
26	43261 38423	 * 	181.37	DCR|3VULN|1AART|2CDMG|2ZMB|1DUR	179VULN|2TLV|37CDMG|4AART|57ZMB|6MBVNT|7BPWR|8RCR|aDUR
27	41321 24342	   	180.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	128VULN|3AART|4LWND|5DMG|6BEXP|7RCR|9ZMB|aASPD
28	41333 24341	   	180.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	128VULN|3AART|4DMG|5FEWX|6BEXP|7RCR|9ZMB|aDUR
29	41321 31533	 * 	180.60	DCR|2AART|2VULN|2DMG|1DUR	12VULN|36AART|4LWND|5aDMG|7LIT|8RCR|9DUR
30	41336 31533	   	180.60	DCR|2AART|2VULN|2DMG|1DUR	12VULN|36AART|4aDMG|5LWND|7LIT|8RCR|9DUR
31	41332 24341	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	128VULN|3AART|4DMG|5DUST|6BEXP|7RCR|9ZMB|aDUR
32	41321 24313	   	180.27	DCR|3VULN|2DMG|1AART	128VULN|3AART|4LWND|5aDMG|6BEXP|7RCR|9LIT
33	41321 24335	   	180.27	DCR|3VULN|2DMG|1AART	128VULN|3AART|4LWND|5aDMG|6BEXP|7RCR|9RPLT
34	41321 54313	   	180.27	DCR|3VULN|2DMG|1AART	128VULN|3AART|4LWND|5aDMG|6LHND|7RCR|9LIT
35	41333 24313	   	180.27	DCR|3VULN|2DMG|1AART	128VULN|3AART|4aDMG|5FEWX|6BEXP|7RCR|9LIT
36	41333 24335	   	180.27	DCR|3VULN|2DMG|1AART	128VULN|3AART|4aDMG|5FEWX|6BEXP|7RCR|9RPLT
37	41333 54313	   	180.27	DCR|3VULN|2DMG|1AART	128VULN|3AART|4aDMG|5FEWX|6LWND|7RCR|9LIT
38	41333 64313	   	180.27	DCR|3VULN|2DMG|1AART	128VULN|3AART|4aDMG|5FEWX|6LHND|7RCR|9LIT
39	41336 24313	   	180.27	DCR|3VULN|2DMG|1AART	128VULN|3AART|4aDMG|5LWND|6BEXP|7RCR|9LIT
40	41332 24313	   	180.17	DCR|3VULN|2DMG|1AART	128VULN|3AART|4aDMG|5DUST|6BEXP|7RCR|9LIT
41	41332 24335	   	180.17	DCR|3VULN|2DMG|1AART	128VULN|3AART|4aDMG|5DUST|6BEXP|7RCR|9RPLT
42	41332 54313	   	180.17	DCR|3VULN|2DMG|1AART	128VULN|3AART|4aDMG|5DUST|6LWND|7RCR|9LIT
43	41332 64313	   	180.17	DCR|3VULN|2DMG|1AART	128VULN|3AART|4aDMG|5DUST|6LHND|7RCR|9LIT
44	21622 34151	 * 	179.78	ACR|2VULN|2DMG|1AART|1CDMG	137ERES|2RCR|37BPWR|4BELT|57VULN|67DMG|8CDMG|9AART|aRMIN
45	21622 34152	   	179.78	ACR|2VULN|2DMG|1AART|1CDMG	137ERES|2RCR|37BPWR|4BELT|57VULN|67DMG|8CDMG|9AART|aFEWX
46	41112 32251	 * 	179.21	DCR|4VULN|1AART|2ASPD|1ZMB|1DUR	1247VULN|347ERES|47BPWR|57ASPD|6AART|8ZMB|9DUR|aRCR
47	21622 34112	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	137ERES|2RCR|37BPWR|4BELT|57VULN|67DMG|8CDMG|9AIRHEL|aAART
48	21622 34252	   	179.02	ACR|4VULN|2DMG|1DUR	137ERES|2RCR|37BPWR|4BELT|579aVULN|67DMG|8DUR
49	41321 35621	   	178.67	DCR|3VULN|2AART|1DMG|1DUR	127VULN|36AART|4LWND|5DMG|8RCR|9DUR|aCGEN
50	41321 35622	   	178.67	DCR|3VULN|2AART|1DMG|1DUR	127VULN|36AART|4aLWND|5DMG|8RCR|9DUR
51	41321 35623	   	178.67	DCR|3VULN|2AART|1DMG|1DUR	127VULN|36AART|4LWND|5DMG|8RCR|9DUR|aFEWX
52	41321 35341	   	178.14	DCR|3VULN|3AART|1DMG|1ASPD	127VULN|369AART|4LWND|5DMG|8ASPD|aRCR
53	21622 34111	 * 	177.95	ACR|3VULN|2DMG|2CDMG	137ERES|2RCR|37aBPWR|4BELT|57aVULN|67DMG|8aCDMG|9aAIRHEL
54	41323 51513	   	177.77	DCR|3VULN|2DMG|1AART	125VULN|3AART|4LWND|6aDMG|7LIT|8RCR|9DUST
55	21124 54123	   	177.28	ACR|3VULN|1DMG|1CDMG|2DUR|1ZMB	1ERES|2RCR|36DUR|4ZMB|579VULN|8DMG|aCDMG
56	41114 31114	 * 	177.19	ACR|3VULN|2AART|1DMG|1ASPD	124VULN|34ERES|4BPWR|5RCR|69AART|7LIT|8DMG|aASPD
57	41134 31114	   	177.19	ACR|3VULN|2AART|1DMG|1ASPD	124VULN|3ERES|5RCR|69AART|7LIT|8DMG|aASPD
