0	Index      	 *	Score 	Summary	Detail	
1	35284 16233	 * 	179.56	DCR|3VULN|1AART|1DMG|2ASPD|2DUR	17DUR|2MBVNT|357VULN|47ASPD|6AART|7BPWR|8FEWX|9DMG|aRCR
2	23662 12212	 * 	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1TLV|2CDMG|39VULN|4RCR|5AART|6RPLT|7RCVC|8aDMG
3	23662 26212	   	177.38	ACR|2VULN|2DMG|1AART|1CDMG	1TLV|2CDMG|39VULN|4RCR|5AART|6RCVC|7RPLT|8aDMG
4	23662 14212	   	177.28	ACR|2VULN|2DMG|1AART|1CDMG	17TLV|2CDMG|39VULN|4RCR|5AART|6RPLT|8aDMG
5	35248 16132	 * 	176.74	DCR|3VULN|3ZMB|1AART|2DUR	17DUR|2MBVNT|37aVULN|457ZMB|6AART|7BPWR|8LWND|9RCR
6	35248 16232	   	176.74	DCR|3VULN|3ZMB|1AART|2DUR	17DUR|2MBVNT|37aVULN|457ZMB|6AART|7BPWR|8LHND|9RCR
7	23662 51212	 * 	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|36aVULN|4RCR|5AART|7MLV|8DMG|9RCVC
8	23662 51222	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|36aVULN|4RCR|5AART|7MLV|8DMG|9DMSP
9	23662 12214	   	175.45	ACR|3VULN|1AART|1DMG|1CDMG	1TLV|2CDMG|39aVULN|4RCR|5AART|6RPLT|7RCVC|8DMG
10	22162 53214	   	175.20	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1TLV|2SELL|3LWND|4RCR|5AART|69aVULN|7CDMG|8DMG
11	53414 32123	   	172.83	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LWND|2AART|379VULN|4CGEN|5RCR|6ASPD|8CDMG|aZMB
12	53214 32123	   	172.73	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LWND|2AART|3ERES|479VULN|5RCR|6ASPD|8CDMG|aZMB
13	53424 32123	   	172.73	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1LWND|2AART|379VULN|4TLV|5RCR|6ASPD|8CDMG|aZMB
