0	Index      	 *	Score 	Summary	Detail	
1	25123 63326	 * 	196.64	DCR|3VULN|2DMG|1AART|2DUR|1ASPD	1aDUR|2ASPD|36aVULN|4AART|5BEXP|7FEWX|8RCR|9aDMG|aBPWR
2	25123 12426	   	191.99	DCR|2VULN|2DMG|1AART|2DUR|1ZMB|1ASPD	1aDUR|2ASPD|3aVULN|4AART|5BEXP|6ZMB|7RMIN|8RCR|9aDMG|aBPWR
3	21321 62213	 * 	191.72	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1DUR|27aVULN|3CGEN|46AART|5DMG|8RCR|9CDMG
4	21321 62223	   	189.07	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1DUR|27aVULN|3CGEN|46AART|5DMG|8RCR|9ZMB
5	21421 62223	   	188.97	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1DUR|27aVULN|3TLV|46AART|5DMG|8RCR|9ZMB
6	24421 62223	   	188.97	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2ERES|37aVULN|46AART|5DMG|8RCR|9ZMB
7	21123 46326	 * 	187.60	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	1aDUR|27VULN|3aASPD|4AART|5BEXP|6FEWX|8RCR|9aDMG|aBPWR
8	21123 63326	   	187.60	DCR|2VULN|2DMG|1AART|2ASPD|2DUR	1aDUR|26VULN|3aASPD|4AART|5BEXP|7FEWX|8RCR|9aDMG|aBPWR
9	11651 61322	 * 	187.33	DCR|4VULN|1AART|1DMG|1CDMG	1LWND|267aVULN|3DUST|4AART|5DMG|8RCR|9CDMG
10	13251 61322	   	187.33	DCR|4VULN|1AART|1DMG|1CDMG	1LWND|2DUST|367aVULN|4AART|5DMG|8RCR|9CDMG
11	31551 61322	   	187.33	DCR|4VULN|1AART|1DMG|1CDMG	1DUST|267aVULN|3LWND|4AART|5DMG|8RCR|9CDMG
12	21321 42213	   	185.56	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	16DUR|27aVULN|3CGEN|4AART|5DMG|8RCR|9CDMG
13	11651 61323	   	184.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|267VULN|3DUST|4AART|5DMG|8RCR|9CDMG|aZMB
14	13251 61323	   	184.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|2DUST|367VULN|4AART|5DMG|8RCR|9CDMG|aZMB
15	31551 61323	   	184.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|267VULN|3LWND|4AART|5DMG|8RCR|9CDMG|aZMB
16	14521 22235	   	184.21	DCR|3VULN|2DMG|1AART|1DUR	16LWND|2ERES|3DUR|4AART|56DMG|6BPWR|79aVULN|8RCR
17	21321 62235	   	183.36	DCR|3VULN|2AART|1DMG|2DUR	19DUR|27aVULN|3CGEN|46AART|5DMG|8RCR
18	21321 62212	   	183.00	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD|1DUR	1DUR|27VULN|3CGEN|46AART|5DMG|8RCR|9CDMG|aASPD
19	24413 61223	   	182.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DUR|2ERES|3aVULN|56DMG|7AART|8RCR|9ZMB
20	21321 42223	   	182.92	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	16DUR|27aVULN|3CGEN|4AART|5DMG|8RCR|9ZMB
21	21421 42223	   	182.82	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	16DUR|27aVULN|3TLV|4AART|5DMG|8RCR|9ZMB
22	24421 42223	   	182.82	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	16DUR|2ERES|37aVULN|4AART|5DMG|8RCR|9ZMB
23	11252 42261	   	182.51	DCR|3VULN|2DMG|1AART|1ASPD	19LWND|239VULN|4ASPD|5LHND|69DMG|7AART|8RCR|9BPWR|aLEGI
24	11252 42262	   	182.51	DCR|3VULN|2DMG|1AART|1ASPD	19LWND|239VULN|4ASPD|5LHND|69DMG|7AART|8RCR|9BPWR|aDUST
25	11252 42263	   	182.51	DCR|3VULN|2DMG|1AART|1ASPD	19LWND|239VULN|4ASPD|5LHND|69DMG|7AART|8RCR|9BPWR|aTLV
