0	Index      	 *	Score 	Summary	Detail	
1	26332 12416	 * 	199.51	DCR|4VULN|2DMG|1AART|1DUR	128aVULN|39DMG|4BEXP|5DUR|6AART|7RCR
2	16513 26323	 * 	198.47	ACR|5VULN|3DMG	147FEWX|2579aVULN|3RCR|679DMG|79aBPWR|89aDUST
3	26332 23231	 * 	197.26	DCR|3VULN|2DMG|1AART|1CDMG|1DUR	12aVULN|38DMG|4BEXP|5DUR|6CDMG|7RCR|9AART
4	26332 23131	 * 	193.77	DCR|4VULN|1AART|1DMG|1CDMG|1DUR	128aVULN|3DMG|4BEXP|5DUR|6CDMG|7RCR|9AART
5	21124 25231	   	192.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1aVULN|2MLV|38DMG|4DUR|5ZMB|6CDMG|7RCR|9AART
6	42124 25231	   	192.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1CGEN|2aVULN|38DMG|4DUR|5ZMB|6CDMG|7RCR|9AART
7	25124 25231	   	192.51	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1aVULN|2TLV|38DMG|4DUR|5ZMB|6CDMG|7RCR|9AART
8	23553 51322	 * 	192.29	ACR|3VULN|1AART|2CDMG|2ZMB|2DUR	18aVULN|2aLWND|3RCR|4AART|5BELT|68ZMB|78CDMG|8aBPWR|9aDUR
9	26332 12216	   	190.70	DCR|3VULN|2DMG|1AART|2DUR	12aVULN|39DMG|4BEXP|58DUR|6AART|7RCR
10	26332 12366	   	190.70	DCR|3VULN|2DMG|1AART|2DUR	12aVULN|38DMG|4BEXP|59DUR|6AART|7RCR
11	26332 12412	   	190.70	DCR|3VULN|2DMG|1AART|2DUR	128VULN|39DMG|4BEXP|5aDUR|6AART|7RCR
12	21124 25131	   	190.67	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18aVULN|2MLV|3DMG|4DUR|5ZMB|6CDMG|7RCR|9AART
13	42124 25131	   	190.67	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CGEN|28aVULN|3DMG|4DUR|5ZMB|6CDMG|7RCR|9AART
14	25124 25131	   	190.57	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18aVULN|2TLV|3DMG|4DUR|5ZMB|6CDMG|7RCR|9AART
15	23636 31412	   	189.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	178VULN|2LWND|3AART|4CDMG|5RPLT|6RCR|9DMG|aZMB
16	26332 23236	   	186.90	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	12VULN|38DMG|4BEXP|5aDUR|6CDMG|7RCR|9AART
17	16522 31216	 * 	186.00	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1FEWX|27VULN|3RCR|4AART|58DUR|6ASPD|9aDMG
18	16513 26322	   	185.64	ACR|4VULN|3DMG	147FEWX|2579VULN|3RCR|679DMG|79BPWR|89DUST|aCGEN
19	11164 25231	   	185.57	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1FEWX|2TLV|38DMG|4aVULN|5ZMB|6CDMG|7RCR|9AART
20	16513 26321	   	185.54	ACR|4VULN|3DMG	147FEWX|2579VULN|3RCR|679DMG|79BPWR|89DUST|aDLOT
21	21632 12316	   	185.41	DCR|3VULN|2DMG|1AART|1DUR	138VULN|2MLV|4BEXP|5DUR|6AART|7RCR|9aDMG
22	26132 12316	   	185.41	DCR|3VULN|2DMG|1AART|1DUR	128VULN|3MLV|4BEXP|5DUR|6AART|7RCR|9aDMG
