0	Index      	 *	Score 	Summary	Detail	
1	12423 15362	 * 	181.00	ACR|4VULN|1AART|2CDMG	18LHND|2RCVC|3RCR|489aVULN|58CDMG|6RPLT|7AART|8BPWR
2	22416 42232	 * 	180.92	DCR|4VULN|2DMG|1CDMG	19LIT|2BELT|35LHND|4589VULN|59BPWR|69DMG|7RCR|aCDMG
3	31441 16222	 * 	179.31	DCR|3VULN|2DMG|1AART|1ASPD	1ERES|289VULN|36DMG|4AART|5LIT|7ASPD|aRCR
4	21542 11823	   	178.57	DCR|3VULN|2DMG|1AART	19LIT|2BEXP|349VULN|5MBVNT|6RCR|79DMG|8BELT|9BPWR|aAART
5	31443 11136	 * 	177.87	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	18ERES|2VULN|38aDMG|4AART|5CDMG|6DUR|78LIT|8BPWR|9RCR
6	13242 11326	   	174.92	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24VULN|3LIT|5MBVNT|6RCR|79DMG|8AART|aZMB
7	23542 11326	   	174.82	DCR|2VULN|2DMG|1AART|1ZMB	1LIT|2LEGI|34VULN|5MBVNT|6RCR|79DMG|8AART|aZMB
8	31443 16322	 * 	174.67	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1DUR	18ERES|2VULN|38DMG|4AART|5CDMG|6DUR|78ZMB|8BPWR|9CGEN|aRCR
9	13242 11525	 * 	174.43	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|249VULN|3LIT|5MBVNT|6RCR|7DMG|8CDMG|aAART
10	12432 32116	 * 	173.88	ACR|2VULN|2DMG|1AART|1ASPD	1LHND|2RCVC|3RCR|4ASPD|5CGEN|67DMG|89VULN|aAART
11	13343 62523	 * 	173.33	DCR|3DMG|2AART|1VULN	1LHND|2VULN|3DUST|4aAART|589DMG|6NUKE|7RCR
12	31441 12115	 * 	172.86	DCR|2VULN|2DMG|1AART|3DUR	18ERES|28VULN|36DMG|4AART|5LIT|789DUR|8BPWR|aRCR
13	31441 11222	   	172.37	DCR|3VULN|2DMG|1AART	1ERES|289VULN|36DMG|4AART|5LIT|7RMIN|aRCR
14	13242 11325	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	1LHND|24VULN|3LIT|5MBVNT|6RCR|79DMG|8AART|aDUR
15	23542 11325	   	170.75	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2LEGI|34VULN|5MBVNT|6RCR|79DMG|8AART|aDUR
16	16432 32116	   	170.17	ACR|2VULN|2DMG|1AART|1ASPD	12LHND|2BPWR|3RCR|4ASPD|5CGEN|67DMG|89VULN|aAART
17	32333 11424	   	169.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2ZMB|3LWND|4LIT|59VULN|6RCR|7DMG|8CDMG|aAART
18	32222 11316	   	169.56	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1ERES|2ZMB|3aDUR|49VULN|5LIT|6RCR|7DMG|8AART
19	31441 12135	   	169.05	DCR|2VULN|2DMG|1AART|2DUR	18ERES|28VULN|36DMG|4AART|5LIT|78DUR|8BPWR|9MLV|aRCR
20	12423 15353	 * 	168.74	ACR|2VULN|2AART|3CDMG	18LHND|2RCVC|3RCR|48VULN|589CDMG|6RPLT|7aAART|8BPWR
21	31441 43222	 * 	168.33	DCR|3VULN|1AART|1DMG|2ASPD	1ERES|289VULN|3DMG|4AART|5LIT|67ASPD|aRCR
22	31443 11134	 * 	167.51	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	18ERES|2VULN|38DMG|4AART|5CDMG|6aDUR|78LIT|8BPWR|9RCR
23	22416 42231	   	167.27	DCR|4VULN|2DMG	19LIT|2BELT|35LHND|4589VULN|59BPWR|69DMG|7RCR|aLWND
24	22416 42233	   	167.27	DCR|4VULN|2DMG	19LIT|2BELT|35LHND|4589VULN|59BPWR|69DMG|7RCR|aFEWX
25	13242 11375	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LHND|24VULN|3LIT|5MBVNT|6RCR|7DMG|8AART|9ASPD|aCDMG
