0	Index      	 *	Score 	Summary	Detail	
1	44413 47141	 * 	216.09	DCR|4VULN|3DMG|2CDMG|1ZMB	138aVULN|2MBVNT|4ZMB|5aCDMG|6RCR|79aDMG|aBPWR
2	44123 42441	   	212.32	DCR|4VULN|3DMG|2ASPD|1CDMG	147aVULN|2MBVNT|3CDMG|59aDMG|6RCR|8aASPD|aBPWR
3	44423 42441	   	212.32	DCR|4VULN|3DMG|2ASPD|1CDMG	137aVULN|2MBVNT|4CDMG|59aDMG|6RCR|8aASPD|aBPWR
4	44413 47111	 * 	206.47	DCR|4VULN|2DMG|3CDMG|1ZMB	138aVULN|2MBVNT|4ZMB|59aCDMG|6RCR|7aDMG|aBPWR
5	41523 47141	 * 	205.84	DCR|3VULN|3DMG|2CDMG|2ZMB	18aVULN|23ZMB|4MBVNT|5aCDMG|6RCR|79aDMG|aBPWR
6	41161 41223	 * 	205.12	DCR|4VULN|2DMG|1AART|2ZMB	1459VULN|29ZMB|3BELT|69DMG|7RCR|8NUKE|9BPWR|aAART
7	44123 42241	   	205.08	DCR|4VULN|3DMG|2CDMG	147aVULN|2MBVNT|3aCDMG|59aDMG|6RCR|8RMIN|aBPWR
8	44423 42241	   	205.08	DCR|4VULN|3DMG|2CDMG	137aVULN|2MBVNT|4aCDMG|59aDMG|6RCR|8RMIN|aBPWR
9	44413 42448	   	204.91	DCR|4VULN|2DMG|2ZMB|1CDMG	137aVULN|2MBVNT|4aZMB|5CDMG|6RCR|8ASPD|9aDMG|aBPWR
10	44123 45441	   	204.53	DCR|3VULN|3DMG|2CDMG|2ASPD	14aVULN|2MBVNT|37CDMG|59aDMG|6RCR|8aASPD|aBPWR
11	44123 47411	   	204.53	DCR|3VULN|3DMG|2CDMG|2ASPD	14aVULN|2MBVNT|39CDMG|57aDMG|6RCR|8aASPD|aBPWR
12	44423 45441	   	204.53	DCR|3VULN|3DMG|2CDMG|2ASPD	13aVULN|2MBVNT|47CDMG|59aDMG|6RCR|8aASPD|aBPWR
13	44423 47411	   	204.53	DCR|3VULN|3DMG|2CDMG|2ASPD	13aVULN|2MBVNT|49CDMG|57aDMG|6RCR|8aASPD|aBPWR
14	41523 42448	 * 	204.34	DCR|3VULN|2DMG|3ZMB|1CDMG	17aVULN|23aZMB|4MBVNT|5CDMG|6RCR|8ASPD|9aDMG|aBPWR
15	44123 42411	   	202.98	DCR|4VULN|2DMG|2CDMG|2ASPD	147aVULN|2MBVNT|39CDMG|5aDMG|6RCR|8aASPD|aBPWR
16	44423 42411	   	202.98	DCR|4VULN|2DMG|2CDMG|2ASPD	137aVULN|2MBVNT|49CDMG|5aDMG|6RCR|8aASPD|aBPWR
17	44123 42641	 * 	202.26	DCR|5VULN|2DMG|2CDMG	1478aVULN|2MBVNT|3aCDMG|5aDMG|6RCR|9RMIN|aBPWR
18	44423 42641	   	202.26	DCR|5VULN|2DMG|2CDMG	1378aVULN|2MBVNT|4aCDMG|5aDMG|6RCR|9RMIN|aBPWR
19	34352 13132	 * 	201.27	DCR|3VULN|3DMG|1AART|2ASPD	178DMG|279VULN|3CGEN|4LHND|5AART|67ASPD|7BPWR|aRCR
20	34352 13412	   	201.27	DCR|3VULN|3DMG|1AART|2ASPD	179DMG|278VULN|3CGEN|4LHND|5AART|67ASPD|7BPWR|aRCR
21	34522 42111	   	200.53	DCR|4VULN|2DMG|2CDMG|1ZMB	1aDMG|278aVULN|3ZMB|49CDMG|5aLHND|6RCR|aBPWR
22	41431 62211	 * 	199.12	DCR|3VULN|2DMG|3ZMB|2CDMG	15aVULN|26aZMB|37BEXP|45DMG|5aBPWR|8RCR|9aCDMG
23	34211 33362	 * 	199.07	DCR|4VULN|3DMG|3DUR	19aDMG|289aVULN|3FEWX|4BEXP|5DMSP|69aDUR|7RCR|9aBPWR
24	34213 33362	   	199.07	DCR|4VULN|3DMG|3DUR	19aDMG|289aVULN|35FEWX|4BEXP|69aDUR|7RCR|9aBPWR
25	34216 33362	   	199.07	DCR|4VULN|3DMG|3DUR	19aDMG|289aVULN|3FEWX|45BEXP|69aDUR|7RCR|9aBPWR
26	34231 33362	   	198.97	DCR|4VULN|3DMG|3DUR	19aDMG|289aVULN|3FEWX|4DUST|5DMSP|69aDUR|7RCR|9aBPWR
27	34233 33362	   	198.97	DCR|4VULN|3DMG|3DUR	19aDMG|289aVULN|35FEWX|4DUST|69aDUR|7RCR|9aBPWR
28	34522 42131	   	198.07	DCR|4VULN|2DMG|2ZMB|1CDMG	1aDMG|278aVULN|39ZMB|4CDMG|5aLHND|6RCR|aBPWR
29	44123 42238	   	197.97	DCR|4VULN|2DMG|2ZMB|1CDMG	147aVULN|2MBVNT|3CDMG|5aDMG|6RCR|8RMIN|9aZMB|aBPWR
30	44423 42238	   	197.97	DCR|4VULN|2DMG|2ZMB|1CDMG	137aVULN|2MBVNT|4CDMG|5aDMG|6RCR|8RMIN|9aZMB|aBPWR
31	44123 45241	 * 	197.02	DCR|3VULN|3DMG|3CDMG	14aVULN|2MBVNT|37aCDMG|59aDMG|6RCR|8RMIN|aBPWR
32	44123 47211	   	197.02	DCR|3VULN|3DMG|3CDMG	14aVULN|2MBVNT|39aCDMG|57aDMG|6RCR|8RMIN|aBPWR
33	44423 45241	   	197.02	DCR|3VULN|3DMG|3CDMG	13aVULN|2MBVNT|47aCDMG|59aDMG|6RCR|8RMIN|aBPWR
34	44423 47211	   	197.02	DCR|3VULN|3DMG|3CDMG	13aVULN|2MBVNT|49aCDMG|57aDMG|6RCR|8RMIN|aBPWR
35	44123 42438	   	196.67	DCR|4VULN|2DMG|2ASPD|1CDMG	147aVULN|2MBVNT|3CDMG|5aDMG|6RCR|8aASPD|9RMIN|aBPWR
36	44423 42438	   	196.67	DCR|4VULN|2DMG|2ASPD|1CDMG	137aVULN|2MBVNT|4CDMG|5aDMG|6RCR|8aASPD|9RMIN|aBPWR
37	34622 42111	   	196.47	DCR|4VULN|2DMG|2CDMG	1aDMG|278aVULN|3ASPD|49CDMG|5aLHND|6RCR|aBPWR
