0	Index      	 *	Score 	Summary	Detail	
1	21351 33211	 * 	263.86	ACR|3VULN|3DMG|3BEXP|1AART|1CDMG	158VULN|2AART|357DMG|4RCR|58BPWR|689BEXP|aCDMG
2	32612 34333	 * 	261.64	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9VULN|aAAC
3	21351 33245	 * 	255.30	ACR|3VULN|3DMG|2AART|2BEXP	158VULN|2aAART|357DMG|4RCR|58BPWR|68BEXP|9ERES
4	32612 34314	   	253.33	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9DUR|aVULN
5	32612 34332	   	253.33	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9VULN|aDUR
6	32612 34335	   	253.33	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9VULN|aBELT
7	32612 34338	   	253.33	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9VULN|aDMSP
8	32612 34341	   	253.33	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9MLV|aVULN
9	32612 34354	   	253.33	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9LIT|aVULN
10	32612 34327	   	253.23	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9DUST|aVULN
11	32612 34331	   	253.23	ACR|3ASPD|3DMG|3BEXP|1VULN	178ASPD|278DMG|3RMIN|4RCR|5MBVNT|678BEXP|78BPWR|9VULN|aFLTFST
